step,reward,seed
0,0.0,0
25000,19.6,0
50000,32.9,0
75000,24.1,0
100000,25.3,0
125000,106.8,0
150000,18.5,0
175000,48.6,0
200000,69.9,0
225000,4.1,0
250000,4.3,0
275000,99.2,0
300000,130.4,0
325000,0.1,0
350000,94.6,0
375000,267.6,0
400000,172.6,0
425000,35.1,0
450000,47.1,0
475000,156.1,0
500000,52.7,0
525000,128.8,0
550000,53.2,0
575000,37.9,0
600000,128.0,0
625000,207.1,0
650000,93.6,0
675000,195.2,0
700000,49.4,0
725000,61.0,0
750000,69.3,0
775000,1.5,0
800000,128.4,0
825000,51.4,0
850000,86.9,0
875000,46.9,0
900000,182.7,0
925000,0.1,0
950000,200.4,0
975000,62.2,0
1000000,148.9,0
0,0.0,1
25000,6.9,1
50000,3.1,1
75000,17.2,1
100000,7.5,1
125000,15.8,1
150000,41.9,1
175000,16.5,1
200000,112.2,1
225000,1.2,1
250000,0.6,1
275000,173.4,1
300000,57.3,1
325000,3.5,1
350000,55.3,1
375000,48.9,1
400000,56.2,1
425000,143.9,1
450000,57.7,1
475000,56.3,1
500000,54.4,1
525000,210.6,1
550000,256.2,1
575000,42.4,1
600000,179.0,1
625000,45.7,1
650000,50.2,1
675000,81.1,1
700000,120.4,1
725000,41.7,1
750000,71.0,1
775000,86.9,1
800000,95.5,1
825000,90.8,1
850000,109.6,1
875000,56.3,1
900000,47.6,1
925000,146.9,1
950000,57.5,1
975000,100.4,1
1000000,44.7,1
0,0.0,2
25000,2.8,2
50000,26.1,2
75000,3.9,2
100000,37.6,2
125000,25.5,2
150000,10.6,2
175000,55.0,2
200000,119.8,2
225000,144.8,2
250000,72.5,2
275000,184.1,2
300000,119.2,2
325000,34.5,2
350000,164.2,2
375000,90.2,2
400000,48.8,2
425000,91.5,2
450000,51.5,2
475000,201.8,2
500000,84.2,2
525000,220.3,2
550000,121.2,2
575000,139.8,2
600000,258.0,2
625000,194.5,2
650000,108.9,2
675000,37.5,2
700000,164.9,2
725000,33.2,2
750000,49.3,2
775000,206.3,2
800000,116.3,2
825000,0.0,2
850000,1.5,2
875000,197.8,2
900000,44.7,2
925000,140.3,2
950000,140.2,2
975000,71.6,2
1000000,126.4,2
0,0.0,3
25000,1.5,3
50000,39.3,3
75000,15.9,3
100000,38.7,3
125000,13.8,3
150000,128.1,3
175000,68.8,3
200000,107.0,3
225000,64.4,3
250000,69.4,3
275000,101.6,3
300000,136.0,3
325000,0.1,3
350000,46.1,3
375000,110.8,3
400000,154.2,3
425000,94.3,3
450000,102.3,3
475000,90.1,3
500000,89.8,3
525000,137.7,3
550000,176.3,3
575000,107.3,3
600000,143.9,3
625000,7.2,3
650000,71.7,3
675000,143.4,3
700000,37.7,3
725000,43.0,3
750000,97.8,3
775000,144.5,3
800000,0.8,3
825000,56.2,3
850000,200.7,3
875000,85.8,3
900000,154.0,3
925000,70.2,3
950000,149.3,3
975000,163.4,3
1000000,100.3,3
0,0.0,4
25000,9.3,4
50000,9.3,4
75000,34.8,4
100000,66.1,4
125000,9.8,4
150000,40.9,4
175000,175.0,4
200000,52.6,4
225000,36.3,4
250000,2.8,4
275000,77.3,4
300000,25.3,4
325000,29.3,4
350000,67.1,4
375000,125.9,4
400000,130.5,4
425000,72.3,4
450000,92.9,4
475000,65.6,4
500000,4.4,4
525000,78.1,4
550000,43.8,4
575000,20.1,4
600000,110.2,4
625000,26.8,4
650000,38.3,4
675000,73.9,4
700000,62.6,4
725000,66.8,4
750000,0.5,4
775000,107.5,4
800000,131.4,4
825000,94.3,4
850000,0.0,4
875000,34.5,4
900000,125.9,4
925000,0.0,4
950000,78.4,4
975000,2.8,4
1000000,70.7,4
