step,reward,seed
0,0.0,0
25000,150.02362382131133,0
50000,187.7773473051998,0
75000,368.72207525259506,0
100000,415.71576644452364,0
125000,534.3678416913401,0
150000,412.3715870835057,0
175000,605.4963011950019,0
200000,672.3428127337107,0
225000,719.7921972385018,0
250000,741.3581654272109,0
275000,750.5295050146327,0
300000,764.1210224610427,0
325000,761.5447034311585,0
350000,782.560847298133,0
375000,788.3509715763369,0
400000,803.4509422219023,0
425000,813.9507162291842,0
450000,818.4458346197558,0
475000,816.1637926014389,0
500000,829.3907848732563,0
525000,843.9697734791598,0
550000,839.1005221641014,0
575000,847.9293603980216,0
600000,818.455630519278,0
625000,838.798630193299,0
650000,846.643057824559,0
675000,854.1553771541263,0
700000,854.3857674389716,0
725000,862.9747499602217,0
750000,862.5809926080765,0
775000,861.5559489060186,0
800000,865.4636791152113,0
825000,855.6958368353013,0
850000,807.008811451342,0
875000,861.9026858211558,0
900000,866.1989965061941,0
925000,832.9643856103927,0
950000,859.1881743469363,0
975000,857.8625150071526,0
1000000,852.5298773737735,0
0,0.0,1
25000,32.18696545609367,1
50000,73.32314509871053,1
75000,423.9002850963899,1
100000,488.5456409539012,1
125000,564.3466885017382,1
150000,612.6040678250998,1
175000,673.3355112516609,1
200000,694.4474100243067,1
225000,700.9246044681622,1
250000,701.0525059779839,1
275000,710.3342434906268,1
300000,730.6360836741502,1
325000,744.0648862502518,1
350000,757.9495668213419,1
375000,766.9763226372892,1
400000,772.5825075452846,1
425000,792.8770229452945,1
450000,807.8608194380334,1
475000,805.4115437168601,1
500000,812.1874781460009,1
525000,817.4593051526215,1
550000,826.6798920156173,1
575000,844.8359642917854,1
600000,855.2703444372315,1
625000,829.9758894173561,1
650000,860.5325881274232,1
675000,868.020742886198,1
700000,834.5900565680853,1
725000,864.6115053412823,1
750000,795.8129500594735,1
775000,866.1398641199266,1
800000,860.0836763997456,1
825000,852.9323947660383,1
850000,852.4270356293579,1
875000,876.5957631902271,1
900000,871.6523849024604,1
925000,881.8455673468228,1
950000,878.0627576244202,1
975000,858.5527983302105,1
1000000,880.8326550806809,1
0,0.0,2
25000,64.70417597281276,2
50000,79.83801876428916,2
75000,382.45980159021565,2
100000,552.0854871159916,2
125000,647.3107192790494,2
150000,674.8740034269558,2
175000,698.5347571666673,2
200000,728.8946380609198,2
225000,758.1792803217293,2
250000,761.5830529310963,2
275000,779.5147245938698,2
300000,788.1846435693927,2
325000,800.4561454964237,2
350000,799.4287580305669,2
375000,810.1870457186517,2
400000,821.1807651930415,2
425000,837.8034976171341,2
450000,818.4041641971064,2
475000,834.017066390226,2
500000,858.3142705539118,2
525000,851.3955797746588,2
550000,866.1336256845768,2
575000,878.1082336456677,2
600000,858.053816952384,2
625000,867.4668167444139,2
650000,832.7488344978113,2
675000,873.4768978150425,2
700000,885.898197387851,2
725000,886.3754760986583,2
750000,881.0325712406717,2
775000,876.3254045400721,2
800000,863.4015205292042,2
825000,893.9037814556805,2
850000,868.6765997708166,2
875000,879.6461051115351,2
