step,reward,seed
0,0.0,0
25000,151.1,0
50000,173.0,0
75000,237.1,0
100000,505.7,0
125000,718.7,0
150000,768.5,0
175000,744.3,0
200000,814.9,0
225000,847.1,0
250000,804.8,0
275000,847.2,0
300000,868.7,0
325000,393.4,0
350000,875.4,0
375000,880.2,0
400000,871.5,0
425000,793.5,0
450000,880.2,0
475000,878.2,0
500000,871.7,0
525000,883.3,0
550000,889.3,0
575000,868.8,0
600000,889.2,0
625000,885.3,0
650000,697.7,0
675000,884.1,0
700000,887.5,0
725000,565.8,0
750000,885.0,0
775000,886.8,0
800000,893.0,0
825000,754.4,0
850000,870.2,0
875000,897.2,0
900000,876.8,0
925000,890.6,0
950000,898.4,0
975000,857.1,0
1000000,891.5,0
0,0.0,1
25000,127.6,1
50000,141.0,1
75000,161.0,1
100000,450.2,1
125000,614.5,1
150000,665.8,1
175000,536.5,1
200000,755.9,1
225000,709.3,1
250000,609.4,1
275000,748.7,1
300000,781.3,1
325000,394.1,1
350000,753.1,1
375000,769.9,1
400000,826.6,1
425000,706.7,1
450000,820.1,1
475000,850.1,1
500000,694.2,1
525000,806.6,1
550000,861.8,1
575000,750.8,1
600000,850.4,1
625000,866.3,1
650000,630.6,1
675000,832.3,1
700000,870.5,1
725000,291.4,1
750000,751.6,1
775000,855.1,1
800000,866.5,1
825000,791.8,1
850000,865.4,1
875000,858.3,1
900000,808.2,1
925000,868.8,1
950000,872.0,1
975000,793.1,1
1000000,869.5,1
0,0.0,2
25000,97.4,2
50000,212.4,2
75000,165.5,2
100000,420.6,2
125000,607.9,2
150000,391.9,2
175000,759.8,2
200000,810.9,2
225000,842.9,2
250000,479.3,2
275000,852.8,2
300000,59.7,2
325000,318.5,2
350000,884.9,2
375000,870.9,2
400000,883.7,2
425000,865.9,2
450000,884.0,2
475000,889.8,2
500000,888.9,2
525000,895.6,2
550000,895.5,2
575000,833.4,2
600000,887.4,2
625000,883.4,2
650000,840.7,2
675000,889.6,2
700000,893.2,2
725000,266.2,2
750000,881.1,2
775000,894.2,2
800000,899.1,2
825000,851.9,2
850000,897.0,2
875000,886.7,2
900000,879.1,2
925000,900.4,2
950000,899.7,2
975000,779.0,2
1000000,887.2,2
0,0.0,3
25000,94.2,3
50000,234.6,3
75000,522.8,3
100000,637.0,3
125000,726.5,3
150000,744.5,3
175000,751.6,3
200000,796.2,3
225000,741.0,3
250000,364.9,3
275000,778.8,3
300000,848.3,3
325000,418.7,3
350000,850.2,3
375000,872.9,3
400000,876.3,3
425000,854.5,3
450000,878.6,3
475000,782.3,3
500000,749.6,3
525000,877.4,3
550000,893.5,3
575000,831.7,3
600000,892.0,3
625000,896.3,3
650000,794.8,3
675000,854.5,3
700000,890.0,3
725000,467.1,3
750000,875.4,3
775000,894.4,3
800000,899.3,3
825000,825.8,3
850000,895.0,3
875000,900.6,3
900000,884.0,3
925000,893.4,3
950000,868.8,3
975000,779.4,3
1000000,893.6,3
0,0.0,4
25000,82.3,4
50000,204.6,4
75000,251.0,4
100000,587.0,4
125000,690.0,4
150000,774.6,4
175000,638.0,4
200000,819.9,4
225000,93.7,4
250000,719.4,4
275000,799.7,4
300000,866.2,4
325000,309.7,4
350000,869.3,4
375000,875.8,4
400000,883.0,4
425000,864.6,4
450000,886.4,4
475000,841.1,4
500000,879.3,4
525000,882.3,4
550000,900.6,4
575000,865.0,4
600000,890.6,4
625000,887.3,4
650000,828.2,4
675000,888.6,4
700000,901.0,4
725000,346.9,4
750000,888.0,4
775000,899.9,4
800000,904.4,4
825000,892.5,4
850000,808.9,4
875000,904.5,4
900000,802.8,4
925000,902.6,4
950000,904.6,4
975000,767.7,4
1000000,900.9,4
