step,reward,seed
0,0.0,0
25000,64.58019162991262,0
50000,116.05025143757807,0
75000,74.85238605742526,0
100000,227.63279498883844,0
125000,551.365988173897,0
150000,666.1433677771146,0
175000,700.7053559424852,0
200000,693.901035685751,0
225000,747.1627536860198,0
250000,778.6743309832622,0
275000,805.1329298569436,0
300000,811.8359093734878,0
325000,794.7841929865692,0
350000,823.8943385673585,0
375000,799.5460369193631,0
400000,798.8968333962526,0
425000,847.459179477996,0
450000,640.5278981809076,0
475000,865.3431020914759,0
500000,854.5860153326078,0
525000,856.4489992772526,0
550000,867.7576557761749,0
575000,778.0725709033717,0
600000,867.4978793533271,0
625000,871.8611415753592,0
650000,843.2031737134781,0
675000,729.7219518074055,0
700000,880.6639407568398,0
725000,859.7722647344824,0
750000,881.5867857249152,0
775000,876.2524579356775,0
800000,888.1890273917985,0
825000,869.0315715379847,0
850000,877.0584966504518,0
875000,768.8703902213383,0
900000,838.413360948537,0
925000,887.9306808506344,0
950000,887.805708152755,0
975000,887.9477048048799,0
1000000,883.5046608754916,0
0,0.0,1
25000,1.3694810853535535,1
50000,247.65392882076588,1
75000,123.25085897034778,1
100000,456.6788068796133,1
125000,533.0991525714513,1
150000,614.6542452773324,1
175000,732.053065060885,1
200000,610.6554495319039,1
225000,839.504638265329,1
250000,632.7475241371466,1
275000,822.2801083654012,1
300000,835.0992349936192,1
325000,803.2583151294426,1
350000,837.5495915940037,1
375000,739.453810352918,1
400000,861.4197519842324,1
425000,873.2741246780045,1
450000,886.8520131988723,1
475000,874.3664068355192,1
500000,892.0471059521402,1
525000,879.8888200980178,1
550000,883.6191746097435,1
575000,826.0929845765502,1
600000,887.7528789418526,1
625000,872.4503384457315,1
650000,883.9576222349478,1
675000,895.2188125248633,1
700000,891.9412630986704,1
725000,890.5697050914738,1
750000,886.1674142419982,1
775000,894.8927294300174,1
800000,901.2005593198946,1
825000,881.0615781011286,1
850000,897.6712674186907,1
875000,897.325851165437,1
900000,891.5744896696087,1
925000,889.7893585159139,1
950000,900.1476073766898,1
975000,888.6617012086638,1
1000000,835.4957210798423,1
0,0.0,2
25000,44.48648856587304,2
50000,328.10133519698985,2
75000,443.80373536060586,2
100000,541.2269374441905,2
125000,604.5803116061704,2
150000,557.1219788996066,2
175000,677.4194948043045,2
200000,757.5514557748269,2
225000,747.266101464489,2
250000,655.6419186233409,2
275000,653.7570329058369,2
300000,780.0613322572427,2
325000,798.1000269901622,2
350000,769.354430984148,2
375000,829.5153675760308,2
400000,821.4336214212401,2
425000,835.5518158038115,2
450000,841.161481962321,2
475000,832.8247515815787,2
500000,854.0418941625363,2
525000,868.8191888171161,2
550000,867.4512275006631,2
575000,863.2311963245489,2
600000,863.1014301511266,2
625000,869.5888805821805,2
650000,882.6910673384093,2
675000,882.2277220144069,2
700000,880.1138361299769,2
725000,844.0634881238462,2
750000,880.9736681729449,2
775000,882.1644124872826,2
800000,883.1636962154937,2
825000,886.7628722356037,2
850000,890.2486822676216,2
875000,888.9409981611789,2
900000,891.4187869828177,2
925000,892.1548071935761,2
950000,894.2798963136263,2
975000,894.0655849755764,2
1000000,896.4246115441086,2
0,0.0,3
25000,37.5857412084152,3
50000,156.41341445387343,3
75000,254.28774254505143,3
100000,293.4826614359091,3
125000,505.5700450574709,3
150000,583.5096432156682,3
175000,597.6722400188097,3
200000,655.702987980115,3
225000,709.011142373367,3
250000,698.3138926719936,3
275000,777.7012345699849,3
300000,761.1728814585355,3
325000,816.07445145683,3
350000,821.6204027533506,3
375000,830.7670617426486,3
400000,793.9502224092801,3
425000,839.4953177813071,3
450000,859.3907612949508,3
475000,857.5765187827772,3
500000,858.9788498124224,3
525000,864.316802970171,3
550000,861.3670377201531,3
575000,873.5001504806887,3
600000,873.3924399221112,3
625000,876.2989247930842,3
650000,876.9008832405314,3
675000,875.3053535930669,3
700000,881.012212871947,3
725000,884.8516067207972,3
750000,871.9438897521975,3
775000,880.191250013199,3
800000,874.1034416735267,3
825000,882.0591903120463,3
850000,879.2558543079624,3
875000,806.8715039561706,3
900000,877.6847276399355,3
925000,882.3625412092739,3
950000,881.4520844594329,3
975000,885.9276444397425,3
1000000,880.861293077943,3
0,0.0,4
25000,15.567099872337376,4
50000,119.02056296851647,4
75000,127.46709385423021,4
100000,200.57786878141624,4
125000,527.2462456699707,4
150000,604.9250144322907,4
175000,648.6944574625087,4
