step,reward,seed
0,0.1569400568269861,0
25000,27.6082477173212,0
50000,93.3366005619636,0
75000,91.86068047056538,0
100000,207.8177749544563,0
125000,262.06194782305136,0
150000,274.68676560731035,0
175000,177.26400750126965,0
200000,504.79930756379474,0
225000,549.702299429397,0
250000,570.543983560709,0
275000,495.1109691420529,0
300000,599.4632685837166,0
325000,569.451623701304,0
350000,620.8732724796185,0
375000,589.7965277192712,0
400000,641.4921482929219,0
425000,662.5397506937778,0
450000,658.1067390043924,0
475000,622.1249725355294,0
500000,635.2966896931927,0
525000,674.9453912863196,0
550000,695.219118245717,0
575000,693.1871914076892,0
600000,714.327699786629,0
625000,711.3155481753528,0
650000,625.6320675656359,0
675000,744.0559254001519,0
700000,723.3836601395187,0
725000,683.6183940058114,0
750000,704.638650487025,0
775000,716.2997019109852,0
800000,723.3217221116745,0
825000,701.0096847274941,0
850000,755.1428156208212,0
875000,788.131838704317,0
900000,751.9959291024065,0
925000,783.4492345051565,0
950000,786.1877337102021,0
975000,778.1425373532854,0
1000000,788.131838704317,0
0,1.037156530667565,1
25000,71.17571895997483,1
50000,77.52426160763625,1
75000,146.16251041849495,1
100000,127.00432760556086,1
125000,232.0378779924212,1
150000,516.6098231986442,1
175000,583.0434296005308,1
200000,626.561919309742,1
225000,647.8079588500814,1
250000,702.8442234824046,1
275000,750.2004511049843,1
300000,766.3312396706295,1
325000,766.6600576937697,1
350000,785.9049178398577,1
375000,793.2369436041066,1
400000,818.2546495678467,1
425000,808.6105675503117,1
450000,831.1787939221434,1
475000,843.2592399090776,1
500000,841.5212913437939,1
525000,843.1952810534724,1
550000,854.9173914232358,1
575000,851.6950778837803,1
600000,858.0773576016775,1
625000,850.1273344360372,1
650000,877.4106538265514,1
675000,876.9698541084463,1
700000,854.2095875796697,1
725000,862.8824626696947,1
750000,866.2530077259928,1
775000,863.6468506520556,1
800000,873.117114534349,1
825000,880.357434895452,1
850000,880.6845677624846,1
875000,841.3992688235985,1
