step,reward,seed
1,6.689791347582309,0
25000,3.6437021236048026,0
50000,4.542800101346404,0
75000,7.085812809867457,0
100000,7.307963279198157,0
125000,28.121794559458884,0
150000,29.04452025573992,0
175000,23.29198259908885,0
200000,45.33474095200436,0
225000,34.06389666419019,0
250000,31.670253359593502,0
275000,49.26993284172168,0
300000,5.4829625820108046,0
325000,42.22782537927943,0
350000,49.38734600600073,0
375000,34.91229513572762,0
400000,12.600180423991151,0
425000,57.73524632462436,0
450000,51.4308975485251,0
475000,62.93067943907181,0
500000,20.453884938852752,0
525000,41.81671282022835,0
550000,6.308419103119844,0
575000,67.15679865171697,0
600000,52.95851885597885,0
625000,46.927417691343,0
650000,54.14905245776608,0
675000,40.59711405666403,0
700000,15.771895908831358,0
725000,17.908578523512965,0
750000,70.72952759357285,0
775000,35.128934285364814,0
800000,76.93540690329829,0
825000,76.17425880345982,0
850000,68.4859705710318,0
875000,73.08161751603475,0
900000,77.20787427645409,0
925000,89.03519046220462,0
950000,84.58337074473675,0
975000,89.40549651174805,0
1000000,89.85303451720101,0
1,7.076500241305588,1
25000,9.029790728752127,1
50000,7.345741263114853,1
75000,5.7486897746845145,1
100000,8.055303515640617,1
125000,12.14590374676518,1
150000,13.511589522181476,1
175000,23.4985315072852,1
200000,52.44313629694716,1
225000,54.315027426060624,1
250000,11.813096878757642,1
275000,14.297467458156472,1
300000,107.00594609131532,1
325000,25.95784161831434,1
350000,62.31738867847671,1
375000,82.7138942814432,1
400000,91.42561544964902,1
425000,104.26568183433264,1
450000,102.93568781352806,1
475000,5.831975609513938,1
500000,44.09010741901293,1
525000,114.00201948162456,1
550000,110.10820829776677,1
575000,107.53910625730497,1
600000,90.63522189942888,1
625000,87.07914783462293,1
650000,94.81173179162178,1
675000,114.28928959684865,1
700000,98.6461721890474,1
725000,128.88323360975193,1
750000,126.82238115781291,1
775000,110.1212498705834,1
800000,129.51727115809916,1
825000,91.7568696058348,1
850000,117.03734599072888,1
875000,103.44438991563511,1
900000,124.46756189224745,1
925000,112.99384551442928,1
950000,113.5368146998284,1
975000,121.29705661260525,1
1000000,10.147332281353687,1
1,9.249006270081235,2
25000,4.679076254082702,2
50000,8.375767307486976,2
75000,10.64976662196591,2
100000,10.50495875036952,2
125000,8.292701403925056,2
150000,15.29278777078857,2
175000,13.236961875158832,2
200000,6.567278993078128,2
225000,39.42922624843968,2
250000,35.937597904125866,2
275000,25.799862379197293,2
300000,35.08519596142448,2
325000,69.21526652438915,2
350000,43.40588222739093,2
375000,65.28800778546875,2
400000,68.20842819023369,2
425000,59.91437131386679,2
450000,4.655951930705465,2
475000,45.01143914602108,2
500000,87.88361882650061,2
525000,66.6873657563372,2
550000,88.78887857744724,2
575000,86.67441141222211,2
600000,111.80004359004089,2
625000,78.52966474236818,2
650000,16.06545330848342,2
675000,60.69113035504488,2
700000,100.0772965011438,2
725000,79.80811538486742,2
750000,65.71600885211483,2
775000,62.8131259708025,2
800000,93.58070364831948,2
825000,101.65834805276316,2
850000,119.8997055951564,2
875000,17.991319036959514,2
900000,50.97717564614141,2
925000,112.54778268565532,2
950000,21.007776065963917,2
975000,126.7111998329412,2
1000000,95.9302548483247,2
1,5.438878369724989,3
25000,13.202279916153516,3
50000,13.991174525820952,3
75000,28.916891374708577,3
100000,39.21940026673407,3
125000,22.56755459573433,3
150000,33.847751348755764,3
175000,37.98313304519193,3
200000,41.95799403100536,3
225000,52.21580016529079,3
250000,44.28195625678236,3
275000,50.04425091223102,3
300000,38.73893521517928,3
325000,45.83757231023628,3
350000,61.807665485030974,3
375000,51.06173607411944,3
400000,49.061982652613366,3
425000,69.9943316780018,3
450000,50.50278405372519,3
475000,65.06203438106786,3
500000,71.5119177512519,3
525000,58.21259949325467,3
550000,75.96519714709139,3
575000,20.500011846053987,3
600000,46.27333327050201,3
625000,80.60684487960388,3
650000,66.78619726379729,3
675000,67.45277465002364,3
700000,38.61829154515354,3
725000,16.887296784552017,3
750000,40.68121719593764,3
775000,48.12653753836057,3
800000,44.99522452969977,3
825000,51.32514813952148,3
850000,103.85494165804704,3
875000,92.77858646610656,3
900000,103.74509980082368,3
925000,123.7615689562168,3
950000,103.76674432500732,3
975000,112.080597545419,3
1000000,124.36463339184412,3
1,6.235999675877679,4
25000,3.914169835442269,4
50000,6.230524319377329,4
75000,24.95338295391202,4
100000,8.861758431939915,4
125000,5.026302202278922,4
150000,6.347051358549402,4
175000,8.768230614945939,4
200000,8.795257062628707,4
225000,2.712091186384714,4
250000,24.95338295391202,4
275000,24.95338295391202,4
300000,24.95338295391202,4
325000,24.95338295391202,4
350000,24.95338295391202,4
375000,24.95338295391202,4
400000,24.95338295391202,4
425000,24.95338295391202,4
450000,24.95338295391202,4
475000,24.95338295391202,4
500000,24.95338295391202,4
525000,24.95338295391202,4
550000,24.95338295391202,4
575000,24.95338295391202,4
600000,24.95338295391202,4
625000,24.95338295391202,4
650000,24.95338295391202,4
675000,24.95338295391202,4
700000,24.95338295391202,4
725000,24.95338295391202,4
750000,24.95338295391202,4
775000,24.95338295391202,4
800000,24.95338295391202,4
825000,24.95338295391202,4
850000,24.95338295391202,4
875000,24.95338295391202,4
900000,24.95338295391202,4
925000,24.95338295391202,4
950000,24.95338295391202,4
975000,24.95338295391202,4
1000000,24.95338295391202,4
1,4.051176768912359,5
25000,5.4639662550789465,5
50000,19.22344478102696,5
75000,14.688276584492996,5
100000,8.572174916620805,5
125000,45.86558437178324,5
150000,37.68899213546865,5
175000,54.72159014404606,5
200000,58.930671506472365,5
225000,12.889880209452718,5
250000,43.43835427680169,5
275000,82.32680653630887,5
300000,91.40736511912182,5
325000,74.80047602702325,5
350000,61.86101997613078,5
375000,66.99799148578313,5
400000,68.36062460075519,5
425000,67.587397200954,5
450000,78.1200795397046,5
475000,79.47291223561588,5
500000,6.348595282448571,5
525000,8.910363687623839,5
550000,103.05384393926944,5
575000,49.5620963945688,5
600000,88.6526733649278,5
625000,75.32649221360916,5
650000,53.779121118915285,5
675000,90.74136999491311,5
700000,76.4904568344471,5
725000,55.93561707532749,5
750000,61.76906884115597,5
775000,90.57528311737114,5
800000,99.34235286664996,5
825000,22.64309069560409,5
850000,96.28995459573343,5
875000,97.72972207440652,5
900000,54.75084098136504,5
925000,98.36600810000672,5
950000,36.4042924106936,5
975000,39.39103347443452,5
1000000,84.56678361747872,5
1,4.479043482993585,6
25000,7.127307042982193,6
50000,3.690990312024224,6
75000,5.433421591989921,6
100000,4.194902675387039,6
125000,6.146123985929672,6
150000,7.693003221634695,6
175000,10.37618734945224,6
200000,9.00886252879416,6
225000,11.501389508094697,6
250000,5.22265682734332,6
275000,8.142133641039473,6
300000,8.92077180100041,6
325000,4.225675351238227,6
350000,8.484557863147904,6
375000,25.63006227542276,6
400000,7.139769486602615,6
425000,17.7037231812396,6
450000,16.779933847620036,6
475000,15.016782053676732,6
500000,7.933817158848541,6
525000,21.16307019190291,6
550000,22.941192459703927,6
575000,38.18725984110933,6
600000,51.92350789865005,6
625000,57.593520192340335,6
650000,37.55297094864692,6
675000,33.872639985640355,6
700000,108.43239482383304,6
725000,132.06155134291492,6
750000,108.20113076708417,6
775000,119.88416991296836,6
800000,148.5925298546481,6
825000,132.4058237908625,6
850000,165.3449873417605,6
875000,126.03413227498676,6
900000,161.77862078433836,6
925000,164.63305772329332,6
950000,175.90117994904867,6
975000,184.96634445084493,6
1000000,166.77507486204703,6
1,5.625181709065144,7
25000,6.699322980640227,7
50000,4.443182335218057,7
75000,7.831316051859619,7
100000,3.6510893019262767,7
125000,6.731917408014539,7
150000,3.6455728794764695,7
175000,6.499019476997546,7
200000,7.317134398599251,7
225000,4.013638220551184,7
250000,7.831316051859619,7
275000,7.831316051859619,7
300000,7.831316051859619,7
325000,7.831316051859619,7
350000,7.831316051859619,7
375000,7.831316051859619,7
400000,7.831316051859619,7
425000,7.831316051859619,7
450000,7.831316051859619,7
475000,7.831316051859619,7
500000,7.831316051859619,7
525000,7.831316051859619,7
550000,7.831316051859619,7
575000,7.831316051859619,7
600000,7.831316051859619,7
625000,7.831316051859619,7
650000,7.831316051859619,7
675000,7.831316051859619,7
700000,7.831316051859619,7
725000,7.831316051859619,7
750000,7.831316051859619,7
775000,7.831316051859619,7
800000,7.831316051859619,7
825000,7.831316051859619,7
850000,7.831316051859619,7
875000,7.831316051859619,7
900000,7.831316051859619,7
925000,7.831316051859619,7
950000,7.831316051859619,7
975000,7.831316051859619,7
1000000,7.831316051859619,7
1,9.249093473986392,8
25000,3.4371924236882863,8
50000,5.004847635649607,8
75000,8.98510937139505,8
100000,20.467282905273613,8
125000,5.649811538533429,8
150000,19.07761827101175,8
175000,22.053475047200028,8
200000,8.67573043074017,8
225000,54.294772081064,8
250000,12.647373619533033,8
275000,16.20237150550983,8
300000,47.95957540747554,8
325000,38.27189655503025,8
350000,118.72377071352166,8
375000,126.30590883500264,8
400000,106.7812201859208,8
425000,74.3347630555151,8
450000,129.32957631611217,8
475000,54.55672877166627,8
500000,124.75978224931752,8
