step,reward,seed
0,6.024482707564232,0
25000,6.060318672101538,0
50000,8.281626286784835,0
75000,17.02268589878011,0
100000,7.891736222719302,0
125000,10.141563684213322,0
150000,7.850317461167907,0
175000,14.870009901711065,0
200000,30.98969151714217,0
225000,29.87820076780934,0
250000,49.93809285268892,0
275000,52.80455008829748,0
300000,54.9673983352141,0
325000,54.90453338560788,0
350000,61.250958362511845,0
375000,59.52576361463957,0
400000,64.62052874699484,0
425000,66.44339645132392,0
450000,63.88676768220751,0
475000,63.21094782383575,0
500000,69.1170194729073,0
525000,67.83263402335879,0
550000,64.83993189332796,0
575000,68.3804596252636,0
600000,72.39284517253091,0
625000,67.66194376982077,0
650000,65.33866177708711,0
675000,71.680308423388,0
700000,68.78879302065803,0
725000,68.53632395353948,0
750000,82.32091773808057,0
775000,72.84735279153077,0
800000,68.78999142554353,0
825000,68.69397387286779,0
850000,76.48498682028989,0
875000,77.0704927122781,0
900000,68.41695040049106,0
925000,76.38611284226911,0
950000,72.63804600669363,0
975000,64.5797718208326,0
1000000,77.58761002768225,0
0,4.412898760846779,1
25000,4.947558735535524,1
50000,15.797053487797609,1
75000,4.371835224934097,1
100000,19.3945708535197,1
125000,14.47634474776306,1
150000,41.043968396419885,1
175000,5.175078937143054,1
200000,22.28416500617947,1
225000,37.888018934410425,1
250000,12.367902715795417,1
275000,37.7383794458173,1
300000,46.63320323583592,1
325000,55.38638035394312,1
350000,55.84135924684436,1
375000,56.21884976150726,1
400000,69.20648054781236,1
425000,63.210388100592766,1
450000,68.17543917606845,1
475000,75.02659992856066,1
500000,78.55305071881608,1
525000,73.39889675357888,1
550000,85.3998895144186,1
575000,87.06660946346841,1
600000,90.96605186897408,1
625000,101.50349162655051,1
650000,111.89204461372208,1
675000,105.88025726037785,1
700000,105.5234963711906,1
725000,122.30028066228763,1
750000,119.2225646396974,1
775000,109.0285800798528,1
800000,123.63911841101957,1
825000,131.91559134820585,1
850000,132.02819768517548,1
875000,140.53060081538064,1
900000,138.260328239744,1
925000,143.90069060820628,1
950000,143.29409681454302,1
975000,144.19533879117003,1
1000000,149.0376162182261,1
0,4.770582134607935,2
25000,4.592114920096295,2
50000,6.092407285827292,2
75000,4.84487004176471,2
100000,11.324060695644173,2
125000,29.534454380332534,2
150000,20.371620393212787,2
175000,41.00827249435261,2
200000,43.07756616549444,2
225000,37.61535282735636,2
250000,53.29991140449564,2
275000,67.71026590270222,2
300000,69.48243287332168,2
325000,72.13702077823238,2
350000,77.28354499996624,2
375000,86.22529724990851,2
400000,92.14224157789482,2
425000,81.23596591489817,2
450000,100.16552185783893,2
475000,82.77773914794982,2
500000,93.8352444025907,2
525000,86.71199492437016,2
550000,100.84534783493204,2
575000,101.49752661591349,2
600000,107.90903638314198,2
625000,99.72597206149642,2
650000,114.69566098689752,2
675000,113.62386109806792,2
700000,41.17993450917004,2
725000,50.01685506355422,2
750000,112.22709490620882,2
775000,117.94402682681576,2
800000,121.98016948984431,2
825000,115.6592989348174,2
850000,118.01501869050568,2
875000,101.6059639855266,2
900000,107.58312178149222,2
925000,119.79829814842704,2
950000,128.84182335423526,2
975000,111.64112407073556,2
1000000,135.54028708474047,2
0,6.227122653996561,3
25000,6.237990685201653,3
50000,6.528477243450548,3
75000,15.230394793936892,3
100000,19.363564242935585,3
125000,6.949722342827094,3
150000,11.805243596930175,3
175000,15.846630153931205,3
200000,35.52928541954714,3
225000,37.83489492996426,3
250000,43.622147031485625,3
275000,42.53966992469341,3
300000,48.42015488684409,3
325000,49.23829030927448,3
350000,52.497502806833936,3
375000,55.80222645461966,3
400000,62.062285872801866,3
425000,62.0783959707212,3
450000,63.72031865613086,3
475000,62.00766519529609,3
500000,65.64360541175293,3
525000,63.79813020324012,3
550000,62.61790813503342,3
575000,68.69301787737308,3
600000,63.26751908198723,3
625000,71.01934121189512,3
650000,72.08926919208723,3
675000,72.29068602721742,3
700000,74.29785671376979,3
725000,8.30684657095997,3
750000,40.23590479706506,3
775000,74.71698462212503,3
800000,82.78197611808218,3
825000,94.78678091260902,3
850000,110.22513366900476,3
875000,97.83587304392184,3
900000,127.67820331673852,3
925000,132.69740298946203,3
950000,138.86069159944955,3
975000,151.94363198238324,3
1000000,147.4963958845011,3
0,4.983420348021618,4
25000,6.232473716077733,4
50000,18.83867705074607,4
75000,14.469848668889346,4
100000,18.662377227712632,4
125000,27.84769378146252,4
150000,24.031515948744293,4
175000,24.70099634813108,4
200000,35.03292237294122,4
225000,39.5757632366707,4
250000,47.63054815792826,4
275000,46.43655717919624,4
300000,46.06218393233227,4
325000,46.719341548704826,4
350000,52.34916331644367,4
375000,51.369155826636266,4
400000,46.01731447859403,4
425000,51.04193121665035,4
450000,44.48609848796826,4
475000,48.86709850972157,4
500000,52.279312624333706,4
525000,52.95303167738248,4
550000,52.32697887972176,4
575000,56.73101971973441,4
600000,48.11174182518571,4
625000,54.7376486670366,4
650000,52.40938519188503,4
675000,57.41439641993757,4
700000,53.574908865426565,4
725000,51.104617568887065,4
750000,54.90197303862247,4
775000,52.4951344638813,4
800000,56.67805409401027,4
825000,55.67234239314981,4
850000,58.64518724998493,4
875000,57.49014056500009,4
900000,56.66593514093036,4
925000,54.63657151525719,4
950000,55.647243368519256,4
975000,55.88345665925941,4
1000000,54.35796046436906,4
0,4.59907607250071,5
25000,4.440243972240363,5
50000,5.800488699124918,5
75000,8.335544315591235,5
100000,9.923731999016674,5
125000,21.45501291102549,5
150000,14.880393913272826,5
175000,32.79770614983468,5
200000,6.740623065575297,5
225000,38.06656388556703,5
250000,37.74000106938463,5
275000,49.04375477669306,5
300000,51.36607082243612,5
325000,51.51521783628385,5
350000,50.17364586458956,5
375000,58.1204022975899,5
400000,69.00560511256516,5
425000,62.89720503698383,5
450000,64.58864617975932,5
475000,70.89953351367056,5
500000,68.30728971451205,5
525000,73.3451258315153,5
550000,79.38895304503531,5
575000,78.1557164615322,5
600000,79.15623489895971,5
625000,86.34235509823334,5
650000,86.38070334935573,5
675000,93.5096900130346,5
700000,99.33314742323434,5
725000,92.62265895417087,5
750000,104.26063706577467,5
775000,119.96247327771916,5
800000,151.06015259818233,5
825000,129.75711657448855,5
850000,138.7048886209599,5
875000,155.3207433969314,5
900000,157.3029248202601,5
925000,163.91031726222403,5
950000,165.96844016417995,5
975000,163.78094428766582,5
1000000,165.44690670947034,5
0,9.337214768458972,6
25000,7.784212242278717,6
50000,7.902686791348771,6
75000,13.563748329211634,6
100000,6.366221021854825,6
125000,12.449977548911392,6
150000,40.02801629389492,6
175000,42.40033875930909,6
200000,49.28590975271713,6
225000,48.80242257967443,6
250000,48.55189886007072,6
275000,52.6894173907224,6
300000,35.64640637305971,6
325000,59.65699698629994,6
350000,57.02748151439448,6
375000,65.44378410204142,6
400000,63.55379625374261,6
425000,59.687107786217,6
450000,63.32346970106779,6
475000,61.37097962201578,6
500000,65.59112787094668,6
525000,78.77647458625152,6
550000,66.96670921970498,6
575000,75.46611365990124,6
600000,91.11286992673392,6
625000,81.96640208978968,6
650000,90.36840287139827,6
675000,106.3116546397696,6
700000,79.6203333538566,6
725000,109.76603914664648,6
750000,90.0767446752154,6
775000,107.1827320368008,6
800000,112.86148489212846,6
825000,123.71347968739414,6
850000,126.32479105903312,6
875000,130.68084119059097,6
900000,124.57974040225278,6
925000,126.5447536557609,6
950000,130.4782301046542,6
975000,129.72664716610362,6
1000000,127.6987886023718,6
0,3.423590621349215,7
25000,3.271089716930413,7
50000,3.9330482141899616,7
75000,11.993816740231566,7
100000,23.09328306742057,7
125000,37.2731637045908,7
150000,26.031283135745365,7
175000,53.27115502436615,7
200000,46.72529075308233,7
225000,49.83175348467654,7
250000,51.80941962973905,7
275000,56.168585752442524,7
300000,57.314755704430766,7
325000,57.56431572920902,7
350000,63.93392021331738,7
375000,63.65665692576359,7
400000,59.76012249305372,7
425000,65.00203385289292,7
450000,61.3524362527664,7
475000,64.68021598503067,7
500000,62.50104936288251,7
525000,62.88124273854336,7
550000,72.47750200105268,7
575000,71.04540594573538,7
600000,69.64555982898997,7
625000,70.15158191827756,7
650000,71.35334691254529,7
675000,68.4090245611495,7
700000,69.59915971237609,7
725000,69.86847957237865,7
750000,76.85258658072681,7
775000,71.91170451530118,7
800000,73.4994159467383,7
825000,75.25855495695973,7
850000,77.96717181250514,7
875000,76.36753586798909,7
900000,76.79985719322865,7
925000,86.27476076164515,7
950000,83.19757566264083,7
975000,85.1670115613207,7
1000000,85.67546120683944,7
0,3.566160299988595,8
25000,4.070511309814596,8
50000,11.171291955814343,8
75000,16.66721892290904,8
100000,24.874176994300104,8
125000,34.636795351446736,8
150000,46.29586428875989,8
175000,49.30696918673003,8
200000,50.29091253043528,8
225000,53.56170788470355,8
250000,48.36475236759647,8
275000,55.94858812616302,8
300000,50.385863839168834,8
325000,63.56878508933632,8
350000,79.63699003322523,8
375000,62.21192212364107,8
400000,79.00317506454466,8
425000,85.17465468158203,8
450000,87.74992204817593,8
475000,75.55174616449571,8
500000,93.040654592266,8
525000,116.47043382332454,8
550000,115.82965556230438,8
575000,110.4835859145001,8
600000,118.5756895497804,8
625000,111.05334736492333,8
650000,58.633719624775175,8
675000,121.0475419265239,8
700000,122.87314011388374,8
725000,117.57469826713228,8
750000,114.33412751005494,8
775000,118.88553319494557,8
800000,122.83847409843256,8
825000,124.41922708231957,8
850000,123.59275936512026,8
875000,115.37296885752866,8
900000,121.58646873457604,8
925000,119.68039344546868,8
950000,125.88369496414012,8
975000,125.54286894678116,8
1000000,107.5577955036024,8
0,8.060170296341123,9
25000,5.321498614310583,9
50000,6.784598853113839,9
75000,19.224239627554372,9
100000,18.820834084373416,9
125000,7.683593048922235,9
150000,22.013613191875425,9
175000,29.480492390139798,9
200000,21.17374114404419,9
225000,14.67667844061568,9
250000,45.476416466179785,9
275000,46.02535635769124,9
300000,55.356015016513496,9
325000,51.493929406160575,9
350000,65.1256976331987,9
375000,63.73344609913281,9
400000,95.32406100569422,9
425000,66.39245942042459,9
450000,98.91496808964456,9
475000,98.77390063650375,9
500000,97.2412845981533,9
525000,88.10284737295919,9
550000,103.4346120974008,9
575000,106.37689783450756,9
600000,123.46246020220784,9
625000,125.9989735472866,9
650000,127.89685133815036,9
675000,127.03472225104572,9
700000,121.447865558486,9
725000,134.47040149872572,9
750000,125.39457054867876,9
775000,130.0882761240978,9
800000,129.3951414285168,9
825000,134.34684910846653,9
850000,136.8053595962284,9
875000,142.61410487518046,9
900000,141.61394794170488,9
925000,128.72064059730482,9
950000,131.8613498834408,9
975000,137.34000779313166,9
1000000,145.4218887510347,9
