step,reward,seed
1,100.0,0
25000,0.0,0
50000,1.2,0
75000,387.3,0
100000,0.0,0
125000,199.8,0
150000,289.9,0
175000,97.9,0
200000,195.2,0
225000,568.4,0
250000,98.6,0
275000,492.1,0
300000,391.6,0
325000,292.2,0
350000,372.3,0
375000,566.6,0
400000,667.0,0
425000,389.4,0
450000,574.6,0
475000,613.7,0
500000,958.5,0
525000,662.6,0
550000,580.6,0
575000,653.2,0
600000,854.4,0
625000,666.7,0
650000,568.5,0
675000,873.1,0
700000,978.4,0
725000,872.4,0
750000,863.3,0
775000,779.6,0
800000,877.0,0
825000,767.3,0
850000,878.0,0
875000,834.6,0
900000,865.4,0
925000,864.8,0
950000,674.0,0
975000,937.3,0
1000000,854.8,0
1,295.7,1
25000,0.0,1
50000,234.2,1
75000,328.9,1
100000,481.2,1
125000,100.0,1
150000,93.4,1
175000,567.1,1
200000,466.4,1
225000,386.1,1
250000,469.4,1
275000,386.6,1
300000,390.8,1
325000,546.3,1
350000,760.5,1
375000,772.1,1
400000,770.9,1
425000,558.3,1
450000,773.8,1
475000,587.2,1
500000,864.7,1
525000,760.5,1
550000,576.9,1
575000,865.4,1
600000,649.7,1
625000,856.4,1
650000,864.7,1
675000,957.5,1
700000,965.2,1
725000,966.7,1
750000,677.4,1
775000,950.8,1
800000,959.5,1
825000,948.3,1
850000,764.2,1
875000,769.7,1
900000,963.9,1
925000,861.3,1
950000,761.7,1
975000,776.6,1
1000000,788.5,1
1,100.0,2
25000,407.9,2
50000,4.6,2
75000,192.7,2
100000,98.4,2
125000,198.3,2
150000,186.8,2
175000,298.6,2
200000,430.1,2
225000,190.0,2
250000,316.3,2
275000,482.6,2
300000,690.8,2
325000,381.6,2
350000,599.2,2
375000,702.8,2
400000,568.9,2
425000,758.2,2
450000,506.4,2
475000,546.5,2
500000,490.6,2
525000,746.2,2
550000,757.3,2
575000,946.6,2
600000,769.4,2
625000,769.7,2
650000,844.3,2
675000,763.4,2
700000,773.7,2
725000,774.2,2
750000,871.0,2
775000,860.7,2
800000,860.3,2
825000,966.4,2
850000,869.8,2
875000,766.1,2
900000,981.9,2
925000,965.3,2
950000,961.5,2
975000,788.2,2
1000000,954.1,2
1,198.1,3
25000,166.5,3
50000,0.0,3
75000,97.5,3
100000,346.9,3
125000,186.9,3
150000,190.4,3
175000,96.9,3
200000,200.0,3
225000,198.8,3
250000,382.3,3
275000,186.9,3
300000,381.8,3
325000,191.8,3
350000,492.5,3
375000,695.4,3
400000,481.2,3
425000,546.0,3
450000,485.3,3
475000,281.5,3
500000,387.7,3
525000,774.6,3
550000,371.7,3
575000,475.9,3
600000,386.5,3
625000,678.3,3
650000,683.3,3
675000,668.9,3
700000,490.4,3
725000,672.8,3
750000,839.1,3
775000,572.2,3
800000,484.7,3
825000,864.0,3
850000,758.1,3
875000,751.2,3
900000,581.4,3
925000,671.3,3
950000,766.3,3
975000,865.2,3
1000000,667.4,3
1,0.0,4
25000,116.1,4
50000,0.0,4
75000,45.6,4
100000,188.3,4
125000,192.8,4
150000,362.1,4
175000,481.8,4
200000,214.3,4
225000,200.0,4
250000,291.7,4
275000,490.0,4
300000,657.8,4
325000,198.2,4
350000,403.0,4
375000,493.1,4
400000,650.2,4
425000,645.8,4
450000,758.4,4
475000,560.0,4
500000,555.5,4
525000,762.3,4
550000,647.3,4
575000,510.5,4
600000,492.6,4
625000,761.2,4
650000,759.2,4
675000,750.7,4
700000,780.2,4
725000,755.6,4
750000,875.7,4
775000,563.7,4
800000,966.5,4
825000,768.4,4
850000,863.1,4
875000,755.2,4
900000,874.1,4
925000,855.9,4
950000,829.9,4
975000,874.8,4
1000000,857.0,4
1,0.0,5
25000,101.1,5
50000,296.8,5
75000,98.1,5
100000,0.0,5
125000,100.0,5
150000,1.7,5
175000,100.0,5
200000,100.0,5
225000,195.0,5
250000,0.0,5
275000,197.1,5
300000,199.5,5
325000,97.7,5
350000,394.4,5
375000,1.1,5
400000,198.9,5
425000,198.2,5
450000,392.5,5
475000,1.2,5
500000,200.0,5
525000,0.8,5
550000,297.3,5
575000,193.1,5
600000,100.0,5
625000,394.7,5
650000,92.3,5
675000,191.7,5
700000,0.0,5
725000,194.4,5
750000,190.5,5
775000,100.0,5
800000,188.2,5
825000,98.3,5
850000,187.8,5
875000,202.6,5
900000,198.1,5
925000,298.6,5
950000,100.0,5
975000,393.3,5
1000000,392.8,5
1,0.0,6
25000,100.0,6
50000,100.0,6
75000,0.0,6
100000,99.0,6
125000,99.7,6
150000,100.3,6
175000,0.0,6
200000,100.0,6
225000,383.1,6
250000,200.0,6
275000,0.0,6
300000,0.0,6
325000,100.0,6
350000,100.0,6
375000,0.4,6
400000,197.5,6
425000,98.3,6
450000,96.7,6
475000,0.0,6
500000,99.1,6
525000,291.7,6
550000,196.0,6
575000,0.0,6
600000,98.1,6
625000,195.9,6
650000,298.1,6
675000,289.0,6
700000,194.8,6
725000,287.5,6
750000,200.7,6
775000,0.0,6
800000,388.5,6
825000,198.7,6
850000,296.4,6
875000,299.1,6
900000,96.8,6
925000,296.1,6
950000,490.8,6
975000,387.7,6
1000000,194.5,6
1,0.0,7
25000,100.8,7
50000,14.6,7
75000,99.7,7
100000,332.8,7
125000,199.1,7
150000,194.6,7
175000,291.2,7
200000,385.1,7
225000,316.0,7
250000,290.3,7
275000,470.1,7
300000,193.5,7
325000,285.0,7
350000,390.0,7
375000,203.8,7
400000,299.9,7
425000,770.4,7
450000,665.8,7
475000,591.4,7
500000,356.5,7
525000,593.5,7
550000,562.7,7
575000,571.0,7
600000,615.2,7
625000,869.8,7
650000,765.9,7
675000,963.3,7
700000,742.7,7
725000,772.7,7
750000,655.5,7
775000,879.0,7
800000,585.6,7
825000,806.0,7
850000,848.1,7
875000,952.8,7
900000,775.0,7
925000,657.6,7
950000,777.2,7
975000,854.8,7
1000000,867.2,7
1,0.0,8
25000,0.0,8
50000,105.9,8
75000,195.0,8
100000,294.0,8
125000,282.4,8
150000,278.0,8
175000,297.6,8
200000,197.2,8
225000,488.1,8
250000,384.4,8
275000,203.7,8
300000,491.6,8
325000,753.6,8
350000,595.8,8
375000,274.6,8
400000,482.1,8
425000,565.2,8
450000,577.3,8
475000,858.8,8
500000,678.3,8
525000,581.3,8
550000,557.2,8
575000,839.9,8
600000,681.9,8
625000,654.5,8
650000,693.1,8
675000,748.1,8
700000,640.6,8
725000,839.1,8
750000,756.9,8
775000,927.8,8
800000,657.5,8
825000,475.3,8
850000,764.9,8
875000,775.5,8
900000,679.7,8
925000,769.3,8
950000,970.7,8
975000,776.2,8
1000000,939.9,8
1,0.0,9
25000,0.0,9
50000,102.2,9
75000,170.4,9
100000,583.0,9
125000,529.9,9
150000,387.3,9
175000,346.6,9
200000,483.3,9
225000,677.3,9
250000,919.6,9
275000,676.9,9
300000,742.4,9
325000,583.0,9
350000,673.3,9
375000,761.5,9
400000,585.7,9
425000,749.5,9
450000,764.9,9
475000,871.6,9
500000,748.5,9
525000,680.5,9
550000,675.4,9
575000,854.8,9
600000,770.6,9
625000,745.3,9
650000,850.2,9
675000,859.6,9
700000,664.2,9
725000,785.0,9
750000,685.0,9
775000,971.4,9
800000,967.5,9
825000,864.6,9
850000,961.7,9
875000,872.0,9
900000,963.6,9
925000,863.2,9
950000,860.9,9
975000,950.2,9
1000000,962.5,9
