step,reward,seed
0,0.0,0
25000,421.2,0
50000,455.0,0
75000,589.2,0
100000,776.4,0
125000,773.2,0
150000,774.0,0
175000,966.2,0
200000,765.2,0
225000,970.2,0
250000,975.2,0
275000,977.2,0
300000,791.8,0
325000,778.4,0
350000,582.4,0
375000,983.6,0
400000,782.2,0
425000,974.6,0
450000,758.8,0
475000,960.4,0
500000,970.4,0
525000,577.4,0
550000,980.2,0
575000,977.4,0
600000,969.8,0
625000,971.2,0
650000,790.2,0
675000,979.2,0
700000,978.2,0
725000,982.4,0
750000,777.2,0
775000,989.8,0
800000,939.4,0
825000,988.0,0
850000,962.2,0
875000,992.2,0
900000,771.0,0
925000,776.6,0
950000,778.4,0
975000,969.4,0
1000000,982.2,0
0,0.0,1
25000,374.8,1
50000,592.2,1
75000,760.4,1
100000,578.8,1
125000,561.6,1
150000,977.0,1
175000,780.8,1
200000,974.8,1
225000,950.6,1
250000,953.2,1
275000,954.8,1
300000,975.2,1
325000,976.6,1
350000,787.8,1
375000,963.0,1
400000,975.0,1
425000,766.0,1
450000,982.4,1
475000,978.6,1
500000,779.6,1
525000,982.8,1
550000,976.8,1
575000,977.2,1
600000,968.0,1
625000,965.4,1
650000,964.8,1
675000,983.0,1
700000,990.2,1
725000,970.8,1
750000,969.0,1
775000,965.0,1
800000,979.4,1
825000,962.6,1
850000,984.4,1
875000,781.4,1
900000,966.8,1
925000,980.0,1
950000,985.2,1
975000,986.0,1
1000000,989.2,1
0,0.0,2
25000,391.0,2
50000,579.8,2
75000,389.4,2
100000,586.2,2
125000,213.6,2
150000,764.2,2
175000,972.8,2
200000,781.0,2
225000,777.8,2
250000,772.6,2
275000,590.4,2
300000,976.6,2
325000,966.4,2
350000,974.6,2
375000,982.2,2
400000,780.4,2
425000,975.2,2
450000,981.8,2
475000,912.6,2
500000,949.6,2
525000,762.8,2
550000,782.8,2
575000,960.8,2
600000,977.6,2
625000,984.8,2
650000,977.0,2
675000,978.4,2
700000,986.0,2
725000,977.8,2
