step,reward,seed
0,0.0,0
25000,27.6,0
50000,0.0,0
75000,390.6,0
100000,132.2,0
125000,192.6,0
150000,576.0,0
175000,386.0,0
200000,384.8,0
225000,38.2,0
250000,780.8,0
275000,786.6,0
300000,590.0,0
325000,789.2,0
350000,574.2,0
375000,561.4,0
400000,580.4,0
425000,952.8,0
450000,731.8,0
475000,757.8,0
500000,789.0,0
525000,760.2,0
550000,968.4,0
575000,952.4,0
600000,960.2,0
625000,777.2,0
650000,967.2,0
675000,954.4,0
700000,948.2,0
725000,782.2,0
750000,957.0,0
775000,978.4,0
800000,744.0,0
825000,980.6,0
850000,932.8,0
875000,986.2,0
900000,967.8,0
925000,966.4,0
950000,965.6,0
975000,958.0,0
1000000,975.6,0
0,0.0,1
25000,0.0,1
50000,192.4,1
75000,0.0,1
100000,0.0,1
125000,0.0,1
150000,224.6,1
175000,475.8,1
200000,385.4,1
225000,490.8,1
250000,233.0,1
275000,385.4,1
300000,750.4,1
325000,774.6,1
350000,973.4,1
375000,584.2,1
400000,827.6,1
425000,820.0,1
450000,973.4,1
475000,955.6,1
500000,775.8,1
525000,974.0,1
550000,981.6,1
575000,970.4,1
600000,922.6,1
625000,776.0,1
650000,959.2,1
675000,980.8,1
700000,983.2,1
725000,779.6,1
750000,963.6,1
775000,974.8,1
800000,770.8,1
825000,960.0,1
850000,979.4,1
875000,963.4,1
900000,580.6,1
925000,981.6,1
950000,974.8,1
975000,974.0,1
1000000,977.4,1
0,0.0,2
25000,95.6,2
50000,1.6,2
75000,175.6,2
100000,547.4,2
125000,142.0,2
150000,390.6,2
175000,585.6,2
200000,392.0,2
225000,574.2,2
250000,389.4,2
275000,508.8,2
300000,888.4,2
325000,593.8,2
350000,781.6,2
375000,715.8,2
400000,969.0,2
425000,578.0,2
450000,779.6,2
475000,963.2,2
500000,753.8,2
525000,952.2,2
550000,966.0,2
575000,954.2,2
600000,778.8,2
625000,977.2,2
650000,972.8,2
675000,980.8,2
700000,973.0,2
725000,962.8,2
750000,969.2,2
775000,975.2,2
800000,962.8,2
825000,951.4,2
850000,969.2,2
875000,983.0,2
900000,787.4,2
925000,970.0,2
950000,972.4,2
975000,973.4,2
1000000,992.2,2
0,0.0,3
25000,0.0,3
50000,194.8,3
75000,0.0,3
100000,320.2,3
125000,789.4,3
150000,581.8,3
175000,184.8,3
200000,370.0,3
225000,583.0,3
250000,757.4,3
275000,387.4,3
300000,761.6,3
325000,579.8,3
350000,749.0,3
375000,918.6,3
400000,793.6,3
425000,955.4,3
450000,764.2,3
475000,571.8,3
500000,771.6,3
525000,781.8,3
550000,953.6,3
575000,971.2,3
600000,751.8,3
625000,979.2,3
