step,reward,seed
0,0.0,0
25000,100.4,0
50000,86.7,0
75000,394.2,0
100000,191.0,0
125000,100.4,0
150000,196.6,0
175000,91.4,0
200000,0.0,0
225000,108.8,0
250000,159.2,0
275000,97.2,0
300000,194.3,0
325000,256.4,0
350000,299.6,0
375000,100.0,0
400000,202.8,0
425000,287.0,0
450000,478.1,0
475000,564.4,0
500000,390.2,0
525000,472.0,0
550000,651.4,0
575000,258.4,0
600000,187.1,0
625000,446.7,0
650000,386.1,0
675000,574.7,0
700000,572.1,0
725000,288.9,0
750000,483.4,0
775000,487.0,0
800000,487.3,0
825000,582.7,0
850000,491.6,0
875000,855.3,0
900000,482.5,0
925000,654.9,0
950000,766.5,0
975000,481.4,0
1000000,855.3,0
0,100.0,1
25000,0.0,1
50000,1.6,1
75000,224.6,1
100000,0.0,1
125000,197.1,1
150000,397.9,1
175000,118.3,1
200000,197.7,1
225000,291.3,1
250000,292.0,1
275000,532.0,1
300000,195.1,1
325000,85.6,1
350000,384.5,1
375000,366.1,1
400000,569.8,1
425000,465.2,1
450000,482.7,1
475000,280.2,1
500000,382.9,1
525000,561.8,1
550000,561.4,1
575000,660.6,1
600000,772.5,1
625000,764.1,1
650000,668.6,1
675000,669.6,1
700000,752.4,1
725000,863.2,1
750000,772.5,1
775000,868.5,1
800000,871.9,1
825000,970.2,1
850000,640.2,1
875000,768.0,1
900000,679.3,1
925000,876.3,1
950000,972.1,1
975000,968.0,1
1000000,972.1,1
0,4.4,2
25000,101.0,2
50000,100.4,2
75000,0.4,2
100000,101.2,2
125000,189.7,2
150000,114.8,2
175000,218.2,2
200000,113.7,2
225000,286.1,2
250000,310.9,2
275000,466.1,2
300000,365.5,2
325000,474.1,2
350000,578.8,2
375000,665.4,2
400000,280.7,2
425000,864.2,2
450000,766.6,2
475000,468.0,2
500000,573.5,2
525000,658.5,2
550000,668.3,2
575000,874.3,2
600000,870.8,2
625000,877.7,2
650000,783.0,2
675000,594.1,2
700000,480.6,2
725000,964.5,2
750000,973.3,2
775000,871.4,2
800000,881.8,2
825000,877.8,2
850000,782.1,2
875000,872.4,2
900000,780.8,2
925000,975.0,2
950000,870.4,2
975000,966.9,2
1000000,975.0,2
0,0.0,3
25000,0.0,3
50000,265.1,3
75000,202.1,3
100000,1.3,3
125000,2.6,3
150000,100.4,3
175000,201.6,3
200000,392.5,3
225000,184.9,3
250000,376.0,3
275000,398.2,3
300000,394.7,3
325000,387.6,3
350000,0.3,3
375000,294.8,3
400000,195.7,3
425000,450.1,3
450000,666.9,3
475000,474.3,3
500000,468.9,3
525000,481.1,3
550000,829.8,3
575000,482.7,3
600000,669.0,3
625000,762.6,3
650000,584.7,3
675000,875.2,3
700000,865.4,3
725000,585.5,3
750000,862.6,3
775000,776.2,3
800000,869.9,3
825000,977.0,3
850000,955.7,3
875000,777.3,3
900000,779.9,3
925000,876.5,3
950000,766.9,3
975000,879.3,3
1000000,977.0,3
0,11.8,4
25000,100.8,4
50000,0.0,4
75000,0.0,4
100000,194.5,4
125000,392.3,4
150000,399.6,4
175000,473.1,4
200000,293.1,4
225000,93.2,4
250000,398.4,4
275000,198.6,4
300000,491.9,4
325000,492.1,4
350000,391.2,4
375000,581.2,4
400000,672.8,4
425000,392.7,4
