step,reward,seed
0,0.0,0
25000,198.0,0
50000,395.0,0
75000,563.8,0
100000,577.1,0
125000,910.2,0
150000,908.5,0
175000,662.6,0
200000,855.1,0
225000,776.2,0
250000,677.0,0
275000,969.2,0
300000,771.4,0
325000,507.3,0
350000,942.7,0
375000,857.0,0
400000,965.4,0
425000,883.7,0
450000,866.5,0
475000,776.0,0
500000,875.3,0
525000,979.4,0
550000,968.9,0
575000,853.0,0
600000,872.8,0
625000,882.7,0
650000,970.7,0
675000,975.3,0
700000,981.3,0
725000,126.2,0
750000,872.9,0
775000,981.8,0
800000,977.2,0
825000,968.4,0
850000,980.2,0
875000,863.8,0
900000,976.4,0
925000,977.2,0
950000,977.0,0
975000,879.0,0
1000000,974.8,0
0,0.0,1
25000,206.9,1
50000,292.0,1
75000,663.4,1
100000,779.1,1
125000,684.8,1
150000,856.4,1
175000,586.0,1
200000,773.6,1
225000,882.4,1
250000,612.3,1
275000,777.8,1
300000,971.2,1
325000,487.6,1
350000,955.8,1
375000,967.7,1
400000,956.2,1
425000,967.9,1
450000,966.9,1
475000,968.2,1
500000,964.6,1
525000,976.2,1
550000,968.6,1
575000,970.1,1
600000,966.8,1
625000,971.5,1
650000,970.6,1
675000,870.9,1
700000,976.2,1
725000,780.9,1
750000,873.3,1
775000,978.6,1
800000,974.2,1
825000,882.2,1
850000,977.0,1
875000,983.6,1
900000,966.4,1
925000,978.4,1
950000,978.6,1
975000,966.5,1
1000000,986.3,1
0,0.0,2
25000,200.9,2
50000,76.4,2
75000,756.6,2
100000,675.4,2
125000,576.4,2
150000,961.7,2
175000,771.4,2
200000,861.5,2
225000,973.9,2
250000,839.7,2
275000,968.1,2
300000,965.3,2
325000,549.3,2
350000,688.2,2
375000,872.5,2
400000,866.4,2
425000,874.9,2
450000,968.8,2
475000,972.9,2
500000,880.1,2
525000,873.3,2
550000,972.3,2
575000,762.8,2
600000,882.2,2
625000,879.5,2
650000,585.7,2
675000,880.2,2
700000,969.8,2
725000,197.0,2
750000,975.8,2
775000,881.3,2
800000,981.4,2
825000,967.1,2
850000,980.3,2
875000,978.2,2
900000,971.1,2
925000,970.9,2
950000,979.1,2
975000,978.6,2
1000000,972.0,2
0,0.0,3
25000,106.6,3
50000,175.7,3
75000,479.7,3
100000,484.8,3
125000,430.8,3
150000,674.2,3
175000,767.0,3
200000,863.6,3
225000,942.7,3
250000,667.3,3
275000,973.1,3
300000,878.4,3
325000,585.9,3
350000,867.4,3
375000,964.9,3
400000,966.9,3
425000,883.2,3
450000,869.5,3
475000,867.2,3
500000,972.5,3
525000,962.6,3
550000,971.2,3
575000,678.7,3
600000,967.3,3
625000,976.3,3
650000,682.7,3
675000,978.8,3
700000,883.4,3
725000,737.6,3
750000,784.9,3
775000,874.9,3
800000,974.9,3
825000,679.3,3
850000,975.4,3
875000,967.3,3
900000,877.7,3
925000,978.7,3
950000,965.7,3
975000,680.4,3
1000000,799.4,3
0,0.0,4
25000,28.2,4
50000,393.7,4
75000,480.5,4
100000,837.0,4
125000,657.7,4
150000,752.0,4
175000,874.6,4
200000,960.6,4
225000,861.8,4
250000,715.0,4
275000,960.5,4
300000,973.8,4
325000,558.7,4
350000,926.9,4
375000,861.8,4
400000,925.7,4
425000,870.4,4
450000,972.3,4
475000,966.7,4
500000,974.5,4
525000,879.3,4
550000,963.9,4
575000,885.0,4
600000,963.4,4
625000,964.6,4
650000,679.6,4
675000,968.0,4
700000,985.1,4
725000,750.9,4
750000,987.9,4
775000,972.7,4
800000,926.5,4
825000,879.5,4
850000,971.2,4
875000,868.9,4
900000,962.1,4
925000,971.9,4
950000,973.0,4
975000,869.4,4
1000000,975.1,4
