step,reward,seed
0,0.0,0
25000,104.4,0
50000,0.0,0
75000,217.8,0
100000,584.4,0
125000,390.2,0
150000,401.4,0
175000,257.2,0
200000,0.0,0
225000,394.6,0
250000,586.8,0
275000,395.8,0
300000,590.8,0
325000,586.6,0
350000,395.8,0
375000,580.0,0
400000,952.2,0
425000,929.8,0
450000,579.0,0
475000,579.0,0
500000,981.8,0
525000,381.6,0
550000,777.0,0
575000,585.8,0
600000,964.4,0
625000,569.4,0
650000,983.4,0
675000,971.8,0
700000,971.2,0
725000,968.4,0
750000,770.2,0
775000,988.6,0
800000,573.2,0
825000,986.2,0
850000,579.2,0
875000,985.0,0
900000,754.4,0
925000,965.0,0
950000,963.6,0
975000,970.0,0
1000000,977.4,0
0,0.0,1
25000,2.0,1
50000,71.8,1
75000,1.0,1
100000,335.2,1
125000,0.0,1
150000,354.0,1
175000,398.0,1
200000,391.0,1
225000,397.2,1
250000,393.4,1
275000,367.2,1
300000,395.8,1
325000,383.0,1
350000,379.4,1
375000,679.4,1
400000,578.8,1
425000,384.6,1
450000,775.6,1
475000,731.8,1
500000,966.0,1
525000,982.0,1
550000,953.4,1
575000,774.0,1
600000,780.2,1
625000,767.4,1
650000,952.4,1
675000,787.6,1
700000,985.4,1
725000,980.8,1
750000,962.2,1
775000,961.0,1
800000,582.4,1
825000,956.0,1
850000,982.2,1
875000,934.8,1
900000,950.8,1
925000,759.0,1
950000,980.2,1
975000,978.8,1
1000000,985.4,1
0,0.0,2
25000,23.8,2
50000,0.0,2
75000,189.6,2
100000,200.0,2
125000,0.0,2
150000,389.8,2
175000,393.0,2
200000,372.2,2
225000,200.0,2
250000,194.4,2
275000,0.0,2
300000,569.6,2
325000,569.8,2
350000,397.6,2
375000,780.2,2
400000,385.2,2
425000,584.8,2
450000,775.4,2
475000,422.2,2
500000,391.2,2
525000,761.8,2
550000,773.2,2
575000,945.4,2
600000,967.0,2
625000,786.8,2
650000,957.8,2
675000,788.6,2
700000,978.6,2
725000,778.6,2
750000,963.2,2
775000,970.4,2
800000,588.4,2
825000,764.8,2
850000,775.6,2
875000,981.6,2
900000,786.6,2
925000,968.0,2
950000,954.0,2
975000,974.0,2
1000000,993.4,2
0,0.0,3
25000,6.6,3
50000,9.8,3
75000,0.0,3
100000,0.0,3
125000,592.6,3
150000,124.0,3
175000,157.0,3
200000,0.0,3
225000,392.4,3
250000,0.0,3
275000,387.0,3
300000,192.2,3
325000,390.6,3
350000,198.6,3
375000,504.8,3
400000,600.0,3
425000,385.0,3
450000,395.6,3
475000,577.6,3
500000,768.6,3
525000,774.2,3
550000,948.6,3
575000,968.4,3
600000,571.0,3
625000,740.6,3
650000,971.0,3
675000,957.4,3
700000,929.6,3
725000,973.4,3
750000,962.2,3
775000,584.6,3
800000,740.2,3
825000,949.8,3
850000,955.4,3
875000,954.6,3
900000,982.0,3
925000,784.2,3
950000,963.2,3
975000,956.0,3
1000000,784.4,3
0,0.0,4
25000,29.4,4
50000,0.6,4
75000,151.0,4
100000,591.4,4
125000,0.0,4
150000,383.6,4
175000,597.2,4
200000,390.0,4
225000,190.2,4
250000,494.2,4
275000,565.2,4
300000,582.6,4
325000,379.8,4
350000,571.2,4
375000,579.6,4
400000,392.4,4
425000,727.0,4
450000,387.6,4
475000,949.4,4
500000,963.0,4
525000,782.4,4
550000,961.0,4
575000,964.8,4
600000,768.4,4
625000,399.0,4
650000,981.8,4
675000,980.6,4
700000,778.0,4
725000,964.8,4
750000,763.6,4
775000,967.0,4
800000,957.2,4
825000,961.0,4
850000,986.4,4
875000,965.2,4
900000,768.6,4
925000,958.2,4
950000,970.4,4
975000,968.4,4
1000000,981.4,4
0,0.0,5
25000,0.0,5
50000,0.0,5
75000,0.0,5
100000,234.8,5
125000,0.0,5
150000,368.4,5
175000,200.0,5
200000,187.4,5
225000,746.6,5
250000,400.0,5
275000,394.0,5
300000,549.2,5
325000,382.4,5
350000,0.4,5
375000,383.6,5
400000,589.2,5
425000,189.4,5
450000,770.6,5
475000,574.4,5
500000,535.6,5
525000,967.0,5
550000,776.0,5
575000,775.6,5
600000,763.2,5
625000,778.0,5
650000,957.8,5
675000,587.4,5
700000,783.0,5
725000,965.8,5
750000,764.2,5
775000,980.0,5
800000,777.6,5
825000,954.4,5
850000,969.0,5
875000,969.2,5
900000,988.0,5
925000,586.2,5
950000,978.8,5
975000,769.2,5
1000000,781.2,5
0,0.0,6
25000,196.8,6
50000,1.2,6
75000,6.0,6
100000,184.4,6
125000,0.0,6
150000,172.6,6
175000,0.0,6
200000,15.2,6
225000,367.8,6
250000,775.4,6
275000,197.6,6
300000,767.2,6
325000,778.8,6
350000,571.6,6
375000,785.6,6
400000,953.0,6
425000,593.4,6
450000,977.2,6
475000,975.4,6
500000,976.2,6
525000,979.0,6
550000,770.4,6
575000,931.4,6
600000,977.4,6
625000,744.2,6
650000,782.6,6
675000,769.2,6
700000,979.0,6
725000,983.0,6
750000,782.8,6
775000,962.2,6
800000,926.8,6
825000,784.4,6
850000,976.2,6
875000,982.6,6
900000,976.4,6
925000,966.2,6
950000,967.6,6
975000,964.6,6
1000000,571.0,6
0,0.0,7
25000,0.0,7
50000,0.0,7
75000,6.6,7
100000,564.2,7
125000,99.8,7
150000,300.2,7
175000,197.0,7
200000,385.4,7
225000,586.8,7
250000,177.8,7
275000,0.0,7
300000,390.8,7
325000,569.6,7
350000,196.0,7
375000,389.8,7
400000,391.4,7
425000,977.8,7
450000,777.8,7
475000,976.0,7
500000,772.2,7
525000,984.2,7
550000,759.4,7
575000,834.8,7
600000,784.6,7
625000,957.4,7
650000,767.8,7
675000,961.0,7
700000,773.8,7
725000,925.4,7
750000,940.0,7
775000,777.2,7
800000,769.2,7
825000,594.6,7
850000,974.8,7
875000,969.4,7
900000,783.8,7
925000,970.0,7
950000,951.0,7
975000,989.6,7
1000000,963.0,7
0,0.0,8
25000,24.8,8
50000,184.6,8
75000,179.8,8
100000,219.0,8
125000,118.6,8
150000,0.0,8
175000,0.0,8
200000,182.2,8
225000,390.0,8
250000,196.2,8
275000,398.8,8
300000,195.0,8
325000,195.8,8
350000,583.8,8
375000,379.6,8
400000,0.0,8
425000,969.4,8
450000,698.6,8
475000,171.8,8
500000,584.8,8
525000,756.2,8
550000,589.2,8
575000,773.6,8
600000,776.2,8
625000,568.2,8
650000,783.2,8
675000,752.6,8
700000,965.0,8
725000,755.8,8
750000,778.0,8
775000,778.2,8
800000,972.2,8
825000,964.8,8
850000,585.0,8
875000,763.8,8
900000,971.0,8
925000,791.4,8
950000,585.2,8
975000,961.4,8
1000000,979.0,8
0,0.0,9
25000,255.8,9
50000,227.8,9
75000,0.0,9
100000,0.8,9
125000,382.2,9
150000,393.4,9
175000,188.6,9
200000,188.4,9
225000,778.0,9
250000,185.8,9
275000,389.6,9
300000,784.8,9
325000,692.2,9
350000,784.4,9
375000,393.8,9
400000,773.6,9
425000,783.6,9
450000,594.4,9
475000,773.2,9
500000,782.8,9
525000,973.6,9
550000,769.0,9
575000,982.8,9
600000,980.6,9
625000,780.2,9
650000,973.8,9
675000,580.8,9
700000,777.0,9
725000,962.2,9
750000,787.2,9
775000,982.0,9
800000,964.6,9
825000,781.2,9
850000,970.8,9
875000,983.4,9
900000,965.8,9
925000,984.2,9
950000,777.0,9
975000,962.6,9
1000000,971.6,9
