step,reward,seed
0,1.6,0
25000,1.6,0
50000,0.0,0
75000,98.4,0
100000,257.8,0
125000,126.9,0
150000,432.3,0
175000,463.2,0
200000,533.1,0
225000,408.8,0
250000,642.0,0
275000,584.3,0
300000,478.4,0
325000,463.5,0
350000,268.4,0
375000,644.8,0
400000,578.0,0
425000,491.1,0
450000,587.3,0
475000,587.5,0
500000,592.3,0
525000,684.4,0
550000,635.9,0
575000,589.5,0
600000,500.0,0
625000,685.2,0
650000,685.3,0
675000,688.3,0
700000,782.3,0
725000,688.1,0
750000,687.8,0
775000,757.1,0
800000,785.0,0
825000,786.4,0
850000,880.2,0
875000,779.3,0
900000,876.3,0
925000,785.2,0
950000,783.4,0
975000,780.0,0
1000000,880.2,0
0,100.0,1
25000,100.0,1
50000,7.1,1
75000,3.9,1
100000,182.7,1
125000,229.3,1
150000,92.2,1
175000,116.8,1
200000,197.0,1
225000,7.3,1
250000,198.5,1
275000,69.6,1
300000,294.2,1
325000,205.3,1
350000,206.7,1
375000,297.2,1
400000,199.1,1
425000,286.0,1
450000,290.8,1
475000,197.6,1
500000,296.3,1
525000,100.0,1
550000,295.0,1
575000,170.0,1
600000,380.1,1
625000,579.6,1
650000,489.9,1
675000,392.8,1
700000,392.4,1
725000,486.2,1
750000,481.0,1
775000,572.0,1
800000,478.4,1
825000,676.2,1
850000,481.9,1
875000,390.6,1
900000,679.9,1
925000,656.9,1
950000,670.2,1
975000,778.2,1
1000000,778.2,1
0,92.2,2
25000,92.2,2
50000,100.3,2
75000,109.6,2
100000,85.5,2
125000,170.7,2
150000,216.4,2
175000,283.0,2
200000,305.3,2
225000,361.6,2
250000,257.3,2
275000,330.0,2
300000,295.5,2
325000,490.8,2
350000,489.5,2
375000,491.5,2
400000,577.2,2
425000,776.6,2
450000,559.9,2
475000,492.8,2
500000,779.5,2
525000,685.5,2
550000,682.8,2
575000,761.7,2
600000,588.8,2
625000,768.3,2
650000,782.4,2
675000,760.3,2
700000,956.0,2
725000,673.3,2
750000,685.0,2
775000,879.1,2
800000,962.6,2
825000,878.5,2
850000,971.2,2
875000,876.8,2
900000,965.9,2
925000,878.3,2
950000,972.7,2
975000,780.7,2
1000000,972.7,2
0,0.0,3
25000,0.0,3
50000,0.0,3
75000,283.4,3
100000,91.6,3
125000,97.9,3
150000,0.0,3
175000,281.7,3
200000,70.7,3
225000,366.3,3
250000,284.0,3
275000,296.1,3
300000,291.1,3
325000,191.7,3
350000,200.5,3
375000,471.6,3
400000,484.0,3
425000,390.6,3
450000,485.9,3
475000,393.0,3
500000,388.4,3
525000,586.5,3
550000,702.2,3
575000,581.5,3
600000,485.0,3
625000,584.7,3
650000,671.2,3
675000,467.9,3
700000,487.2,3
725000,674.7,3
750000,392.6,3
775000,491.4,3
800000,598.9,3
825000,586.0,3
850000,604.9,3
875000,862.7,3
900000,580.7,3
925000,756.5,3
950000,775.3,3
975000,960.0,3
1000000,960.0,3
0,92.0,4
25000,92.0,4
50000,0.0,4
75000,86.9,4
100000,188.9,4
125000,238.2,4
150000,97.9,4
175000,91.2,4
200000,179.6,4
225000,348.8,4
250000,372.0,4
275000,383.9,4
300000,298.7,4
325000,352.3,4
350000,291.2,4
375000,484.2,4
400000,386.6,4
425000,478.4,4
450000,386.9,4
475000,291.3,4
500000,291.7,4
525000,390.3,4
550000,486.2,4
575000,288.1,4
600000,485.9,4
625000,488.2,4
650000,486.3,4
675000,465.8,4
700000,481.9,4
725000,473.7,4
750000,390.3,4
775000,486.9,4
800000,484.7,4
825000,487.6,4
850000,488.8,4
875000,489.4,4
900000,488.7,4
925000,478.6,4
950000,583.3,4
975000,516.0,4
1000000,583.3,4
0,400.0,5
25000,400.0,5
50000,485.3,5
75000,400.0,5
100000,149.5,5
125000,304.3,5
150000,560.2,5
175000,467.6,5
200000,448.0,5
225000,480.1,5
250000,591.3,5
275000,687.4,5
300000,564.2,5
325000,303.2,5
350000,596.3,5
375000,497.6,5
400000,578.2,5
425000,640.5,5
450000,676.9,5
475000,493.1,5
500000,596.1,5
525000,690.2,5
550000,591.0,5
575000,685.4,5
600000,597.3,5
625000,495.1,5
650000,692.2,5
675000,691.4,5
700000,789.5,5
725000,785.4,5
750000,789.5,5
775000,590.4,5
800000,595.9,5
825000,690.8,5
850000,792.3,5
875000,596.6,5
900000,888.2,5
925000,793.6,5
950000,885.5,5
975000,793.0,5
1000000,888.2,5
0,87.9,6
25000,87.9,6
50000,100.0,6
75000,1.3,6
100000,100.0,6
125000,100.0,6
150000,100.0,6
175000,295.2,6
200000,111.3,6
225000,100.6,6
250000,134.7,6
275000,289.3,6
300000,291.7,6
325000,294.7,6
350000,291.0,6
375000,356.1,6
400000,381.2,6
425000,292.6,6
450000,384.7,6
475000,294.5,6
500000,294.6,6
525000,292.2,6
550000,389.3,6
575000,379.7,6
600000,287.4,6
625000,479.6,6
650000,293.2,6
675000,380.9,6
700000,351.0,6
725000,482.0,6
750000,195.8,6
775000,304.7,6
800000,390.9,6
825000,485.8,6
850000,487.7,6
875000,392.4,6
900000,390.9,6
925000,391.8,6
950000,392.2,6
975000,392.0,6
1000000,487.7,6
0,69.9,7
25000,69.9,7
50000,197.9,7
75000,0.4,7
100000,98.3,7
125000,186.7,7
150000,292.7,7
175000,98.3,7
200000,198.7,7
225000,283.6,7
250000,330.7,7
275000,485.3,7
300000,418.4,7
325000,493.7,7
350000,379.9,7
375000,383.4,7
400000,477.9,7
425000,388.7,7
450000,477.2,7
475000,468.2,7
500000,406.6,7
525000,450.4,7
550000,430.1,7
575000,640.2,7
600000,391.7,7
625000,492.1,7
650000,675.1,7
675000,517.9,7
700000,493.8,7
725000,685.4,7
750000,684.9,7
775000,777.2,7
800000,587.4,7
825000,777.4,7
850000,871.5,7
875000,781.1,7
900000,780.5,7
925000,769.3,7
950000,771.7,7
975000,687.1,7
1000000,871.5,7
0,54.8,8
25000,54.8,8
50000,0.3,8
75000,59.6,8
100000,99.2,8
125000,123.3,8
150000,372.6,8
175000,314.4,8
200000,274.1,8
225000,217.6,8
250000,461.8,8
275000,533.0,8
300000,462.7,8
325000,488.7,8
350000,672.0,8
375000,586.8,8
400000,683.7,8
425000,586.1,8
450000,682.2,8
475000,488.7,8
500000,578.1,8
525000,685.9,8
550000,489.8,8
575000,490.6,8
600000,585.7,8
625000,678.5,8
650000,681.2,8
675000,776.5,8
700000,868.4,8
725000,874.4,8
750000,685.0,8
775000,972.1,8
800000,874.7,8
825000,874.4,8
850000,779.3,8
875000,872.4,8
900000,876.7,8
925000,877.7,8
950000,970.4,8
975000,970.4,8
1000000,972.1,8
0,100.0,9
25000,100.0,9
50000,101.5,9
75000,298.0,9
100000,271.7,9
125000,289.0,9
150000,388.5,9
175000,294.8,9
200000,200.5,9
225000,412.6,9
250000,383.3,9
275000,294.3,9
300000,375.0,9
325000,297.5,9
350000,293.6,9
375000,382.1,9
400000,293.9,9
425000,298.0,9
450000,393.5,9
475000,199.1,9
500000,293.0,9
525000,292.4,9
550000,297.4,9
575000,292.9,9
600000,296.2,9
625000,297.4,9
650000,298.3,9
675000,392.2,9
700000,392.9,9
725000,354.2,9
750000,394.6,9
775000,392.6,9
800000,298.2,9
825000,298.2,9
850000,587.4,9
875000,391.7,9
900000,392.5,9
925000,298.4,9
950000,396.6,9
975000,487.0,9
1000000,587.4,9
