step,reward,seed
0,0.0,0
25000,90.55751685685088,0
50000,67.98023458366754,0
75000,108.79353103042709,0
100000,251.52840493206912,0
125000,281.85919118238655,0
150000,545.9359631240759,0
175000,216.4032174408099,0
200000,387.4021774007695,0
225000,596.776730767131,0
250000,471.1634864185572,0
275000,760.4367756640112,0
300000,793.8623304270097,0
325000,393.9613677577208,0
350000,720.7946847829144,0
375000,595.8945339554447,0
400000,614.3348736330306,0
425000,694.7115326985056,0
450000,748.8386991664684,0
475000,736.3742296636016,0
500000,770.3918814190243,0
525000,708.8930445652612,0
550000,760.1304856848253,0
575000,724.5986820733767,0
600000,774.2746705964507,0
625000,690.0473229770827,0
650000,681.5977969812644,0
675000,775.252073532344,0
700000,538.9231516981574,0
725000,810.1660971039016,0
750000,728.076846246935,0
775000,745.2422490416557,0
800000,784.7028805467065,0
825000,827.0894214137397,0
850000,725.1513494436231,0
875000,722.1512393955669,0
900000,758.744811174868,0
925000,715.2165558210394,0
950000,796.114958045674,0
975000,619.7236880787036,0
1000000,821.5840729671405,0
0,0.0,1
25000,206.1765750510702,1
50000,187.23364564932533,1
75000,152.60049928627691,1
100000,237.1539548275698,1
125000,154.82531802231858,1
150000,635.9417788845047,1
175000,380.2137123726817,1
200000,679.3409908617126,1
225000,465.5053020705665,1
250000,660.6349465438101,1
275000,421.73726558577846,1
300000,645.7975233831652,1
325000,711.0956128256487,1
350000,534.2394912855855,1
375000,834.032482713732,1
400000,764.2934222127528,1
425000,570.0292823149292,1
450000,647.7899395089605,1
475000,726.8670890979164,1
500000,807.4211581318116,1
525000,751.7131171183277,1
550000,642.8058926616286,1
575000,722.0926816132034,1
600000,820.3620658406016,1
625000,806.3872031494539,1
650000,741.7054446120112,1
675000,621.4470511018071,1
700000,733.6749213307016,1
725000,652.7362096234884,1
750000,648.4002947619687,1
775000,710.6086126230027,1
800000,833.1831371947432,1
825000,827.841245723658,1
850000,780.8153242832507,1
875000,778.740800596844,1
900000,470.8969525299261,1
925000,801.4090201536757,1
950000,769.8642184382709,1
975000,829.3389464468697,1
1000000,657.0609419648592,1
0,0.0,2
25000,51.06578926644555,2
50000,158.40478848871572,2
75000,156.2038766439697,2
100000,107.15162711370701,2
125000,157.09562561161388,2
150000,281.37982601560077,2
175000,422.45245431566207,2
200000,169.44647592670478,2
225000,318.97699015752085,2
250000,462.10625334682675,2
275000,638.7535561857961,2
300000,540.1161485901856,2
325000,706.3786023946128,2
350000,609.6118989030483,2
375000,703.0343159741059,2
400000,604.386521392001,2
425000,761.624849519285,2
450000,779.0529170064441,2
475000,628.7301984725415,2
500000,590.3647009933417,2
525000,566.5334558430698,2
550000,593.0876943336273,2
575000,704.0168038733725,2
600000,759.2142863348085,2
625000,338.827719729643,2
650000,729.1022947131828,2
675000,541.2282285017889,2
700000,751.1570940361869,2
725000,755.8920547004143,2
750000,657.4001082514794,2
775000,769.5426137178102,2
800000,730.1451024224176,2
825000,760.098349847313,2
850000,858.2201834562981,2
875000,725.386254035819,2
900000,701.0070879241962,2
925000,635.9366102165222,2
950000,594.5589285230615,2
975000,849.6585846862093,2
1000000,773.3200208433078,2
0,0.0,3
25000,56.697681233852926,3
50000,114.71178623616899,3
75000,154.19594649080972,3
100000,427.2935552730918,3
125000,358.07893340249984,3
150000,423.3689933900272,3
175000,319.0552422248869,3
200000,518.3909539573481,3
225000,462.5737873800769,3
250000,338.7510530082937,3
275000,803.1331230582097,3
300000,797.4498915661436,3
325000,798.4713064429656,3
350000,670.957529217367,3
375000,818.0828288958843,3
400000,577.3875907830801,3
425000,815.9422064640837,3
450000,816.4802950195176,3
475000,645.6666938821826,3
500000,730.5823267202763,3
525000,597.1263346959424,3
550000,770.5644192775484,3
575000,825.1307886245713,3
600000,789.0102396201213,3
625000,804.0433001081044,3
650000,741.2864310162965,3
