step,reward,seed
0,0.0,0
25000,90.0,0
50000,85.8,0
75000,95.1,0
100000,120.9,0
125000,136.5,0
150000,84.3,0
175000,283.9,0
200000,89.7,0
225000,223.0,0
250000,352.7,0
275000,306.6,0
300000,188.0,0
325000,265.7,0
350000,595.3,0
375000,153.0,0
400000,424.0,0
425000,385.1,0
450000,581.8,0
475000,321.4,0
500000,287.9,0
525000,299.0,0
550000,437.0,0
575000,401.1,0
600000,737.1,0
625000,482.7,0
650000,374.9,0
675000,628.0,0
700000,475.5,0
725000,378.5,0
750000,575.7,0
775000,578.1,0
800000,518.5,0
825000,516.5,0
850000,405.7,0
875000,596.4,0
900000,835.8,0
925000,579.7,0
950000,705.4,0
975000,523.2,0
1000000,564.8,0
0,0.0,1
25000,57.9,1
50000,124.5,1
75000,78.3,1
100000,98.3,1
125000,58.1,1
150000,200.2,1
175000,195.0,1
200000,170.6,1
225000,69.2,1
250000,336.8,1
275000,266.2,1
300000,389.9,1
325000,184.3,1
350000,389.0,1
375000,412.9,1
400000,289.5,1
425000,441.2,1
450000,333.2,1
475000,239.4,1
500000,333.6,1
525000,322.9,1
550000,425.9,1
575000,557.7,1
600000,504.7,1
625000,430.1,1
650000,534.9,1
675000,548.5,1
700000,640.9,1
725000,272.3,1
750000,428.7,1
775000,568.7,1
800000,698.5,1
825000,392.2,1
850000,684.0,1
875000,584.8,1
900000,517.9,1
925000,431.2,1
950000,476.2,1
975000,754.9,1
1000000,565.6,1
0,0.0,2
25000,74.0,2
50000,67.9,2
75000,150.8,2
100000,158.7,2
125000,64.6,2
150000,54.2,2
175000,148.4,2
200000,58.4,2
225000,134.8,2
250000,396.4,2
275000,414.9,2
300000,235.5,2
325000,199.5,2
350000,428.1,2
375000,397.4,2
400000,268.5,2
425000,278.9,2
450000,252.3,2
475000,332.5,2
500000,198.0,2
525000,472.4,2
550000,565.7,2
575000,317.1,2
600000,557.1,2
625000,476.9,2
650000,562.6,2
675000,297.9,2
700000,461.0,2
725000,569.5,2
750000,526.8,2
775000,267.1,2
800000,361.5,2
825000,699.9,2
850000,521.3,2
875000,406.7,2
900000,494.6,2
925000,487.8,2
950000,319.8,2
975000,526.6,2
1000000,388.0,2
0,0.0,3
25000,99.4,3
50000,58.2,3
75000,49.9,3
100000,107.7,3
125000,151.0,3
150000,179.5,3
175000,193.1,3
200000,57.1,3
225000,57.8,3
250000,451.0,3
275000,122.5,3
300000,337.5,3
325000,208.8,3
350000,466.3,3
375000,146.8,3
400000,297.5,3
425000,437.5,3
450000,485.7,3
475000,184.8,3
500000,651.8,3
525000,526.2,3
550000,661.1,3
575000,474.4,3
600000,346.0,3
625000,435.2,3
650000,579.0,3
675000,218.6,3
700000,520.7,3
725000,470.1,3
750000,428.0,3
775000,593.6,3
800000,598.2,3
825000,636.5,3
850000,529.1,3
875000,534.9,3
900000,576.1,3
925000,649.1,3
950000,530.0,3
975000,561.2,3
1000000,562.7,3
0,0.0,4
25000,72.8,4
50000,56.3,4
75000,54.9,4
100000,50.2,4
125000,215.6,4
150000,59.3,4
175000,141.7,4
200000,142.3,4
225000,300.2,4
250000,165.7,4
275000,318.2,4
300000,249.4,4
325000,403.1,4
350000,440.2,4
375000,371.1,4
400000,407.1,4
425000,346.2,4
450000,482.3,4
475000,309.4,4
500000,394.3,4
525000,411.2,4
550000,468.5,4
575000,566.3,4
600000,456.0,4
625000,541.2,4
650000,633.9,4
675000,395.6,4
700000,687.4,4
725000,552.8,4
750000,551.0,4
775000,382.2,4
800000,682.2,4
825000,367.4,4
850000,614.0,4
875000,643.1,4
900000,542.2,4
925000,517.0,4
950000,818.0,4
975000,502.9,4
1000000,497.2,4
