step,reward,seed
0,0.0,0
25000,63.15279633898386,0
50000,42.08499281045914,0
75000,86.74647826417313,0
100000,88.71384016100613,0
125000,115.76750499655513,0
150000,149.26981774899627,0
175000,85.87428191864709,0
200000,55.41625202758911,0
225000,118.87929128236742,0
250000,196.69101210050707,0
275000,74.8567551903449,0
300000,223.68463135366096,0
325000,286.1547848324224,0
350000,99.37800674855119,0
375000,106.42517118468702,0
400000,70.53641375617023,0
425000,151.72709308591925,0
450000,162.08195697832713,0
475000,208.3854408731021,0
500000,353.76503268189043,0
525000,238.71041646992148,0
550000,336.6960928411249,0
575000,171.01386417057796,0
600000,268.23423274561117,0
625000,243.65435337578492,0
650000,278.0336373221927,0
675000,622.2616666008387,0
700000,217.69136354634674,0
725000,290.5224359873384,0
750000,549.5013918518741,0
775000,538.9074790348725,0
800000,470.2406569648397,0
825000,375.10834326547314,0
850000,183.82340838653857,0
875000,231.99637112436557,0
900000,229.30489449749402,0
925000,395.42453563971713,0
950000,423.9384059687669,0
975000,59.39323363631381,0
1000000,537.1702655412112,0
0,0.0,1
25000,104.24643199717347,1
50000,97.77491892627367,1
75000,64.26438091392207,1
100000,93.3624824667439,1
125000,96.94057207571521,1
150000,62.63063454395167,1
175000,30.861927064045016,1
200000,111.22323159780665,1
225000,101.30158690641143,1
250000,41.45323170380304,1
275000,64.89771509432597,1
300000,50.61562644824835,1
325000,94.43890339774876,1
350000,106.96487451024095,1
375000,257.01720694344453,1
400000,83.76116912628353,1
425000,64.21565137508551,1
450000,201.2641992954803,1
475000,204.6376027334246,1
500000,74.87301439241939,1
525000,102.07205168091134,1
550000,201.10197771548604,1
575000,167.20165495483144,1
600000,210.6896228139326,1
625000,308.65163367193406,1
650000,42.60194467472045,1
675000,176.0175250413917,1
700000,72.02123039423913,1
725000,114.05481112068851,1
750000,84.95538070269677,1
775000,247.18094906964515,1
800000,353.3484855015852,1
825000,316.1532919728288,1
850000,235.44154007407465,1
875000,257.8198979185689,1
900000,77.11272026004424,1
925000,193.12546618741038,1
950000,77.61251905216326,1
975000,329.5650257844692,1
1000000,61.14739511639955,1
0,0.0,2
25000,58.46725964649232,2
50000,183.12784264360033,2
75000,72.49867324458467,2
100000,96.01345339613705,2
125000,80.84820619222342,2
150000,126.95182995593923,2
175000,160.38070828841978,2
200000,67.56545170550494,2
225000,204.37967058238274,2
250000,64.1086000589209,2
275000,57.6652662072652,2
300000,82.49032578040556,2
325000,203.65877049082064,2
350000,140.9716263392648,2
375000,225.06874077684543,2
400000,209.9667539291792,2
425000,149.89612263341297,2
450000,243.34730517171732,2
475000,218.45154410732226,2
500000,82.73142363220384,2
525000,152.42274646985706,2
550000,244.30519228748236,2
575000,164.08670965449085,2
600000,218.9689411330417,2
625000,157.67570412602493,2
650000,182.44898454765703,2
675000,130.51871048100105,2
700000,145.79341005381215,2
725000,461.15926382064646,2
750000,268.6148740934003,2
775000,295.81130651905437,2
800000,37.42978621278021,2
825000,373.02515867296563,2
850000,654.8761800946684,2
875000,205.0426545040723,2
900000,628.4170320896029,2
925000,199.13635247923295,2
950000,189.7794482946495,2
975000,550.0540710455323,2
1000000,278.03600493627,2
0,0.0,3
25000,42.55433247494617,3
50000,83.86065599824472,3
75000,86.13760363958963,3
100000,73.19930805673661,3
125000,64.10669574334469,3
150000,98.19357173064289,3
175000,66.77167968065194,3
200000,197.55650843199814,3
225000,61.23275985074797,3
250000,67.14510827612091,3
275000,102.30261385294463,3
300000,149.00735421871295,3
325000,183.27124647911214,3
350000,190.7363853750855,3
375000,215.58019712899483,3
400000,89.24664599835054,3
425000,117.03898069221427,3
450000,242.93179337666916,3
475000,72.34398000718765,3
500000,181.7245232999615,3
525000,145.44736135140835,3
550000,66.14720270210616,3
575000,243.58360637216825,3
600000,149.99742046163178,3
625000,99.35861175583946,3
650000,145.97648099786127,3
675000,239.3755610208455,3
700000,63.83326726934267,3
725000,189.22854267256608,3
750000,33.17431031969377,3
775000,265.84640864932896,3
800000,131.01711256044086,3
825000,75.10176275497136,3
850000,233.17412999893023,3
875000,290.3587221713567,3
900000,84.20880909222537,3
925000,229.63234381079928,3
950000,342.3606188580953,3
975000,370.9047793689141,3
1000000,195.9859907408974,3
0,0.0,4
25000,25.181551482877254,4
50000,75.44614354734676,4
75000,61.74126514416262,4
100000,97.46370867645348,4
125000,73.98940304859066,4
150000,87.87943729347509,4
175000,66.02161853847699,4
200000,65.95088487649032,4
225000,78.76693542580703,4
250000,149.88120499660712,4
275000,108.62812474532271,4
300000,52.40508637557639,4
325000,89.30750588437812,4
350000,105.37571733947411,4
375000,83.39334816789841,4
400000,102.51437866573713,4
425000,81.3331371851801,4
450000,66.55435975920122,4
475000,285.8054755185603,4
500000,67.50718734222787,4
525000,55.91946876992326,4
550000,170.71892935008873,4
575000,117.96203981784888,4
600000,65.80974674216023,4
625000,72.98164589321537,4
650000,75.39810825244749,4
675000,57.95834079174658,4
700000,48.636961814413716,4
725000,53.993535233832134,4
750000,50.772345996855094,4
775000,86.05233377924868,4
800000,75.36390749382831,4
825000,143.79934208931095,4
850000,70.7141234233487,4
875000,373.09455897370265,4
900000,64.38206607607471,4
925000,229.16680390158353,4
950000,395.17921061443326,4
975000,179.13300167224105,4
1000000,254.567317779631,4
0,0.0,5
25000,124.745778845511,5
50000,70.82133652874722,5
75000,46.098790643468796,5
100000,49.53306752362893,5
125000,71.20250030260343,5
150000,87.91655831127719,5
175000,112.90896923238965,5
200000,96.3842332965331,5
225000,217.19255875560998,5
250000,176.07523990621883,5
275000,94.89308250739148,5
300000,55.71760679703093,5
325000,116.08117864563908,5
350000,62.579248080590446,5
375000,181.01537538464362,5
400000,230.7760880678894,5
425000,203.27697162651467,5
450000,329.9143438938196,5
475000,509.74945936318574,5
500000,72.15312747251377,5
525000,229.60053601762291,5
550000,247.934590924325,5
575000,60.531466787523584,5
600000,569.8610980674205,5
625000,260.310294710298,5
650000,403.4516419644431,5
675000,364.13189844936,5
700000,84.35250844308527,5
725000,329.6427590729472,5
750000,585.319019005309,5
775000,351.55418297526484,5
800000,325.4983639122773,5
825000,301.2273474921793,5
850000,360.7442428457755,5
875000,213.54025431858753,5
900000,360.9441639878729,5
925000,541.612670245803,5
950000,257.18822306792623,5
975000,510.79339975313417,5
1000000,474.1658659072847,5
0,0.0,6
25000,117.71720114366876,6
50000,99.44296672655393,6
75000,41.218207122274094,6
100000,91.63240229809661,6
125000,195.1012484527177,6
150000,64.03950758695125,6
175000,52.22575655871399,6
200000,90.68322855787389,6
225000,76.0925779883234,6
250000,54.32996278017305,6
275000,60.522355562181396,6
300000,262.3497419855524,6
325000,77.27796339282689,6
350000,78.71417262193445,6
375000,111.50377548496904,6
400000,69.12274495244681,6
425000,90.46296174086633,6
450000,66.86805873271875,6
475000,84.00968121778382,6
500000,82.85584547319995,6
525000,54.61216015383822,6
550000,66.93205337211043,6
575000,119.28116611216743,6
600000,55.79840605455323,6
625000,286.1208196893714,6
650000,160.72650860656012,6
675000,54.16879087352106,6
700000,74.69883467778183,6
725000,142.6191361534888,6
750000,76.12320434275966,6
775000,207.44201423810904,6
800000,66.07510336875326,6
825000,224.97200506753924,6
850000,55.26704358483511,6
875000,118.56755334788166,6
900000,372.3745428953194,6
925000,61.23949511365934,6
950000,247.19450263727808,6
975000,86.10753389044557,6
1000000,205.17392482710574,6
0,0.0,7
25000,78.2232489976278,7
50000,77.67451691821917,7
75000,77.6201505762383,7
