step,reward,seed
0,0.0,0
25000,0.5,0
50000,21.3,0
75000,82.7,0
100000,182.3,0
125000,172.5,0
150000,243.2,0
175000,261.6,0
200000,281.8,0
225000,291.6,0
250000,245.8,0
275000,310.4,0
300000,317.2,0
325000,264.1,0
350000,312.3,0
375000,321.2,0
400000,312.8,0
425000,336.9,0
450000,335.2,0
475000,338.1,0
500000,369.7,0
525000,438.0,0
550000,500.7,0
575000,506.3,0
600000,538.8,0
625000,551.6,0
650000,533.8,0
675000,554.6,0
700000,553.9,0
725000,469.0,0
750000,558.1,0
775000,563.2,0
800000,560.6,0
825000,554.8,0
850000,562.1,0
875000,568.9,0
900000,559.6,0
925000,563.4,0
950000,561.0,0
975000,565.8,0
1000000,557.5,0
0,0.0,1
25000,0.0,1
50000,0.0,1
75000,4.9,1
100000,187.8,1
125000,199.8,1
150000,252.0,1
175000,250.3,1
200000,265.0,1
225000,253.4,1
250000,266.1,1
275000,274.9,1
300000,284.4,1
325000,225.4,1
350000,294.6,1
375000,305.8,1
400000,311.7,1
425000,351.3,1
450000,344.5,1
475000,359.2,1
500000,348.2,1
525000,369.8,1
550000,369.9,1
575000,366.7,1
600000,334.0,1
625000,378.9,1
650000,373.5,1
675000,404.5,1
700000,403.6,1
725000,307.8,1
750000,402.4,1
775000,413.7,1
800000,407.6,1
825000,404.4,1
850000,404.6,1
875000,421.8,1
900000,409.6,1
925000,413.7,1
950000,402.2,1
975000,403.0,1
1000000,412.2,1
0,0.0,2
25000,0.0,2
50000,6.7,2
75000,136.4,2
100000,185.4,2
125000,228.0,2
150000,237.0,2
175000,230.1,2
200000,260.9,2
225000,248.5,2
250000,261.9,2
275000,281.2,2
300000,283.9,2
325000,260.6,2
350000,298.2,2
375000,310.0,2
400000,339.4,2
425000,354.6,2
450000,380.9,2
475000,490.2,2
500000,495.7,2
525000,510.4,2
550000,530.6,2
575000,512.5,2
600000,535.8,2
625000,549.6,2
650000,558.7,2
675000,542.6,2
700000,579.4,2
725000,424.9,2
750000,584.1,2
775000,539.0,2
800000,620.5,2
825000,622.4,2
850000,620.9,2
875000,606.8,2
900000,586.1,2
925000,627.5,2
950000,629.2,2
975000,625.6,2
1000000,572.5,2
0,0.0,3
25000,0.0,3
50000,69.3,3
75000,159.7,3
100000,238.9,3
125000,246.8,3
150000,269.1,3
175000,264.4,3
200000,274.5,3
225000,280.1,3
250000,276.9,3
275000,280.6,3
300000,279.9,3
325000,220.6,3
350000,288.1,3
375000,289.5,3
400000,295.4,3
425000,290.1,3
450000,291.8,3
475000,293.7,3
500000,281.0,3
525000,298.3,3
550000,304.9,3
575000,291.2,3
600000,269.5,3
625000,300.2,3
650000,294.6,3
675000,295.8,3
700000,306.7,3
725000,262.3,3
750000,268.6,3
775000,303.9,3
800000,305.1,3
825000,302.4,3
850000,309.1,3
875000,309.4,3
900000,300.8,3
925000,312.6,3
950000,278.5,3
975000,292.8,3
1000000,310.9,3
0,0.0,4
25000,1.2,4
50000,0.2,4
75000,0.5,4
100000,141.2,4
125000,182.5,4
150000,211.2,4
175000,228.1,4
200000,228.0,4
225000,234.3,4
250000,233.8,4
275000,243.3,4
300000,247.5,4
325000,204.4,4
350000,250.5,4
375000,227.2,4
400000,253.7,4
425000,253.4,4
450000,255.3,4
475000,255.5,4
500000,249.1,4
525000,258.2,4
550000,238.9,4
575000,220.1,4
600000,258.2,4
625000,263.6,4
650000,240.3,4
675000,255.6,4
700000,257.2,4
725000,226.7,4
750000,258.9,4
775000,264.0,4
800000,262.9,4
825000,252.8,4
850000,265.3,4
875000,268.5,4
900000,257.6,4
925000,265.7,4
950000,266.6,4
975000,252.4,4
1000000,270.5,4
