step,reward,seed
0,0.0,0
25000,0.8,0
50000,0.6,0
75000,0.9,0
100000,0.9,0
125000,0.8,0
150000,0.7,0
175000,1.0,0
200000,2.0,0
225000,2.6,0
250000,3.2,0
275000,0.7,0
300000,4.2,0
325000,41.2,0
350000,10.2,0
375000,7.2,0
400000,0.8,0
425000,56.6,0
450000,53.2,0
475000,56.0,0
500000,76.0,0
525000,80.6,0
550000,87.9,0
575000,97.4,0
600000,104.9,0
625000,111.3,0
650000,108.9,0
675000,120.1,0
700000,127.1,0
725000,101.2,0
750000,127.5,0
775000,131.1,0
800000,128.1,0
825000,131.1,0
850000,138.5,0
875000,145.8,0
900000,136.3,0
925000,136.4,0
950000,143.9,0
975000,132.3,0
1000000,152.2,0
0,0.0,1
25000,0.8,1
50000,0.5,1
75000,0.7,1
100000,1.2,1
125000,1.3,1
150000,5.9,1
175000,17.8,1
200000,30.5,1
225000,15.4,1
250000,1.0,1
275000,22.2,1
300000,9.8,1
325000,63.9,1
350000,55.0,1
375000,69.0,1
400000,65.8,1
425000,94.0,1
450000,108.4,1
475000,106.1,1
500000,138.5,1
525000,148.4,1
550000,166.6,1
575000,162.5,1
600000,200.1,1
625000,191.9,1
650000,194.9,1
675000,190.9,1
700000,194.6,1
725000,154.0,1
750000,191.6,1
775000,214.6,1
800000,195.1,1
825000,191.3,1
850000,200.0,1
875000,210.9,1
900000,205.5,1
925000,206.7,1
950000,201.5,1
975000,211.8,1
1000000,189.3,1
0,0.0,2
25000,0.8,2
50000,1.1,2
75000,0.8,2
100000,0.9,2
125000,1.4,2
150000,1.0,2
175000,40.2,2
200000,45.5,2
225000,40.5,2
250000,18.7,2
275000,82.5,2
300000,90.0,2
325000,88.7,2
350000,115.0,2
375000,117.4,2
400000,114.9,2
425000,131.2,2
450000,133.3,2
475000,136.0,2
500000,138.9,2
525000,145.3,2
550000,146.4,2
575000,149.3,2
600000,165.4,2
625000,170.7,2
650000,168.3,2
675000,183.3,2
700000,203.3,2
725000,148.5,2
750000,198.9,2
775000,208.7,2
800000,216.3,2
825000,212.6,2
850000,209.6,2
875000,208.0,2
900000,205.2,2
925000,216.5,2
950000,216.0,2
975000,213.7,2
1000000,227.2,2
0,0.0,3
25000,0.6,3
50000,0.6,3
75000,1.0,3
100000,1.5,3
125000,1.2,3
150000,1.4,3
175000,1.2,3
200000,1.7,3
225000,4.8,3
250000,47.2,3
275000,3.3,3
300000,1.1,3
325000,45.3,3
350000,90.0,3
375000,27.7,3
400000,87.4,3
425000,97.5,3
450000,112.6,3
475000,106.0,3
500000,113.7,3
525000,113.9,3
550000,129.1,3
575000,115.0,3
600000,132.7,3
625000,141.8,3
650000,129.5,3
675000,142.6,3
700000,142.7,3
725000,89.8,3
750000,158.6,3
775000,174.2,3
800000,177.3,3
825000,168.7,3
850000,185.6,3
875000,189.7,3
900000,180.4,3
925000,193.2,3
950000,193.0,3
975000,185.1,3
1000000,223.9,3
0,0.0,4
25000,0.9,4
50000,0.6,4
75000,0.9,4
100000,0.8,4
125000,2.8,4
150000,1.0,4
175000,50.5,4
200000,57.9,4
225000,76.3,4
250000,93.3,4
275000,101.6,4
300000,68.9,4
325000,83.8,4
350000,115.6,4
375000,129.0,4
400000,141.3,4
425000,156.4,4
450000,162.3,4
475000,183.6,4
500000,179.7,4
525000,196.5,4
550000,200.6,4
575000,191.2,4
600000,204.8,4
625000,195.6,4
650000,196.5,4
675000,224.0,4
700000,231.0,4
725000,134.1,4
750000,217.9,4
775000,218.4,4
800000,234.9,4
825000,218.3,4
850000,226.0,4
875000,264.4,4
900000,212.7,4
925000,250.3,4
950000,257.1,4
975000,230.0,4
1000000,232.5,4
