step,reward,seed
0,0.0,0
25000,4.294997563333402,0
50000,4.511020906251735,0
75000,4.89624223654263,0
100000,7.265220389423101,0
125000,7.556731354168411,0
150000,7.311918901920478,0
175000,236.31873563172795,0
200000,337.37110182307305,0
225000,388.8982553188289,0
250000,400.0471463596531,0
275000,421.9742202209244,0
300000,517.7018220735931,0
325000,535.089625558145,0
350000,542.7223789137829,0
375000,579.4869344652527,0
400000,602.3615537770927,0
425000,728.1944773822113,0
450000,765.4926059014483,0
475000,746.5081582698724,0
500000,848.488168925759,0
525000,804.9070753533069,0
550000,841.8089298374556,0
575000,839.483276543946,0
600000,862.8715561960314,0
625000,384.8733923662416,0
650000,797.2284252088363,0
675000,862.1568421560653,0
700000,871.1850070886078,0
725000,877.434291870012,0
750000,854.886361827805,0
775000,834.4445217530485,0
800000,881.7974490285011,0
825000,847.1312262792981,0
850000,889.502010585996,0
875000,65.06985610306218,0
900000,752.2513315754956,0
925000,902.3454863158089,0
950000,742.147137264672,0
975000,887.2504900825039,0
1000000,886.468501034452,0
0,0.0,1
25000,3.295615857803483,1
50000,4.96968607672046,1
75000,3.6225298506736863,1
100000,11.4115265864264,1
125000,13.591342166915831,1
150000,195.73305626398056,1
175000,179.71617055137446,1
200000,230.76891068982837,1
225000,380.0289263915132,1
250000,327.7710275576279,1
275000,359.79340786860973,1
300000,5.728797315092121,1
325000,422.16648914748913,1
350000,79.6863316173573,1
375000,204.52906835767857,1
400000,469.66822189919077,1
425000,447.9014038946058,1
450000,486.0381382549067,1
475000,466.0624588636674,1
500000,500.75783135814726,1
525000,512.4374481678046,1
550000,536.2134758830598,1
575000,522.0232945882781,1
600000,525.4920641687279,1
625000,522.140076670728,1
650000,540.7283935513568,1
675000,432.29214634672815,1
700000,565.7512475154108,1
725000,563.1527863458361,1
750000,575.2876667756021,1
775000,585.4552286383691,1
800000,590.6851313475125,1
825000,581.8160354808476,1
850000,692.8979435507889,1
875000,722.8881237717748,1
900000,660.0363428941286,1
925000,609.6097394067808,1
950000,685.5608580064753,1
975000,710.2227537388301,1
1000000,683.9397877550748,1
0,0.0,2
25000,5.513097141496173,2
50000,5.867448886394523,2
75000,5.483249662222836,2
100000,6.896863293004484,2
125000,7.554115827318279,2
150000,7.263721313386666,2
175000,7.708081341573495,2
200000,7.712806269024638,2
225000,41.811918044411584,2
250000,73.87897326258694,2
275000,3.9769793301630285,2
300000,5.160228525663672,2
325000,7.862500113429746,2
350000,60.30588553376664,2
375000,126.80766501138756,2
400000,162.8809927457058,2
425000,220.14516703945475,2
450000,258.0478470476595,2
475000,314.2999547661096,2
500000,308.6777639493283,2
525000,336.9511102581372,2
550000,286.7598088129956,2
575000,319.1964827529201,2
600000,415.8734344563858,2
625000,7.425325125853139,2
650000,532.7120061620923,2
675000,27.634441180203282,2
700000,756.0528180522491,2
725000,665.6377766231069,2
750000,584.2337711399751,2
775000,642.8019216127642,2
800000,652.2363619247678,2
825000,631.2496217783636,2
850000,753.3629213909526,2
875000,736.4476099001745,2
900000,707.5810845342694,2
925000,824.8060803432543,2
950000,831.3073406532478,2
975000,772.0507148611607,2
1000000,659.2814087428717,2
0,0.0,3
25000,4.820385822707855,3
