step,reward,seed
0,0.0,0
25000,4.1,0
50000,3.9,0
75000,6.3,0
100000,4.2,0
125000,6.2,0
150000,6.8,0
175000,18.4,0
200000,26.6,0
225000,120.2,0
250000,190.9,0
275000,120.5,0
300000,38.9,0
325000,83.9,0
350000,389.9,0
375000,354.9,0
400000,480.5,0
425000,504.5,0
450000,99.9,0
475000,554.8,0
500000,638.8,0
525000,790.9,0
550000,835.0,0
575000,855.8,0
600000,791.6,0
625000,753.3,0
650000,823.1,0
675000,901.7,0
700000,899.8,0
725000,521.4,0
750000,891.5,0
775000,891.2,0
800000,914.2,0
825000,762.5,0
850000,907.3,0
875000,903.6,0
900000,862.2,0
925000,901.7,0
950000,898.8,0
975000,831.4,0
1000000,923.7,0
0,0.0,1
25000,4.0,1
50000,5.0,1
75000,10.4,1
100000,6.6,1
125000,15.2,1
150000,8.5,1
175000,144.1,1
200000,87.7,1
225000,4.8,1
250000,305.5,1
275000,325.8,1
300000,238.5,1
325000,352.3,1
350000,416.6,1
375000,419.5,1
400000,432.1,1
425000,513.2,1
450000,508.7,1
475000,519.1,1
500000,560.9,1
525000,571.0,1
550000,613.9,1
575000,602.8,1
600000,654.0,1
625000,694.9,1
650000,669.5,1
675000,820.7,1
700000,832.8,1
725000,518.7,1
750000,788.1,1
775000,876.9,1
800000,856.5,1
825000,883.0,1
850000,887.1,1
875000,6.4,1
900000,878.3,1
925000,894.3,1
950000,873.4,1
975000,741.1,1
1000000,720.9,1
0,0.0,2
25000,4.3,2
50000,5.1,2
75000,6.8,2
100000,12.9,2
125000,9.3,2
150000,20.5,2
175000,123.5,2
200000,118.2,2
225000,165.1,2
250000,228.0,2
275000,174.8,2
300000,322.8,2
325000,332.2,2
350000,415.1,2
375000,467.3,2
400000,466.8,2
425000,557.2,2
450000,796.6,2
475000,830.1,2
500000,782.1,2
525000,819.0,2
550000,756.0,2
575000,904.1,2
600000,808.9,2
625000,902.5,2
650000,867.9,2
675000,894.2,2
700000,889.7,2
725000,723.9,2
750000,847.0,2
775000,814.6,2
800000,902.3,2
825000,872.6,2
850000,908.2,2
875000,892.8,2
900000,903.7,2
925000,907.2,2
950000,895.2,2
975000,803.6,2
1000000,869.0,2
0,0.0,3
25000,4.4,3
50000,5.5,3
75000,2.5,3
100000,4.6,3
125000,5.3,3
150000,42.6,3
175000,7.8,3
200000,95.0,3
225000,155.9,3
250000,128.2,3
275000,196.2,3
300000,198.9,3
325000,250.9,3
350000,314.4,3
375000,359.3,3
400000,408.7,3
425000,555.6,3
450000,554.7,3
475000,566.7,3
500000,595.5,3
525000,747.3,3
550000,743.0,3
575000,691.3,3
600000,825.2,3
625000,842.4,3
650000,761.3,3
675000,831.2,3
700000,707.7,3
725000,399.0,3
750000,769.4,3
775000,845.6,3
800000,840.9,3
825000,817.7,3
850000,836.0,3
875000,853.3,3
900000,822.2,3
925000,851.4,3
950000,827.2,3
975000,852.9,3
1000000,869.6,3
0,0.0,4
25000,5.7,4
50000,3.9,4
75000,6.0,4
100000,5.1,4
125000,4.6,4
150000,13.8,4
175000,72.6,4
200000,6.4,4
225000,106.1,4
250000,219.4,4
275000,242.9,4
300000,222.4,4
325000,330.8,4
350000,151.0,4
375000,422.8,4
400000,398.8,4
425000,532.5,4
450000,751.5,4
475000,11.2,4
500000,802.0,4
525000,815.5,4
550000,870.7,4
575000,784.5,4
600000,849.6,4
625000,857.5,4
650000,703.2,4
675000,864.1,4
700000,861.7,4
725000,697.3,4
750000,860.6,4
775000,894.3,4
800000,890.9,4
825000,846.9,4
850000,886.3,4
875000,897.0,4
900000,855.7,4
925000,879.2,4
950000,841.2,4
975000,824.3,4
1000000,815.9,4
