step,reward,seed
0,4.953502702356603,0
25000,5.368131772501518,0
50000,3.56026828259085,0
75000,5.637978986629553,0
100000,6.874112382230254,0
125000,8.037676581801307,0
150000,6.811338349257009,0
175000,8.307234825974533,0
200000,9.95670789343701,0
225000,11.483535249721015,0
250000,8.561615235170818,0
275000,14.304729004769609,0
300000,7.766467860741292,0
325000,36.01670412923566,0
350000,54.28426978375264,0
375000,39.33994984602308,0
400000,95.8363126234797,0
425000,70.01147606501237,0
450000,307.57336337342065,0
475000,348.0465770100055,0
500000,46.82402102137736,0
525000,382.1757918600539,0
550000,422.1135774113384,0
575000,439.5047381480484,0
600000,487.5180262643541,0
625000,535.2938909649085,0
650000,541.7320669778815,0
675000,575.6825130440254,0
700000,605.4273232096364,0
725000,703.7939805812814,0
750000,700.3912750195992,0
775000,720.0534368266012,0
800000,686.0756136567992,0
825000,711.1362937146965,0
850000,696.1456688168657,0
875000,689.4267988551961,0
900000,11.000245568481535,0
925000,696.3341105730151,0
950000,686.585295606502,0
975000,771.2677716664675,0
1000000,772.1481096760048,0
0,5.624260792528733,1
25000,4.433196369622253,1
50000,4.846906602448967,1
75000,4.454641440263,1
100000,5.650273226837774,1
125000,6.174548327556317,1
150000,6.05756044486863,1
175000,11.887782397250003,1
200000,51.548328026826674,1
225000,148.56566872113757,1
250000,74.13101535725556,1
275000,96.97026492880757,1
300000,35.59640842969077,1
325000,188.69370234833096,1
350000,224.8252515857073,1
375000,275.36975666684174,1
400000,339.688489247749,1
425000,354.4897331319001,1
450000,452.6915399733965,1
475000,428.2689160199008,1
500000,502.5024820922543,1
525000,481.6459632376721,1
550000,506.3200169280887,1
575000,519.3714920955714,1
600000,511.8530113813689,1
625000,521.1136773043921,1
650000,537.4305072239534,1
675000,514.8767544569979,1
700000,567.4505548283984,1
725000,514.2748036185257,1
750000,574.9457901912655,1
775000,69.99817706469622,1
800000,609.8593392515241,1
825000,644.6631881748698,1
850000,607.6239788796103,1
875000,592.2807035948654,1
900000,673.9538526152803,1
925000,755.2757280345753,1
950000,758.3332990122187,1
975000,804.5787619378132,1
1000000,800.102785856564,1
0,3.689090915919894,2
25000,5.266745351511289,2
50000,4.431464752386903,2
75000,5.5752570633031295,2
100000,4.274350631229299,2
125000,7.643925124598018,2
150000,5.286562941704164,2
175000,4.604439519988745,2
200000,6.758731634632184,2
225000,5.226046957566711,2
250000,5.310640151921853,2
275000,6.902751701329154,2
300000,8.16878013149549,2
325000,8.445369331162654,2
350000,15.24983214457149,2
375000,18.79151240954833,2
400000,53.65362892388383,2
425000,12.965739213946293,2
450000,19.22510704015276,2
475000,69.10645933621294,2
500000,51.209161641416095,2
525000,169.82470481556487,2
550000,48.4884098216928,2
575000,213.416299225028,2
600000,278.2288682451658,2
625000,325.73538110932094,2
650000,352.64524745448585,2
675000,441.2682138471684,2
700000,503.6339484400065,2
725000,550.4760103524579,2
750000,586.5799992544078,2
775000,702.0926822975784,2
800000,744.0202661307037,2
825000,704.0757742788052,2
850000,732.83680227772,2
875000,789.2900206494347,2
900000,759.7048000371815,2
925000,725.3473018761226,2
950000,764.4449894132689,2
975000,809.313978348612,2
1000000,805.0673223325999,2
0,6.743571461539044,3
25000,6.405375899706695,3
50000,4.914074927301916,3
75000,4.464449899775845,3
100000,6.727075092116985,3
125000,7.239338599881703,3
150000,8.695169049009355,3
175000,9.056342569046992,3
200000,27.56543786114745,3
225000,35.835962055645766,3
250000,96.05958956203764,3
275000,170.99665229246557,3
300000,271.7738308367944,3
325000,316.54793675709,3
350000,300.8261844494479,3
375000,379.8824331097143,3
400000,356.8667816208768,3
425000,349.72446477913724,3
450000,339.45464188568474,3
475000,416.4489523996789,3
500000,442.2918122220626,3
525000,466.53791609899736,3
550000,468.6260643896088,3
575000,464.57584846332975,3
600000,493.1280879663505,3
625000,499.6863930067173,3
650000,513.1769605794307,3
675000,545.5569439919349,3
700000,488.6479711768641,3
725000,545.9389172804224,3
750000,542.7138997929708,3
775000,556.5968558799136,3
800000,538.237652160977,3
825000,551.0870111167192,3
850000,557.8143545155604,3
875000,572.472525253427,3
900000,569.1496796294452,3
925000,582.7900449488236,3
950000,581.8164027300407,3
975000,540.759301469093,3
1000000,575.5651778675907,3
0,5.027932585213059,4
25000,5.017409876928834,4
50000,4.476025581516748,4
75000,4.633493091632285,4
100000,4.8061701290310745,4
125000,6.275875486576482,4
150000,6.027633224222332,4
175000,6.228591911095114,4
200000,4.489747391723901,4
225000,7.5656736384279935,4
250000,31.08047192993253,4
275000,109.0846057315731,4
300000,98.83244523598096,4
325000,216.33466583452585,4
350000,210.0001100877144,4
375000,237.48515417899188,4
400000,320.5250462580776,4
425000,306.32319334735746,4
450000,391.281367468141,4
475000,138.2394874586142,4
500000,423.514116019483,4
525000,430.8976010003856,4
550000,7.599980025083889,4
575000,365.83761599133385,4
600000,477.5992237199348,4
625000,449.61058443260646,4
650000,476.5002927736229,4
675000,486.8532129900335,4
700000,498.9099714480713,4
725000,513.8236145029376,4
750000,526.2087965001795,4
775000,540.2189196760044,4
800000,528.8127413953715,4
825000,425.0207138544012,4
850000,577.2233751211623,4
875000,594.2207026483129,4
900000,601.0319521866111,4
925000,85.23005916937113,4
950000,700.1777559593397,4
975000,701.8894150044446,4
1000000,783.5461097264686,4
0,5.287819296098185,5
25000,5.036508870627461,5
50000,3.9407570546577615,5
75000,7.620759019351233,5
100000,6.257159619581989,5
125000,5.510366997863182,5
150000,5.978937132896371,5
175000,6.500835365667276,5
200000,5.341606508008669,5
225000,15.601104279812674,5
250000,37.11464788831513,5
275000,100.88582151310324,5
300000,221.4917096650755,5
325000,212.47269944166496,5
350000,277.38610567571726,5
375000,279.8882220654196,5
400000,336.79398748715374,5
425000,314.99170775033633,5
450000,329.45385205109017,5
475000,7.172705898809622,5
500000,405.2407587309915,5
525000,470.9335322107112,5
550000,501.1291828637072,5
575000,508.84450460744335,5
600000,509.60411065685946,5
625000,511.2525560888362,5
650000,567.3151009775733,5
675000,536.6231422634139,5
700000,608.4927317693848,5
725000,626.2367560852272,5
750000,633.1123177554216,5
775000,691.9808393561109,5
800000,682.3341188348179,5
825000,724.872201150068,5
850000,692.6767358244796,5
875000,745.7385971922873,5
900000,722.4585609442818,5
925000,688.8221247004707,5
950000,747.2361927233824,5
975000,779.3055137259815,5
1000000,760.044064229666,5
0,6.711140803756562,6
25000,4.9512546092168055,6
50000,5.497248047011296,6
75000,7.522215032638596,6
100000,5.563150859115856,6
125000,6.586293876007166,6
150000,5.473687135467661,6
175000,5.504454752837085,6
200000,4.082326134790025,6
225000,16.176391964771916,6
250000,64.80392339570105,6
275000,93.49124453097534,6
300000,174.71748959010384,6
325000,299.7692322728381,6
350000,336.4774733356859,6
375000,214.75668892085733,6
400000,398.352469611796,6
425000,383.82629746133983,6
450000,416.4892441931949,6
475000,448.60124057804194,6
500000,4.625822851179114,6
525000,4.680485395407582,6
550000,460.5245253563943,6
575000,419.0336097374927,6
600000,519.308339170912,6
625000,530.4505482633605,6
650000,595.4553731589414,6
675000,572.1231425849985,6
700000,588.3007309154121,6
725000,6.679922976052263,6
750000,581.9359294059462,6
775000,661.3670472297351,6
800000,727.0617154453412,6
825000,767.2856497776003,6
850000,707.9678111970445,6
875000,696.8812656452271,6
900000,755.3670147798508,6
925000,732.9109361110768,6
950000,680.5848415021139,6
975000,795.2171257137868,6
1000000,807.7234895226071,6
0,4.442788080691163,7
25000,3.86925895247476,7
50000,4.056086029085254,7
75000,4.901651806413561,7
100000,4.489417079530363,7
125000,4.263054255546512,7
150000,4.314559615704684,7
175000,63.975537471014846,7
200000,237.02143817665188,7
225000,351.21967516681605,7
250000,282.88958449111385,7
275000,426.9737172126267,7
300000,438.7971873752499,7
325000,487.2774956187118,7
350000,519.8725833766136,7
375000,540.8188581125107,7
400000,532.1199734442297,7
425000,582.6665259954141,7
450000,561.9854372681993,7
475000,603.0029289024199,7
500000,589.9997291673233,7
525000,636.2511143665904,7
550000,639.5527910706197,7
575000,596.4856137698787,7
600000,676.5323095660103,7
625000,694.7177702562412,7
650000,710.0695721432772,7
675000,680.3942553888139,7
700000,694.000520893427,7
725000,655.2477612266554,7
750000,703.1405273093668,7
775000,691.2355986672342,7
800000,724.6832983803189,7
825000,745.358360025454,7
850000,122.76627649300391,7
875000,762.404674030028,7
900000,782.8206648586172,7
925000,756.6876581174745,7
950000,768.729035580746,7
975000,806.0148043451723,7
1000000,795.6666142991083,7
0,6.678289492665568,8
25000,6.155881511924521,8
50000,6.024354345498857,8
75000,6.413268184264311,8
100000,7.013458036769466,8
125000,4.828506911931538,8
150000,6.615921554963663,8
175000,6.428091061685173,8
200000,6.1395150327441375,8
225000,103.54817879753196,8
250000,207.8692430924611,8
275000,247.8024913491913,8
300000,298.3250482441425,8
325000,211.6497278182082,8
350000,321.7906858602384,8
375000,328.10375536731783,8
400000,330.7020149696833,8
425000,368.36958524082354,8
450000,389.6365989491902,8
475000,373.6301036160038,8
500000,450.9005760911847,8
525000,493.08699071769314,8
550000,434.9177115992098,8
575000,488.1136192499739,8
600000,402.4292599559299,8
625000,507.0004164283733,8
650000,548.4865683340073,8
675000,544.2302865395325,8
700000,555.363693056031,8
725000,624.201839949002,8
750000,601.7106347965494,8
775000,640.1185738267138,8
800000,613.1541227452411,8
825000,658.0714772288266,8
850000,625.5359057057201,8
875000,667.5816054722142,8
900000,669.6550674785068,8
925000,718.7784621671124,8
950000,616.6442966199245,8
975000,734.6111351620743,8
1000000,759.2738394929845,8
0,3.7827346973412217,9
25000,3.925999846633167,9
50000,4.136086421299511,9
75000,3.658646678696384,9
100000,3.6585435699559783,9
125000,3.207164486767953,9
150000,4.633440622200945,9
175000,7.060857361288991,9
200000,19.92842877204402,9
225000,24.386011539857336,9
250000,150.37363926388227,9
275000,159.58137106346717,9
300000,223.56751298246832,9
325000,207.14089464339872,9
350000,265.66334743059053,9
375000,307.14607977087815,9
400000,308.67089605121936,9
425000,343.3355082308459,9
450000,329.1435778712703,9
475000,376.5997055287134,9
500000,370.4577806115997,9
525000,394.36634269518015,9
550000,418.95014535269627,9
575000,406.4157211250613,9
600000,413.2689020452445,9
625000,413.02411140371777,9
650000,463.2731025573006,9
675000,453.0077930874007,9
700000,456.627185219144,9
725000,537.6364695927299,9
750000,528.2811152779392,9
775000,557.9086348547405,9
800000,83.76608841340594,9
825000,625.5437134276802,9
850000,758.8469208253407,9
875000,792.651682908405,9
900000,762.8773151676578,9
925000,800.9216581304331,9
950000,792.4321843935675,9
975000,807.7257106632889,9
1000000,798.9595802674273,9
