step,reward,seed
0,0.0,0
25000,1.8,0
50000,1.1,0
75000,1.4,0
100000,0.8,0
125000,1.5,0
150000,0.9,0
175000,10.0,0
200000,24.7,0
225000,108.0,0
250000,200.9,0
275000,277.6,0
300000,268.5,0
325000,250.3,0
350000,335.0,0
375000,326.1,0
400000,363.9,0
425000,419.3,0
450000,423.4,0
475000,460.4,0
500000,491.3,0
525000,469.5,0
550000,506.3,0
575000,474.1,0
600000,508.6,0
625000,522.5,0
650000,486.3,0
675000,516.1,0
700000,528.4,0
725000,426.0,0
750000,530.7,0
775000,549.1,0
800000,540.5,0
825000,532.1,0
850000,558.5,0
875000,553.2,0
900000,520.2,0
925000,564.0,0
950000,579.2,0
975000,547.7,0
1000000,31.8,0
0,0.0,1
25000,1.2,1
50000,1.1,1
75000,1.7,1
100000,1.4,1
125000,1.2,1
150000,1.9,1
175000,75.9,1
200000,193.1,1
225000,227.6,1
250000,290.7,1
275000,301.8,1
300000,348.4,1
325000,379.5,1
350000,425.6,1
375000,431.7,1
400000,445.0,1
425000,521.1,1
450000,544.1,1
475000,533.6,1
500000,560.3,1
525000,570.5,1
550000,596.6,1
575000,589.5,1
600000,691.5,1
625000,777.4,1
650000,715.3,1
675000,843.9,1
700000,851.7,1
725000,582.6,1
750000,870.8,1
775000,881.4,1
800000,839.3,1
825000,791.7,1
850000,866.2,1
875000,864.5,1
900000,813.2,1
925000,869.3,1
950000,889.2,1
975000,792.8,1
1000000,878.4,1
0,0.0,2
25000,1.1,2
50000,1.1,2
75000,2.3,2
100000,1.7,2
125000,2.3,2
150000,37.5,2
175000,109.7,2
200000,92.3,2
225000,165.6,2
250000,247.0,2
275000,228.8,2
300000,233.6,2
325000,317.5,2
350000,369.5,2
375000,389.4,2
400000,394.8,2
425000,434.6,2
450000,462.0,2
475000,489.0,2
500000,484.5,2
525000,514.2,2
550000,514.1,2
575000,530.8,2
600000,544.2,2
625000,560.5,2
650000,487.0,2
675000,576.5,2
700000,576.1,2
725000,400.0,2
750000,600.5,2
775000,595.0,2
800000,630.0,2
825000,637.6,2
850000,693.8,2
875000,685.5,2
900000,661.4,2
925000,718.6,2
950000,768.3,2
975000,712.1,2
1000000,841.9,2
0,0.0,3
25000,0.9,3
50000,1.0,3
75000,1.1,3
100000,1.5,3
125000,2.0,3
150000,1.6,3
175000,1.3,3
200000,3.3,3
225000,1.5,3
250000,4.4,3
275000,0.9,3
300000,4.9,3
325000,23.5,3
350000,219.2,3
375000,238.6,3
400000,283.2,3
425000,265.9,3
450000,359.9,3
475000,406.1,3
500000,443.2,3
525000,455.4,3
550000,480.2,3
575000,487.1,3
600000,517.7,3
625000,507.1,3
650000,510.0,3
675000,486.8,3
700000,545.4,3
725000,424.9,3
750000,556.9,3
775000,574.6,3
800000,570.5,3
825000,572.2,3
850000,572.3,3
875000,594.1,3
900000,531.9,3
925000,576.0,3
950000,587.2,3
975000,575.5,3
1000000,595.9,3
0,0.0,4
25000,1.1,4
50000,0.9,4
75000,1.2,4
100000,1.1,4
125000,0.7,4
150000,1.7,4
175000,129.2,4
200000,174.2,4
225000,233.1,4
250000,190.8,4
275000,266.3,4
300000,325.6,4
325000,338.2,4
350000,399.6,4
375000,432.1,4
400000,434.9,4
425000,480.9,4
450000,494.3,4
475000,512.7,4
500000,514.7,4
525000,538.8,4
550000,565.0,4
575000,592.6,4
600000,618.4,4
625000,709.7,4
650000,618.7,4
675000,810.5,4
700000,803.8,4
725000,679.6,4
750000,817.9,4
775000,854.1,4
800000,844.3,4
825000,825.9,4
850000,876.2,4
875000,828.2,4
900000,809.2,4
925000,853.4,4
950000,858.4,4
975000,842.0,4
1000000,865.9,4
