step,reward,seed
0,0.0,0
25000,0.0,0
50000,168.8,0
75000,296.0,0
100000,869.2,0
125000,865.2,0
150000,685.2,0
175000,329.0,0
200000,828.8,0
225000,504.6,0
250000,872.8,0
275000,483.6,0
300000,320.6,0
325000,857.2,0
350000,489.2,0
375000,652.8,0
400000,640.2,0
425000,661.4,0
450000,837.0,0
475000,805.6,0
500000,723.6,0
525000,693.2,0
550000,826.8,0
575000,790.0,0
600000,782.0,0
625000,784.2,0
650000,695.2,0
675000,772.0,0
700000,735.4,0
725000,708.4,0
750000,547.0,0
775000,670.0,0
800000,838.8,0
825000,858.0,0
850000,645.2,0
875000,725.4,0
900000,804.0,0
925000,785.6,0
950000,881.0,0
975000,794.6,0
1000000,803.2,0
0,0.0,1
25000,0.0,1
50000,0.0,1
75000,0.0,1
100000,0.0,1
125000,0.0,1
150000,0.0,1
175000,0.0,1
200000,0.0,1
225000,0.0,1
250000,0.0,1
275000,0.0,1
300000,0.0,1
325000,0.0,1
350000,0.0,1
375000,0.0,1
400000,200.0,1
425000,200.0,1
450000,0.0,1
475000,0.0,1
500000,0.0,1
525000,200.0,1
550000,0.0,1
575000,12.8,1
600000,200.0,1
625000,0.0,1
650000,0.0,1
675000,0.0,1
700000,199.4,1
725000,392.6,1
750000,200.0,1
775000,0.0,1
800000,200.0,1
825000,0.0,1
850000,0.0,1
875000,200.0,1
900000,0.0,1
925000,0.0,1
950000,200.0,1
975000,0.0,1
1000000,0.0,1
0,0.0,2
25000,0.0,2
50000,750.6,2
75000,531.8,2
100000,347.6,2
125000,848.8,2
150000,824.0,2
175000,813.6,2
200000,549.6,2
225000,790.8,2
250000,647.8,2
275000,685.2,2
300000,800.0,2
325000,878.6,2
350000,623.2,2
375000,698.2,2
400000,863.0,2
425000,669.8,2
450000,799.0,2
475000,873.0,2
500000,871.0,2
525000,794.8,2
550000,874.8,2
575000,899.0,2
600000,745.8,2
625000,897.8,2
650000,909.8,2
675000,832.8,2
700000,898.6,2
725000,857.6,2
750000,870.4,2
775000,833.4,2
800000,933.2,2
825000,904.6,2
850000,876.6,2
875000,901.2,2
900000,770.0,2
925000,788.6,2
950000,861.6,2
975000,787.2,2
1000000,918.2,2
0,0.0,3
25000,0.0,3
50000,0.0,3
75000,195.6,3
100000,0.0,3
125000,400.0,3
150000,0.0,3
175000,0.0,3
200000,0.0,3
225000,0.0,3
250000,0.0,3
275000,0.0,3
300000,0.0,3
325000,0.0,3
350000,193.0,3
375000,200.0,3
400000,0.0,3
425000,0.0,3
450000,0.0,3
475000,0.0,3
500000,0.0,3
525000,198.8,3
550000,197.4,3
575000,0.0,3
600000,0.0,3
625000,0.0,3
650000,0.0,3
675000,0.0,3
700000,0.0,3
725000,0.0,3
750000,200.0,3
775000,0.0,3
800000,200.0,3
825000,0.0,3
850000,0.0,3
875000,200.0,3
900000,0.0,3
925000,0.0,3
950000,0.0,3
975000,0.0,3
1000000,0.0,3
0,0.0,4
25000,0.0,4
50000,0.0,4
75000,3.4,4
100000,0.0,4
125000,0.0,4
150000,11.8,4
175000,0.0,4
200000,0.0,4
225000,0.0,4
250000,358.4,4
275000,338.2,4
300000,176.8,4
325000,55.8,4
350000,574.8,4
375000,913.2,4
400000,739.6,4
425000,911.4,4
450000,533.2,4
475000,500.0,4
500000,909.6,4
525000,346.4,4
550000,754.8,4
575000,680.8,4
600000,544.4,4
625000,808.4,4
650000,637.2,4
675000,0.0,4
700000,913.8,4
725000,471.4,4
750000,784.6,4
775000,735.2,4
800000,540.2,4
825000,922.2,4
850000,850.6,4
875000,495.0,4
900000,844.0,4
925000,706.0,4
950000,857.0,4
975000,697.0,4
1000000,825.2,4
0,0.0,5
25000,0.0,5
50000,18.6,5
75000,32.6,5
100000,673.4,5
125000,323.2,5
150000,725.6,5
175000,693.8,5
200000,861.6,5
225000,847.4,5
250000,737.2,5
275000,861.0,5
300000,894.8,5
325000,766.4,5
350000,851.2,5
375000,827.4,5
400000,947.4,5
425000,825.8,5
450000,828.4,5
475000,937.4,5
500000,860.8,5
525000,827.6,5
550000,853.2,5
575000,835.6,5
600000,818.8,5
625000,775.6,5
650000,846.0,5
675000,831.2,5
700000,909.6,5
725000,833.2,5
750000,790.8,5
775000,858.4,5
800000,910.4,5
825000,855.6,5
850000,879.8,5
875000,809.2,5
900000,823.6,5
925000,762.4,5
950000,781.6,5
975000,825.0,5
1000000,819.2,5
0,0.0,6
25000,0.0,6
50000,737.4,6
75000,692.4,6
100000,898.4,6
125000,775.8,6
150000,927.4,6
175000,819.8,6
200000,849.0,6
225000,803.8,6
250000,829.4,6
275000,802.8,6
300000,891.0,6
325000,626.6,6
350000,699.8,6
375000,839.8,6
400000,838.0,6
425000,922.0,6
450000,817.2,6
475000,763.0,6
500000,836.4,6
525000,846.0,6
550000,782.4,6
575000,867.4,6
600000,747.0,6
625000,811.4,6
650000,840.2,6
675000,812.4,6
700000,907.8,6
725000,878.0,6
750000,822.8,6
775000,920.6,6
800000,848.4,6
825000,855.0,6
850000,851.8,6
875000,718.0,6
900000,859.6,6
925000,876.2,6
950000,860.4,6
975000,601.8,6
1000000,854.0,6
0,0.0,7
25000,0.0,7
50000,0.0,7
75000,200.0,7
100000,0.0,7
125000,0.0,7
150000,0.0,7
175000,0.0,7
200000,0.0,7
225000,200.0,7
250000,0.0,7
275000,0.0,7
300000,0.0,7
325000,0.0,7
350000,199.4,7
375000,0.0,7
400000,195.2,7
425000,0.0,7
450000,0.0,7
475000,200.0,7
500000,200.0,7
525000,0.0,7
550000,0.0,7
575000,0.0,7
600000,200.0,7
625000,0.0,7
650000,0.0,7
675000,0.0,7
700000,0.0,7
725000,200.0,7
750000,0.0,7
775000,0.0,7
800000,0.0,7
825000,0.0,7
850000,13.8,7
875000,0.0,7
900000,0.0,7
925000,376.2,7
950000,349.4,7
975000,729.2,7
1000000,369.2,7
0,0.0,8
25000,13.6,8
50000,662.6,8
75000,498.0,8
100000,843.8,8
125000,889.8,8
150000,339.0,8
175000,514.2,8
200000,881.4,8
225000,629.4,8
250000,643.8,8
275000,873.8,8
300000,839.4,8
325000,678.4,8
350000,824.8,8
375000,653.4,8
400000,469.8,8
425000,667.2,8
450000,823.8,8
475000,918.0,8
500000,886.8,8
525000,830.8,8
550000,511.0,8
