step,reward,seed
0,0.0,0
25000,45.9,0
50000,787.9,0
75000,643.4,0
100000,804.0,0
125000,475.1,0
150000,818.2,0
175000,840.9,0
200000,771.8,0
225000,794.2,0
250000,703.8,0
275000,871.6,0
300000,834.7,0
325000,767.7,0
350000,893.9,0
375000,880.6,0
400000,834.0,0
425000,677.6,0
450000,741.4,0
475000,750.9,0
500000,828.9,0
525000,812.6,0
550000,859.4,0
575000,840.5,0
600000,798.7,0
625000,809.5,0
650000,849.3,0
675000,841.9,0
700000,862.1,0
725000,655.5,0
750000,879.3,0
775000,849.9,0
800000,790.5,0
825000,844.4,0
850000,826.6,0
875000,824.8,0
900000,788.7,0
925000,851.9,0
950000,857.7,0
975000,862.9,0
1000000,739.5,0
0,0.0,1
25000,81.4,1
50000,83.6,1
75000,544.8,1
100000,593.2,1
125000,444.4,1
150000,754.4,1
175000,593.3,1
200000,771.7,1
225000,880.3,1
250000,661.9,1
275000,755.4,1
300000,858.2,1
325000,732.8,1
350000,798.6,1
375000,808.5,1
400000,849.0,1
425000,711.9,1
450000,793.2,1
475000,868.3,1
500000,790.4,1
525000,832.2,1
550000,858.8,1
575000,756.5,1
600000,856.2,1
625000,840.8,1
650000,788.4,1
675000,747.9,1
700000,800.6,1
725000,749.3,1
750000,813.3,1
775000,847.7,1
800000,863.5,1
825000,638.0,1
850000,880.2,1
875000,741.8,1
900000,758.7,1
925000,848.9,1
950000,821.0,1
975000,824.9,1
1000000,779.6,1
0,0.0,2
25000,0.0,2
50000,100.0,2
75000,321.0,2
100000,850.4,2
125000,865.6,2
150000,810.6,2
175000,638.0,2
200000,619.7,2
225000,808.1,2
250000,671.7,2
275000,824.3,2
300000,804.4,2
325000,655.6,2
350000,867.6,2
375000,882.4,2
400000,865.5,2
425000,843.5,2
450000,833.4,2
475000,786.3,2
500000,891.7,2
525000,847.8,2
550000,849.2,2
575000,838.9,2
600000,885.2,2
625000,834.3,2
650000,817.9,2
675000,848.8,2
700000,798.3,2
725000,872.8,2
750000,765.4,2
775000,826.3,2
800000,819.2,2
825000,836.0,2
850000,877.4,2
875000,829.5,2
900000,782.1,2
925000,889.8,2
950000,845.0,2
975000,807.4,2
1000000,796.4,2
0,0.0,3
25000,763.0,3
50000,812.9,3
75000,857.7,3
100000,570.2,3
125000,783.7,3
150000,806.2,3
175000,648.6,3
200000,651.9,3
225000,787.9,3
250000,626.8,3
275000,843.5,3
300000,829.5,3
325000,675.8,3
350000,813.5,3
375000,825.8,3
400000,810.2,3
425000,827.1,3
450000,849.2,3
475000,849.7,3
500000,919.7,3
525000,857.4,3
550000,842.6,3
575000,813.9,3
600000,834.8,3
625000,850.2,3
650000,798.5,3
675000,852.0,3
700000,817.1,3
725000,823.7,3
750000,860.0,3
775000,895.0,3
800000,839.3,3
825000,831.6,3
850000,858.0,3
875000,837.2,3
900000,838.4,3
925000,868.8,3
950000,821.4,3
975000,872.4,3
1000000,828.5,3
0,0.0,4
25000,48.5,4
50000,75.2,4
75000,249.9,4
100000,744.6,4
125000,854.9,4
150000,442.5,4
175000,679.8,4
200000,871.9,4
225000,771.2,4
250000,685.1,4
275000,856.4,4
300000,839.0,4
325000,725.2,4
350000,865.4,4
375000,798.3,4
400000,846.5,4
425000,836.6,4
450000,645.4,4
475000,844.8,4
500000,927.6,4
525000,852.1,4
550000,814.4,4
575000,878.1,4
600000,854.4,4
625000,823.4,4
650000,802.6,4
675000,847.9,4
700000,782.5,4
725000,805.4,4
750000,785.5,4
775000,822.2,4
800000,829.3,4
825000,615.2,4
850000,813.3,4
875000,851.3,4
900000,830.5,4
925000,826.3,4
950000,867.8,4
975000,780.9,4
1000000,762.9,4
