step,reward,seed
0,0.0,0
25000,58.4,0
50000,499.8,0
75000,469.6,0
100000,899.4,0
125000,892.2,0
150000,707.0,0
175000,345.2,0
200000,847.6,0
225000,667.6,0
250000,904.0,0
275000,501.2,0
300000,629.8,0
325000,881.8,0
350000,645.8,0
375000,669.4,0
400000,809.2,0
425000,838.4,0
450000,874.4,0
475000,855.6,0
500000,731.2,0
525000,711.6,0
550000,842.6,0
575000,679.8,0
600000,808.8,0
625000,798.2,0
650000,702.8,0
675000,679.6,0
700000,744.2,0
725000,724.8,0
750000,805.6,0
775000,669.4,0
800000,854.8,0
825000,894.8,0
850000,678.6,0
875000,735.6,0
900000,681.2,0
925000,800.0,0
950000,892.8,0
975000,803.0,0
1000000,807.8,0
0,0.0,1
25000,0.0,1
50000,0.0,1
75000,30.0,1
100000,22.2,1
125000,373.2,1
150000,185.4,1
175000,535.0,1
200000,198.2,1
225000,540.0,1
250000,504.8,1
275000,864.8,1
300000,894.0,1
325000,505.0,1
350000,692.4,1
375000,860.2,1
400000,200.0,1
425000,376.8,1
450000,522.2,1
475000,158.8,1
500000,719.2,1
525000,528.4,1
550000,490.0,1
575000,501.8,1
600000,741.4,1
625000,336.8,1
650000,531.4,1
675000,334.8,1
700000,704.0,1
725000,579.6,1
750000,367.8,1
775000,187.6,1
800000,378.2,1
825000,188.0,1
850000,355.4,1
875000,555.8,1
900000,721.4,1
925000,355.4,1
950000,726.6,1
975000,521.8,1
1000000,168.8,1
0,0.0,2
25000,192.4,2
50000,930.4,2
75000,533.0,2
100000,348.2,2
125000,696.8,2
150000,823.4,2
175000,670.0,2
200000,550.6,2
225000,639.8,2
250000,357.6,2
275000,686.6,2
300000,653.0,2
325000,732.2,2
350000,330.4,2
375000,698.0,2
400000,724.2,2
425000,669.4,2
450000,660.8,2
475000,736.0,2
500000,733.2,2
525000,528.0,2
550000,874.2,2
575000,900.4,2
600000,475.2,2
625000,898.6,2
650000,909.4,2
675000,698.8,2
700000,899.0,2
725000,720.2,2
750000,743.2,2
775000,833.0,2
800000,933.6,2
825000,906.0,2
850000,736.8,2
875000,902.2,2
900000,510.4,2
925000,656.4,2
950000,726.4,2
975000,361.2,2
1000000,919.2,2
0,0.0,3
25000,11.2,3
50000,25.8,3
75000,47.8,3
100000,44.6,3
125000,28.6,3
150000,11.0,3
175000,553.6,3
200000,711.0,3
225000,693.2,3
250000,169.0,3
275000,505.6,3
300000,533.4,3
325000,888.8,3
350000,532.6,3
375000,530.8,3
400000,509.8,3
425000,527.2,3
450000,506.4,3
475000,705.6,3
500000,695.0,3
525000,753.2,3
550000,554.0,3
575000,188.2,3
600000,862.8,3
625000,699.2,3
650000,529.0,3
675000,706.6,3
700000,733.2,3
725000,700.2,3
750000,918.0,3
775000,663.4,3
800000,934.2,3
825000,707.4,3
850000,518.2,3
875000,744.4,3
900000,682.6,3
925000,375.0,3
950000,534.4,3
975000,188.2,3
1000000,683.6,3
0,0.0,4
25000,0.0,4
50000,20.6,4
75000,387.6,4
100000,711.4,4
125000,532.2,4
150000,722.8,4
175000,535.2,4
200000,329.8,4
225000,169.2,4
250000,679.0,4
275000,499.6,4
300000,640.4,4
325000,694.4,4
350000,733.6,4
375000,914.0,4
400000,740.6,4
425000,912.8,4
450000,688.0,4
475000,509.2,4
500000,910.4,4
525000,353.8,4
550000,753.2,4
575000,678.8,4
600000,543.0,4
625000,809.6,4
650000,647.2,4
675000,0.0,4
700000,916.8,4
725000,476.6,4
750000,785.8,4
775000,735.2,4
800000,541.4,4
825000,922.2,4
850000,852.6,4
875000,357.8,4
900000,696.8,4
925000,707.8,4
950000,708.8,4
975000,698.2,4
1000000,825.6,4
0,0.0,5
25000,0.0,5
50000,0.0,5
75000,0.0,5
100000,0.0,5
125000,0.0,5
150000,11.2,5
175000,0.0,5
200000,197.6,5
225000,0.0,5
250000,396.8,5
275000,197.0,5
300000,0.0,5
325000,0.0,5
350000,0.0,5
375000,200.0,5
400000,395.0,5
425000,200.0,5
450000,0.0,5
475000,197.6,5
500000,199.0,5
525000,0.0,5
550000,0.0,5
575000,0.0,5
600000,200.0,5
625000,0.0,5
650000,0.0,5
675000,200.0,5
700000,400.0,5
725000,197.2,5
750000,0.0,5
775000,0.0,5
800000,0.0,5
825000,0.0,5
850000,0.0,5
875000,0.0,5
900000,0.0,5
925000,0.0,5
950000,0.0,5
975000,200.0,5
1000000,0.0,5
0,0.0,6
25000,28.2,6
50000,44.8,6
75000,22.0,6
100000,43.2,6
125000,10.8,6
150000,925.8,6
175000,527.6,6
200000,849.6,6
225000,518.8,6
250000,532.6,6
275000,528.2,6
300000,743.8,6
325000,342.6,6
350000,695.4,6
375000,839.8,6
400000,830.4,6
425000,912.8,6
450000,553.4,6
475000,493.8,6
500000,706.2,6
525000,706.2,6
550000,653.2,6
575000,870.6,6
600000,469.4,6
625000,541.6,6
650000,710.6,6
675000,811.4,6
700000,907.4,6
725000,876.4,6
750000,691.2,6
775000,921.0,6
800000,710.8,6
825000,716.8,6
850000,713.6,6
875000,488.4,6
900000,857.0,6
925000,877.0,6
950000,730.8,6
975000,602.4,6
1000000,723.2,6
0,0.0,7
25000,0.0,7
50000,0.0,7
75000,200.0,7
100000,0.0,7
125000,0.0,7
150000,0.0,7
175000,0.0,7
200000,0.0,7
225000,200.0,7
250000,0.0,7
275000,0.0,7
300000,0.0,7
325000,0.0,7
350000,199.4,7
375000,0.0,7
400000,195.0,7
425000,0.0,7
450000,0.0,7
475000,200.0,7
500000,200.0,7
525000,0.0,7
550000,0.0,7
575000,0.0,7
600000,200.0,7
625000,0.0,7
650000,0.0,7
675000,0.0,7
700000,0.0,7
725000,200.0,7
750000,0.0,7
775000,0.0,7
800000,0.0,7
825000,0.0,7
850000,0.0,7
875000,0.0,7
900000,0.0,7
925000,0.0,7
950000,0.0,7
975000,0.0,7
1000000,200.0,7
0,0.0,8
25000,55.4,8
50000,45.2,8
75000,375.2,8
100000,729.4,8
125000,762.2,8
150000,338.2,8
175000,532.0,8
200000,907.0,8
225000,525.0,8
250000,513.8,8
275000,877.8,8
300000,716.4,8
325000,539.8,8
350000,554.0,8
375000,686.6,8
400000,340.8,8
425000,673.4,8
450000,840.2,8
475000,928.0,8
500000,755.4,8
525000,574.4,8
550000,508.8,8
575000,942.6,8
600000,646.6,8
625000,530.2,8
650000,629.0,8
675000,873.6,8
700000,895.8,8
725000,894.6,8
750000,507.2,8
775000,525.8,8
800000,314.6,8
825000,880.4,8
850000,850.4,8
875000,717.0,8
900000,721.2,8
925000,881.6,8
950000,477.2,8
975000,632.0,8
1000000,525.4,8
0,0.0,9
25000,0.0,9
50000,211.0,9
75000,186.8,9
100000,198.2,9
125000,675.0,9
150000,526.6,9
175000,727.2,9
200000,186.4,9
225000,327.8,9
250000,534.6,9
275000,178.4,9
300000,671.6,9
325000,526.6,9
350000,526.0,9
375000,522.6,9
400000,956.4,9
425000,151.8,9
450000,537.8,9
475000,722.0,9
500000,560.8,9
525000,340.0,9
550000,515.6,9
575000,677.0,9
600000,480.2,9
625000,564.8,9
650000,499.0,9
675000,714.4,9
700000,348.8,9
725000,925.8,9
750000,545.2,9
775000,517.6,9
800000,554.6,9
825000,400.0,9
850000,378.8,9
875000,541.8,9
900000,526.6,9
925000,899.2,9
950000,680.2,9
975000,330.4,9
1000000,540.2,9
