step,reward,seed
1,150.44461604252473,0
25000,151.38456732653805,0
50000,23.44220875601592,0
75000,530.843439542409,0
100000,491.11049466189104,0
125000,483.84671534577575,0
150000,439.002691950639,0
175000,562.2654521873403,0
200000,544.9467633936198,0
225000,613.8403565969726,0
250000,583.9600656191571,0
275000,587.5430362852061,0
300000,614.8019768316742,0
325000,556.5221522546574,0
350000,608.9189919577678,0
375000,632.2874496637269,0
400000,623.4493145668763,0
425000,621.1696138689562,0
450000,605.089854661491,0
475000,605.1377316200873,0
500000,627.3923628379125,0
525000,654.3219983816613,0
550000,609.9994348168354,0
575000,615.6142300595704,0
600000,610.1318901235979,0
625000,628.1498586992636,0
650000,609.9289101986011,0
675000,648.7274684944921,0
700000,622.5660116538514,0
725000,628.7427769494343,0
750000,632.6920071907196,0
775000,620.9596321907942,0
800000,632.5410206747925,0
825000,638.4391753804532,0
850000,642.7593794571615,0
875000,626.835054472111,0
900000,631.9495112416773,0
925000,635.9230270269435,0
950000,637.7005789799477,0
975000,644.5341169737942,0
1000000,630.0379639776991,0
1,50.99467663521646,1
25000,41.1300459973378,1
50000,53.90744525218433,1
75000,219.9195145817328,1
100000,310.88854939147893,1
125000,262.5402587980012,1
150000,266.44051105310825,1
175000,438.39216070658586,1
200000,470.188811239706,1
225000,480.7569889429491,1
250000,475.9136685598976,1
275000,492.0345095960016,1
300000,428.49355412583975,1
325000,446.5701354459259,1
350000,471.6245749615773,1
375000,435.384388832001,1
400000,503.80478035206033,1
425000,484.4561435026386,1
450000,509.2504401457496,1
475000,490.5672866289591,1
500000,460.9946630561375,1
525000,493.7826209741351,1
550000,517.1921680838359,1
575000,481.11064519218144,1
600000,482.3721864004968,1
625000,505.93325889589033,1
650000,484.3229206806318,1
675000,453.0989251612424,1
700000,519.7626320978682,1
725000,501.601823751381,1
750000,531.9871144043515,1
775000,502.3947626832378,1
800000,524.2085182031988,1
825000,500.1114746882205,1
850000,456.2569204709522,1
875000,518.5745119689964,1
900000,503.8770315240631,1
925000,549.982172868623,1
950000,501.0467931954328,1
975000,492.0164534345968,1
1000000,495.8993693946428,1
1,121.1801624311076,2
25000,199.5307921740008,2
50000,19.58884287002329,2
75000,70.656545079842,2
100000,128.20565596650357,2
125000,249.43935500600784,2
150000,264.28520499237294,2
175000,252.50602287912844,2
200000,283.65709514563133,2
225000,434.9371491215883,2
250000,488.0473477818894,2
275000,477.2332519352429,2
300000,429.82104688115214,2
325000,520.7208888162146,2
350000,461.8992251627264,2
375000,497.4582259827992,2
400000,500.65653764298406,2
425000,524.8603291035557,2
450000,541.6551135280424,2
475000,558.312049530726,2
500000,542.1721205196343,2
525000,560.5749891360232,2
550000,570.4900373204943,2
575000,585.3265020732593,2
600000,598.9377085098413,2
625000,572.9568402070942,2
650000,612.9123940790538,2
675000,626.2166954306886,2
700000,588.0298410610849,2
725000,637.8083638101555,2
750000,629.319423635368,2
775000,628.9548799698008,2
800000,640.0697533932791,2
825000,623.3545242365275,2
850000,633.5162167873495,2
875000,613.4378591126297,2
900000,658.4941903852166,2
925000,627.3334085898241,2
950000,594.3306967380413,2
975000,635.8022427754986,2
1000000,629.0412469260016,2
