step,reward,seed
0,0.0,0
25000,448.4542453549417,0
50000,623.9171920678391,0
75000,721.650862666645,0
100000,759.9448431925468,0
125000,810.533189854659,0
150000,873.8593348050435,0
175000,863.4804259691239,0
200000,892.8248962398824,0
225000,888.8521560565047,0
250000,917.147188142889,0
275000,864.5611708001561,0
300000,918.328902717125,0
325000,921.4294051233999,0
350000,905.5233485201401,0
375000,920.8814235487189,0
400000,930.5861152228978,0
425000,930.5561468272751,0
450000,964.874230098143,0
475000,926.2784127558405,0
500000,925.5341767779516,0
525000,905.1550318835218,0
550000,921.4622408734579,0
575000,917.4986562653141,0
600000,953.0237576705586,0
625000,941.8015572996304,0
650000,912.1753690727068,0
675000,937.2626691640744,0
700000,944.2728375677804,0
725000,949.4108042113369,0
750000,939.602684313855,0
775000,844.1981454093711,0
800000,917.566421239157,0
825000,932.5700939777893,0
850000,944.9063472237449,0
875000,927.7423444484211,0
900000,932.0916608504313,0
925000,938.7205721342731,0
950000,908.6265062081708,0
975000,950.9824958525733,0
1000000,937.6047642221677,0
0,0.0,1
25000,262.2941670288032,1
50000,569.694069472038,1
75000,670.8902961936167,1
100000,757.4507059710979,1
125000,732.5331521865222,1
150000,756.8515783746395,1
175000,759.4060005571355,1
200000,819.1990479517368,1
225000,797.2684341367474,1
250000,820.161354275839,1
275000,745.7168124695335,1
300000,819.5277933181831,1
325000,845.8075608515671,1
350000,826.1241778566055,1
375000,804.9563116694234,1
400000,850.6060836931445,1
425000,854.4005997374527,1
450000,858.1548127112513,1
475000,848.1492484860628,1
500000,852.9911258776898,1
525000,808.4304305190705,1
550000,860.1822512538902,1
575000,861.0817695119797,1
600000,867.382996506527,1
625000,866.3149890399702,1
650000,863.70912098244,1
675000,880.0991653872221,1
700000,877.5114417254541,1
725000,860.2024864202679,1
750000,892.6587055225567,1
775000,812.4243457432198,1
800000,864.2217660047347,1
825000,868.6173733464078,1
850000,881.1687106862388,1
875000,869.9264397550021,1
900000,870.6953111022312,1
925000,882.8686067373386,1
950000,871.6528901442047,1
975000,864.3594333128973,1
1000000,888.2374654142357,1
0,0.0,2
25000,162.07778092516443,2
50000,673.8391510639437,2
75000,728.6882711096928,2
100000,730.7402111204698,2
125000,775.2675159247135,2
150000,795.2796199733947,2
175000,802.9761026763026,2
200000,814.9774421916838,2
225000,816.8846353715435,2
250000,788.4555739477764,2
275000,802.4315534350577,2
300000,828.5915290761574,2
325000,836.7800739348904,2
350000,853.711391525004,2
375000,843.6540077294754,2
400000,847.1137957549314,2
425000,853.5629559738485,2
450000,859.5818938211047,2
475000,876.1601324079207,2
500000,870.0052523894835,2
525000,842.4136719528445,2
550000,837.0056304091506,2
575000,865.0987667575957,2
600000,895.5736439388202,2
625000,863.2059958963249,2
650000,890.60683718427,2
675000,899.2483069648997,2
700000,892.690132674021,2
725000,875.6192851341096,2
750000,889.4842413497557,2
775000,855.0635312019218,2
800000,886.8317905074325,2
825000,867.923539703155,2
850000,893.3197426497873,2
875000,889.8559139605999,2
900000,888.4800628229434,2
925000,895.8612818557569,2
950000,899.957173132863,2
975000,891.1382019256176,2
1000000,890.7845343573936,2
0,0.0,3
25000,534.3144230552505,3
50000,651.188706661205,3
75000,710.9566166515255,3
100000,754.3298639256276,3
125000,702.4753895566397,3
150000,788.3716566562733,3
175000,813.5265534573139,3
200000,838.5166621098833,3
225000,870.4212717259122,3
250000,864.1286850443788,3
275000,838.1985228530355,3
300000,848.3110291397974,3
325000,731.3935902124882,3
350000,852.8831456816021,3
375000,865.5832875638158,3
400000,864.3053997653662,3
425000,851.9714902716763,3
450000,867.2868084547074,3
475000,877.8014888893091,3
500000,879.1210910905618,3
525000,816.4620796037109,3
550000,859.579630801151,3
575000,868.7380662486763,3
600000,877.8401850365099,3
625000,842.3832147545957,3
650000,888.5197019208157,3
675000,878.5489240091532,3
700000,881.1795690568364,3
725000,888.8576849442079,3
750000,897.1586375566649,3
775000,834.5120204239214,3
