step,reward,seed
0,0.0,0
25000,154.2,0
50000,56.8,0
75000,111.1,0
100000,148.3,0
125000,168.6,0
150000,170.3,0
175000,475.9,0
200000,528.7,0
225000,603.0,0
250000,648.4,0
275000,678.2,0
300000,779.9,0
325000,623.1,0
350000,774.5,0
375000,826.1,0
400000,776.1,0
425000,830.3,0
450000,840.3,0
475000,860.7,0
500000,864.6,0
525000,904.6,0
550000,907.5,0
575000,909.8,0
600000,934.3,0
625000,917.2,0
650000,888.7,0
675000,921.2,0
700000,933.9,0
725000,849.1,0
750000,934.3,0
775000,930.3,0
800000,924.1,0
825000,935.7,0
850000,932.1,0
875000,928.3,0
900000,916.2,0
925000,949.7,0
950000,948.5,0
975000,933.5,0
1000000,940.1,0
0,0.0,1
25000,106.4,1
50000,6.6,1
75000,128.8,1
100000,140.3,1
125000,203.8,1
150000,216.3,1
175000,521.0,1
200000,544.6,1
225000,681.4,1
250000,664.0,1
275000,737.3,1
300000,769.1,1
325000,733.0,1
350000,887.8,1
375000,879.4,1
400000,885.5,1
425000,832.2,1
450000,884.3,1
475000,937.2,1
500000,908.2,1
525000,904.1,1
550000,927.1,1
575000,857.2,1
600000,910.7,1
625000,936.3,1
650000,887.7,1
675000,940.3,1
700000,894.4,1
725000,845.5,1
750000,951.0,1
775000,932.3,1
800000,946.4,1
825000,935.5,1
850000,928.8,1
875000,937.3,1
900000,939.7,1
925000,932.6,1
950000,936.0,1
975000,911.5,1
1000000,943.2,1
0,0.0,2
25000,59.9,2
50000,105.7,2
75000,61.2,2
100000,158.2,2
125000,256.2,2
150000,232.6,2
175000,516.0,2
200000,627.8,2
225000,629.8,2
250000,666.1,2
275000,614.0,2
300000,689.7,2
325000,710.1,2
350000,762.5,2
375000,781.6,2
400000,805.5,2
425000,842.2,2
450000,807.0,2
475000,865.5,2
500000,860.9,2
525000,869.1,2
550000,873.3,2
575000,854.6,2
600000,862.0,2
625000,858.8,2
650000,835.6,2
675000,874.7,2
700000,885.9,2
725000,777.6,2
750000,889.4,2
775000,904.2,2
800000,887.1,2
825000,882.7,2
850000,876.1,2
875000,896.8,2
900000,898.1,2
925000,896.7,2
950000,901.5,2
975000,860.6,2
1000000,884.7,2
0,0.0,3
25000,203.5,3
50000,159.1,3
75000,196.5,3
100000,158.3,3
125000,158.5,3
150000,188.1,3
175000,457.9,3
200000,547.2,3
225000,586.3,3
250000,692.2,3
275000,701.0,3
300000,776.3,3
325000,782.6,3
350000,795.3,3
375000,715.9,3
400000,801.6,3
425000,794.5,3
450000,789.7,3
475000,761.8,3
500000,793.5,3
525000,811.6,3
550000,813.7,3
575000,838.7,3
600000,824.5,3
625000,840.1,3
650000,801.2,3
675000,846.8,3
700000,827.3,3
725000,784.6,3
750000,846.7,3
775000,832.0,3
800000,868.2,3
825000,890.7,3
850000,880.2,3
875000,884.2,3
900000,892.4,3
925000,892.4,3
950000,901.7,3
975000,863.3,3
1000000,889.9,3
0,0.0,4
25000,101.8,4
50000,49.8,4
75000,144.5,4
100000,234.5,4
125000,176.3,4
150000,259.3,4
175000,311.4,4
200000,605.8,4
225000,608.6,4
250000,591.1,4
275000,678.8,4
300000,700.0,4
325000,664.7,4
350000,796.5,4
375000,769.5,4
400000,783.8,4
425000,824.3,4
450000,796.9,4
475000,842.3,4
500000,798.7,4
525000,819.3,4
550000,826.4,4
575000,817.4,4
600000,849.0,4
625000,822.7,4
650000,831.0,4
675000,860.9,4
700000,868.6,4
725000,802.3,4
750000,858.7,4
775000,862.4,4
800000,859.6,4
825000,862.7,4
850000,775.9,4
875000,853.8,4
900000,821.2,4
925000,864.0,4
950000,835.7,4
975000,807.7,4
1000000,868.3,4
