step,reward,seed
0,253.0529834112844,0
25000,253.0529834112844,0
50000,65.39667258182821,0
75000,177.52763539327856,0
100000,249.3107871478615,0
125000,262.8074637039801,0
150000,310.0729262353504,0
175000,248.35533771852675,0
200000,269.5277981509081,0
225000,303.88800532940934,0
250000,324.7285759258957,0
275000,353.53238510646264,0
300000,332.2141791826656,0
325000,293.12050759135246,0
350000,281.18475996163914,0
375000,276.776103318172,0
400000,371.13173972700827,0
425000,328.63972178841703,0
450000,378.24904788165486,0
475000,342.98881516042286,0
500000,292.9714244828812,0
525000,394.975478188928,0
550000,325.7032630702808,0
575000,401.8962909357015,0
600000,403.22471919483695,0
625000,406.253373647681,0
650000,347.72112727776704,0
675000,423.6564302095175,0
700000,391.1898320616077,0
725000,355.09710899861267,0
750000,431.14314671622185,0
775000,416.1964737473578,0
800000,438.9299443376015,0
825000,420.7494883989963,0
850000,417.60556244309794,0
875000,360.8251249576226,0
900000,336.7702588474443,0
925000,343.55680037020886,0
950000,386.6929894168722,0
975000,356.5682228299147,0
1000000,438.9299443376015,0
0,104.756157976194,1
25000,104.756157976194,1
50000,124.38043533047828,1
75000,129.81241636313396,1
100000,131.52617135817624,1
125000,215.8026047769508,1
150000,204.8586376996734,1
175000,173.82296409150115,1
200000,388.4830843483801,1
225000,354.0657214504905,1
250000,372.5138658393752,1
275000,367.64097887220976,1
300000,426.3320808392459,1
325000,424.7030571191287,1
350000,483.0736292763239,1
375000,432.5250389112092,1
400000,474.29593768875264,1
425000,345.7845855050874,1
450000,547.8191686154358,1
475000,443.8017801254838,1
500000,385.76002463102674,1
525000,494.87577373747183,1
550000,514.0005179139296,1
575000,424.7533360684527,1
600000,398.05069934238793,1
625000,393.8191086498409,1
650000,479.3828647062008,1
675000,577.252100598576,1
700000,481.8869128964043,1
725000,476.2190368491036,1
750000,541.0414749454008,1
775000,475.9616034390982,1
800000,476.28987942009536,1
825000,523.8455463809418,1
850000,516.7359474834773,1
875000,520.0733412999373,1
900000,547.4424475120611,1
925000,478.1699126670819,1
950000,480.90617316666976,1
975000,539.8330637727915,1
1000000,577.252100598576,1
0,253.9225702410393,2
25000,253.9225702410393,2
50000,187.01544746412492,2
75000,299.1725180767813,2
100000,299.90937236326187,2
125000,305.44132787175715,2
150000,387.8019567293428,2
175000,320.32878301167625,2
200000,279.10488147555964,2
225000,440.2610719849181,2
250000,483.96044366628576,2
275000,444.8801610350064,2
300000,507.2527263703234,2
325000,512.5941214220996,2
350000,536.8299966607422,2
375000,517.6143249558869,2
400000,519.4586262722735,2
425000,568.5033791656773,2
450000,530.3223377946422,2
475000,571.2867510889175,2
500000,569.8494957306118,2
525000,580.2092214749912,2
550000,574.970228306987,2
575000,614.3366265380625,2
600000,622.6155260280443,2
625000,633.3029370461466,2
650000,630.7698692554859,2
675000,660.7423826076713,2
700000,609.0872967055915,2
725000,672.7179858312419,2
750000,712.5436080812788,2
775000,709.8261112286146,2
800000,711.3751124780274,2
825000,670.9219880843283,2
850000,683.1541924430804,2
875000,711.1223223697555,2
900000,706.494421559001,2
925000,681.1403556723642,2
950000,714.6224155596121,2
975000,700.4673981385444,2
1000000,714.6224155596121,2
0,204.39781498349652,3
25000,204.39781498349652,3
50000,40.20275723483207,3
75000,91.78453554983244,3
100000,182.48957573560008,3
125000,143.99725148253162,3
150000,202.526438992955,3
175000,142.66187552879651,3
200000,195.37576477370757,3
225000,249.1364747074735,3
250000,215.98486898256252,3
275000,206.13089378286128,3
300000,260.5909468242876,3
325000,231.37405078391384,3
350000,208.6095861291194,3
375000,273.82747707635724,3
400000,262.3064825672729,3
425000,313.9143215082805,3
450000,260.8331960960791,3
475000,310.7002522606137,3
500000,356.0622149760801,3
525000,434.0059749834236,3
550000,308.81662587681603,3
575000,303.46879624409246,3
600000,306.3467194192939,3
625000,369.2205057761372,3
650000,386.319873725233,3
675000,417.7891554056747,3
700000,407.4212465725983,3
725000,424.8319730375631,3
750000,285.35429389855784,3
775000,411.3521739217464,3
800000,416.1406544557547,3
825000,466.0607935111176,3
850000,422.76248526307256,3
875000,398.8662383676518,3
900000,446.8933307788051,3
925000,485.233931650764,3
950000,404.2330308194923,3
975000,412.5151011267645,3
1000000,485.233931650764,3
0,102.60471574087768,4
25000,102.60471574087768,4
50000,112.10512569167405,4
75000,96.14749967759886,4
100000,189.52051233662476,4
125000,193.73390452408336,4
150000,224.66812047066432,4
175000,217.84106318932936,4
200000,212.38586284654056,4
225000,158.0853097950648,4
250000,194.37111536593696,4
275000,311.297312254922,4
300000,275.1892862214879,4
325000,496.4191776773705,4
350000,545.4360927124767,4
375000,512.6618375306223,4
400000,575.2451748896159,4
425000,575.3084405669474,4
450000,578.6235869337194,4
475000,567.9507173995905,4
500000,555.0359223683769,4
525000,580.5700224054212,4
550000,641.5856051591088,4
575000,575.1102259381457,4
600000,613.4223221020832,4
625000,653.7927280698062,4
650000,660.0527215325917,4
675000,688.3483001020506,4
700000,726.4635818124715,4
725000,704.1342183799541,4
750000,750.851373072464,4
775000,748.1762146589359,4
800000,741.8783268368047,4
825000,779.3155213724158,4
850000,732.5731851024086,4
875000,776.0634485739287,4
900000,799.795357697105,4
925000,782.4452862827075,4
950000,783.7909664430302,4
975000,790.9144098621509,4
1000000,799.795357697105,4
0,53.327374304327535,5
25000,53.327374304327535,5
50000,31.713773423418637,5
75000,119.19731632145977,5
100000,102.40516305866468,5
125000,73.11443809220707,5
150000,101.78040701314067,5
175000,198.18874243396985,5
200000,159.38204893075462,5
225000,140.53532774515205,5
250000,157.38394851823418,5
275000,163.4350461115254,5
300000,201.44229505304924,5
325000,193.1496867841118,5
350000,205.80924521018784,5
375000,162.78223764303544,5
400000,160.86232371181706,5
425000,204.87859323421395,5
450000,302.2206885046504,5
475000,228.4489917964363,5
500000,347.84609640866,5
525000,451.8960457220128,5
550000,430.8442493227932,5
575000,409.4483664220991,5
600000,368.5427972678123,5
625000,252.4586172779012,5
650000,493.6511169547331,5
675000,467.4180647127947,5
700000,377.4133419556936,5
725000,637.0658082961697,5
750000,605.3077348886708,5
775000,686.6750414062813,5
800000,660.8594100384261,5
825000,660.3629297273934,5
850000,660.3354077685368,5
875000,707.0611822222781,5
900000,690.119633655794,5
925000,774.7471393845778,5
950000,733.2418595337505,5
975000,770.6193920261927,5
1000000,774.7471393845778,5
0,152.16806309196852,6
25000,152.16806309196852,6
50000,89.89337939523355,6
75000,78.74108797229874,6
100000,165.51009289291656,6
125000,123.75214842839368,6
150000,170.97865404904366,6
175000,277.2426263418228,6
200000,319.7239139508191,6
225000,212.80278563256772,6
250000,267.0963948212408,6
275000,194.59342069657868,6
300000,375.7730466489776,6
325000,337.97825383755145,6
350000,373.9837650474451,6
375000,348.4608076607052,6
400000,330.5737758319222,6
425000,387.4507568724504,6
450000,345.20788854270575,6
475000,364.5861634243768,6
500000,418.9995727418405,6
525000,378.9168500850853,6
550000,387.3258095378261,6
575000,426.2599744116909,6
600000,420.31559511954777,6
625000,440.33031532406886,6
650000,423.7759058028931,6
675000,448.3488119080547,6
700000,434.3156512913955,6
725000,454.56185730684336,6
750000,502.9417141729543,6
775000,519.1443292119596,6
800000,373.5088936222038,6
825000,450.0003419723157,6
850000,488.24142128302975,6
875000,545.0737688784891,6
900000,522.4231538552762,6
925000,575.9815950543909,6
950000,526.0709115331722,6
975000,498.21960259380194,6
1000000,575.9815950543909,6
0,255.0059182675323,7
25000,255.0059182675323,7
50000,82.56005252236984,7
75000,312.28643311181804,7
100000,351.1234474497295,7
125000,335.51295482596635,7
150000,364.3858584079777,7
175000,374.56312575438346,7
200000,398.8471145422144,7
225000,408.65702755906943,7
250000,373.5884940006932,7
275000,240.6239466719102,7
300000,375.04093398713616,7
325000,374.02115998674543,7
350000,365.3460824448416,7
375000,368.4923196649247,7
400000,408.66340995814073,7
425000,387.126623202042,7
450000,408.76035193043,7
475000,400.4794831133976,7
500000,384.1432193422107,7
525000,466.4006247733493,7
550000,426.9188021568072,7
575000,353.75858932793693,7
600000,423.0883901247979,7
625000,316.9864690273454,7
650000,397.3879361368649,7
675000,479.6558022061304,7
700000,426.8260663358874,7
725000,395.6268433086888,7
750000,380.4853913008318,7
775000,436.544640671208,7
800000,435.3709345898213,7
825000,453.7468312024959,7
850000,499.7704365004265,7
875000,480.2376995190384,7
900000,470.823058356072,7
925000,471.77607966806846,7
950000,463.1253101766182,7
975000,433.4610351120663,7
1000000,499.7704365004265,7
0,202.46865051781583,8
25000,202.46865051781583,8
50000,250.68271356511175,8
75000,313.37622100757505,8
100000,262.74855325229544,8
125000,269.9544111909533,8
150000,282.4186416841564,8
175000,186.7188155347965,8
200000,155.25171948763486,8
225000,361.4537050537522,8
250000,364.7654377461452,8
275000,339.4789556258576,8
300000,376.68270867330807,8
325000,292.84053909782176,8
350000,351.0176732342805,8
375000,386.4578042931315,8
400000,377.87874360369744,8
425000,376.7368247715121,8
450000,385.2973373096057,8
475000,429.1188427850075,8
500000,398.55684943413416,8
525000,397.0888759619369,8
550000,388.4045728409024,8
575000,406.9531710679434,8
600000,409.90449180293126,8
625000,430.0369114317019,8
650000,448.3718750100371,8
675000,461.2593597529934,8
700000,432.9864457247565,8
725000,463.0306074624692,8
750000,481.0233351821765,8
775000,482.0588624793727,8
800000,459.51618898667766,8
825000,489.7401873458306,8
850000,466.468373824234,8
875000,477.1067283852843,8
900000,456.37352782866685,8
925000,478.876012775499,8
950000,480.3081933071047,8
975000,497.6202169811005,8
1000000,497.6202169811005,8
0,152.03864366676532,9
25000,152.03864366676532,9
50000,178.3388458061752,9
75000,73.66024135570106,9
100000,163.69593827709693,9
125000,156.90996168715884,9
150000,86.56672304868948,9
175000,48.44326913734916,9
200000,78.19973411381784,9
225000,185.40664678127,9
250000,96.09027319287432,9
275000,139.5952073695019,9
300000,190.4875678138932,9
325000,188.658291417774,9
350000,213.37761850944952,9
375000,79.14052273469129,9
400000,132.39106845218694,9
425000,78.02623755220208,9
450000,217.52417951221764,9
475000,155.47274728996769,9
500000,164.18789282081696,9
525000,243.09543169310527,9
550000,280.5830955970734,9
575000,258.05603798623207,9
600000,233.875048779389,9
