step,reward,seed
0,0.0,0
25000,159.6,0
50000,400.5,0
75000,434.1,0
100000,665.9,0
125000,698.5,0
150000,715.1,0
175000,724.0,0
200000,744.6,0
225000,745.4,0
250000,761.3,0
275000,755.0,0
300000,764.0,0
325000,750.2,0
350000,783.5,0
375000,795.2,0
400000,783.2,0
425000,792.1,0
450000,807.7,0
475000,808.0,0
500000,796.9,0
525000,804.3,0
550000,811.9,0
575000,803.6,0
600000,812.7,0
625000,816.6,0
650000,790.6,0
675000,816.1,0
700000,809.5,0
725000,750.0,0
750000,823.4,0
775000,827.9,0
800000,825.5,0
825000,832.7,0
850000,829.2,0
875000,827.4,0
900000,821.3,0
925000,827.4,0
950000,831.1,0
975000,806.1,0
1000000,834.0,0
0,0.0,1
25000,143.2,1
50000,279.4,1
75000,548.2,1
100000,664.4,1
125000,698.8,1
150000,713.8,1
175000,742.9,1
200000,757.4,1
225000,754.3,1
250000,743.8,1
275000,765.2,1
300000,767.3,1
325000,707.1,1
350000,798.7,1
375000,794.8,1
400000,801.0,1
425000,789.4,1
450000,813.2,1
475000,823.9,1
500000,812.0,1
525000,848.6,1
550000,854.3,1
575000,789.8,1
600000,826.5,1
625000,849.5,1
650000,774.7,1
675000,842.9,1
700000,851.7,1
725000,696.0,1
750000,837.9,1
775000,862.0,1
800000,866.2,1
825000,838.5,1
850000,861.1,1
875000,874.1,1
900000,836.3,1
925000,869.6,1
950000,880.9,1
975000,827.5,1
1000000,860.2,1
0,0.0,2
25000,136.9,2
50000,377.4,2
75000,409.7,2
100000,475.2,2
125000,489.2,2
150000,499.9,2
175000,654.4,2
200000,737.0,2
225000,737.3,2
250000,702.7,2
275000,756.9,2
300000,760.8,2
325000,690.2,2
350000,778.6,2
375000,762.1,2
400000,786.0,2
425000,784.1,2
450000,781.2,2
475000,789.6,2
500000,704.2,2
525000,786.6,2
550000,705.6,2
575000,792.0,2
600000,806.7,2
625000,799.5,2
650000,761.8,2
675000,809.0,2
700000,795.0,2
725000,744.1,2
750000,801.8,2
775000,801.8,2
800000,799.4,2
825000,800.8,2
850000,818.0,2
875000,821.9,2
900000,794.6,2
925000,817.8,2
950000,819.6,2
975000,800.3,2
1000000,811.3,2
0,0.0,3
25000,119.3,3
50000,253.0,3
75000,599.2,3
100000,649.6,3
125000,691.9,3
150000,695.7,3
175000,702.0,3
200000,741.0,3
225000,692.4,3
250000,764.7,3
275000,781.8,3
300000,798.7,3
325000,686.1,3
350000,805.8,3
375000,814.4,3
400000,822.0,3
425000,818.2,3
450000,803.5,3
475000,802.5,3
500000,816.2,3
525000,812.7,3
550000,810.4,3
575000,803.5,3
600000,826.6,3
625000,816.0,3
650000,790.7,3
675000,823.0,3
700000,825.3,3
725000,687.9,3
750000,825.7,3
775000,824.3,3
800000,830.0,3
825000,816.4,3
850000,830.8,3
875000,830.6,3
900000,827.1,3
925000,839.0,3
950000,832.6,3
975000,793.5,3
1000000,824.0,3
0,0.0,4
25000,191.7,4
50000,504.0,4
75000,562.9,4
100000,183.6,4
125000,662.0,4
150000,686.1,4
175000,712.4,4
200000,715.2,4
225000,732.7,4
250000,727.2,4
275000,740.0,4
300000,742.2,4
325000,672.9,4
350000,757.3,4
375000,752.8,4
400000,760.6,4
425000,763.4,4
450000,764.4,4
475000,763.9,4
500000,778.1,4
525000,780.0,4
550000,783.8,4
575000,780.7,4
600000,780.2,4
625000,786.6,4
650000,778.4,4
675000,796.8,4
700000,798.4,4
725000,702.6,4
750000,805.8,4
775000,810.9,4
800000,812.7,4
825000,803.3,4
850000,805.8,4
875000,781.2,4
900000,806.6,4
925000,809.7,4
950000,814.1,4
975000,776.3,4
1000000,810.5,4
