step,reward,seed
0,0.0,0
25000,90.14996999457198,0
50000,144.4704073244365,0
75000,192.80244109672185,0
100000,243.78715585805125,0
125000,251.72178303915135,0
150000,297.88287594003026,0
175000,313.76802035684074,0
200000,363.4821232584666,0
225000,402.98535408252985,0
250000,452.0498464194208,0
275000,481.7993695489421,0
300000,504.2736555046051,0
325000,530.7273809183146,0
350000,573.380997685181,0
375000,603.6423339138111,0
400000,610.2916627843681,0
425000,614.2108019443791,0
450000,623.2561045043606,0
475000,633.6016075937484,0
500000,638.570131003514,0
525000,655.1361381080967,0
550000,671.2918502059091,0
575000,662.0745630465756,0
600000,679.973643147503,0
625000,675.3339686655045,0
650000,691.6179863248275,0
675000,694.6862353543374,0
700000,682.8428124787948,0
725000,703.6162996593654,0
750000,701.7683638924589,0
775000,708.9155897302626,0
800000,709.592405669611,0
825000,712.1092238179623,0
850000,697.9012305997946,0
875000,705.8283926169522,0
900000,721.536090820133,0
925000,716.1499399697221,0
950000,700.0674478715031,0
975000,719.8571102099462,0
1000000,711.1308105416009,0
0,0.0,1
25000,53.84953719941056,1
50000,218.55503615227363,1
75000,375.52358920108156,1
100000,509.76298175512886,1
125000,615.418171022774,1
150000,660.918912387391,1
175000,669.185841863517,1
200000,697.9789574731004,1
225000,712.695565592893,1
250000,716.0684398753612,1
275000,732.4870116858784,1
300000,724.5131917855413,1
325000,721.7090903744473,1
350000,728.7732955705848,1
375000,738.3165616362451,1
400000,731.1643350815351,1
425000,764.1203048664626,1
450000,769.5721489451597,1
475000,754.3607840217941,1
500000,726.4127374060865,1
525000,765.3496118815115,1
550000,752.5234377509365,1
575000,784.6988991746653,1
600000,783.0117711831913,1
625000,756.485628426017,1
650000,780.0642336872927,1
675000,773.5899107417589,1
700000,789.1944364408644,1
725000,783.7458355487468,1
750000,797.8021142545654,1
775000,783.6538042817097,1
800000,804.4329605395249,1
825000,804.8269155216652,1
850000,810.9154005363229,1
875000,814.3695922314193,1
900000,806.8291604099977,1
925000,810.4649207729868,1
950000,805.2974775172123,1
975000,796.8311115307231,1
1000000,818.4602742093161,1
0,0.0,2
25000,60.18305317521284,2
50000,139.133899777333,2
75000,178.82350946153923,2
100000,196.39781811381445,2
125000,210.32227767673294,2
150000,227.03952492619655,2
175000,246.54927810629042,2
200000,264.0725164695089,2
225000,276.9041077075476,2
250000,275.0007377593088,2
275000,299.09469323506266,2
300000,325.14939687399976,2
325000,321.7740688104842,2
350000,345.06781520669574,2
375000,361.8096147397255,2
400000,344.67033979077235,2
425000,374.1441907861241,2
450000,366.6570179865286,2
475000,372.62399984066013,2
500000,375.4196392185566,2
525000,382.44654858065485,2
550000,374.981150198206,2
575000,394.2277147448285,2
600000,391.28678760443756,2
625000,402.11904542274453,2
650000,399.77043643001406,2
675000,390.5277932942971,2
700000,399.2090559956599,2
725000,420.2969721325708,2
750000,423.79607976019787,2
775000,427.1185056493863,2
800000,436.67855415524457,2
825000,443.2609122729582,2
850000,443.99545141488227,2
875000,456.7227857150955,2
900000,462.1395474691573,2
925000,474.757277503283,2
950000,490.18785290414087,2
975000,491.32300150993854,2
1000000,515.1127649860944,2
0,0.0,3
25000,53.999680502881894,3
50000,149.63963213594803,3
75000,184.97208024852824,3
100000,245.76096544778585,3
125000,334.87657201774925,3
150000,373.5168625634051,3
175000,436.76099234472633,3
200000,501.45064747028607,3
225000,540.9999641846807,3
250000,562.1451584729111,3
275000,581.3002049785284,3
300000,597.0178620430186,3
325000,590.4319568748366,3
350000,593.0067135208515,3
375000,603.0931212532367,3
400000,620.1673359203385,3
425000,617.2965617064393,3
450000,615.4812987321477,3
475000,610.9656762520127,3
500000,632.0410867449116,3
525000,631.9815862588978,3
550000,643.0802304404353,3
575000,650.5264710185396,3
600000,628.136373988319,3
625000,649.5902730019673,3
650000,615.7090905916003,3
675000,650.0145021353594,3
700000,656.1737835077927,3
725000,665.1031410583654,3
750000,666.4127739530999,3
775000,668.9236364616723,3
800000,658.3832878708993,3
825000,647.1060013598424,3
850000,658.9414846149944,3
875000,681.7927577424764,3
900000,674.3638954200472,3
925000,675.0710645481838,3
950000,655.5026112301477,3
975000,676.3348890126738,3
1000000,678.8221702338217,3
0,0.0,4
25000,88.54808326941985,4
50000,333.8788894199078,4
75000,476.95581243898704,4
100000,533.6054924042134,4
125000,548.0918180129008,4
150000,567.6498590806556,4
175000,575.858145041277,4
200000,583.4178330458055,4
225000,587.8446311676807,4
250000,601.0728254199308,4
275000,590.2708365999418,4
300000,598.2918726268131,4
325000,604.4126986464969,4
350000,606.656404629694,4
375000,620.1964956962084,4
400000,623.3642997856773,4
425000,620.1119570654488,4
450000,619.2151673636596,4
475000,623.4771816317224,4
