step,reward,seed
0,987.0408572806248,0
25000,986.8537966342856,0
50000,328.62725868352027,0
75000,714.4689268832064,0
100000,597.9394877435832,0
125000,729.7430972737037,0
150000,1275.7022238722116,0
175000,932.8959030405792,0
200000,1022.5350356045416,0
225000,1634.8941932024827,0
250000,933.6260929462094,0
275000,1456.142793009553,0
300000,2739.6000443643825,0
325000,3162.6162066389106,0
350000,3463.9362070616344,0
375000,3709.61779372007,0
400000,3787.172100100464,0
425000,4151.557975349615,0
450000,4178.322547626288,0
475000,4045.7934812811,0
500000,3979.12406654329,0
525000,3540.5673135409797,0
550000,4138.636128577392,0
575000,4295.040616566633,0
600000,4499.981181920572,0
625000,4702.592373873225,0
650000,4370.5794948389175,0
675000,4727.077332013379,0
700000,4958.5307565513385,0
725000,4523.876467152673,0
750000,5010.562468491572,0
775000,5164.943249486006,0
800000,4167.727812309966,0
825000,5091.745807901941,0
850000,5145.65255318902,0
875000,5019.64379561586,0
900000,5283.848853398789,0
925000,5248.259879441607,0
950000,5346.205799563077,0
975000,5244.744391306457,0
1000000,5346.205799563077,0
0,982.1947091463036,1
25000,984.2391943102278,1
50000,339.5248554528986,1
75000,624.2695408105888,1
100000,840.5469304963497,1
125000,848.6126786197674,1
150000,697.7184343035472,1
175000,1015.8841432606872,1
200000,1122.088669080259,1
225000,1167.1890914616747,1
250000,952.9075551449262,1
275000,2385.9235985871983,1
300000,2430.496599790863,1
325000,3553.3081644267936,1
350000,4084.839412492248,1
375000,4201.253546968321,1
400000,4132.529503106644,1
425000,4388.003818565549,1
450000,4321.487512359523,1
475000,4384.149558260129,1
500000,4641.155181471612,1
525000,4371.075141238543,1
550000,4806.724938384698,1
575000,4390.919212874837,1
600000,5050.949005511369,1
625000,4915.867079560351,1
650000,4700.332450614334,1
675000,5083.41474214582,1
700000,5087.676550011669,1
725000,5139.795055983073,1
750000,5285.488157461411,1
775000,5218.931276433391,1
800000,5071.841170453908,1
825000,4789.149852742723,1
850000,5257.753213217946,1
875000,4737.7071717280105,1
900000,5268.324316281644,1
925000,5125.314008850634,1
950000,5254.634067191388,1
975000,5256.338820427825,1
1000000,5285.488157461411,1
0,969.0355944962154,2
25000,969.4634740081208,2
50000,636.5361219663762,2
75000,832.5889839355525,2
100000,864.8670183490055,2
125000,911.3682861506531,2
150000,927.7144351396812,2
175000,921.3871767283496,2
200000,924.7035021305996,2
225000,930.6100296015542,2
250000,925.4286489122233,2
275000,922.8519755478986,2
300000,983.5499847344828,2
325000,968.1532726982116,2
350000,1013.1415610236528,2
375000,1067.3801184004838,2
400000,1250.178424494388,2
425000,1334.9143729669668,2
450000,1448.9464889139736,2
475000,1713.7115236923885,2
500000,1730.0641078933088,2
525000,1932.654543536724,2
550000,1912.259904421164,2
575000,1999.1569038537025,2
600000,2026.4113978789392,2
625000,2037.651654604802,2
650000,2184.543278507751,2
675000,2011.1089655161643,2
700000,2275.6956107295628,2
725000,2292.65055965699,2
750000,2268.414282314577,2
775000,2282.5447413127786,2
800000,1882.5952954754127,2
825000,2573.6046006795,2
850000,2518.7476733315134,2
875000,2611.5930628297783,2
900000,2522.66434130988,2
925000,2625.9138845711527,2
950000,2760.156756714125,2
975000,2334.0938238015624,2
1000000,2760.156756714125,2
0,995.044722422075,3
25000,995.2430623076932,3
50000,497.27711267488274,3
75000,365.6297314988336,3
100000,774.0310796102201,3
125000,843.3501883837246,3
150000,668.0389199906973,3
175000,862.953053524466,3
200000,769.5795549962979,3
225000,992.9487519814772,3
250000,1185.0609366376905,3
275000,2092.7910266063227,3
300000,2641.620958065588,3
325000,2466.5134600676474,3
350000,3750.0694613674286,3
375000,3510.7168574835114,3
400000,4542.6893598116685,3
425000,3941.632476117708,3
450000,4831.2223550863,3
475000,4821.330619371377,3
500000,4528.023693343459,3
525000,5113.453260642227,3
550000,5067.586097823332,3
575000,5084.132978732478,3
600000,4933.57988408548,3
625000,5156.621054310268,3
650000,5195.673966079349,3
