step,reward,seed
1,721.7967252999999,0
25000,-542.6265774000001,0
50000,21.1770364,0
75000,437.6701958,0
100000,751.7138567,0
125000,690.4110550000001,0
150000,725.1918353,0
175000,630.9621726,0
200000,821.8527382,0
225000,884.8625656,0
250000,851.5398323,0
275000,954.14222,0
300000,867.4052649000001,0
325000,979.5238523,0
350000,975.1642296,0
375000,781.3097122,0
400000,980.8928623,0
425000,870.8504170999998,0
450000,970.9380843,0
475000,859.7878545,0
500000,988.1241967999998,0
525000,884.0446334000001,0
550000,977.806608,0
575000,976.2843055,0
600000,991.8370604999998,0
625000,903.5830105,0
650000,891.7291051999998,0
675000,798.7042696,0
700000,986.1850738,0
725000,940.1821298,0
750000,992.0683441,0
775000,969.3442333,0
800000,972.4238652,0
825000,1002.2723786000004,0
850000,983.6673693,0
875000,997.5849708000002,0
900000,994.259951,0
925000,922.7581242,0
950000,1007.1263624,0
975000,898.5426321000001,0
1000000,1022.8621154,0
1,-111.3767081,1
25000,426.18221740000007,1
50000,216.52419730000005,1
75000,3012.6278926000005,1
100000,3126.2794488,1
125000,5217.2883317,1
150000,4652.5817362,1
175000,5306.358278999999,1
200000,5829.7628891,1
225000,5786.3320554,1
250000,5994.0444104,1
275000,5928.7867735,1
300000,6054.1379168,1
325000,5099.413112799999,1
350000,6278.311591,1
375000,6391.3763637,1
400000,6416.0607835,1
425000,6476.318866500001,1
450000,6509.2365291,1
475000,6553.0079901,1
500000,6493.1820362,1
525000,6627.3415229,1
550000,6570.633363999999,1
575000,6684.113234400002,1
600000,6704.1944478000005,1
625000,6630.7830669,1
650000,6709.070247799999,1
675000,6349.3729932,1
700000,6762.916721,1
725000,6824.394682499999,1
750000,6763.5247303,1
775000,6791.0502794,1
800000,6838.5047127,1
825000,6837.4275803,1
850000,6886.259169800001,1
875000,6856.78302,1
900000,6944.4006796,1
925000,6900.0109048,1
950000,6852.601028800001,1
975000,6949.682466700001,1
1000000,6970.3535038,1
1,37.7372135,2
25000,523.7400547,2
50000,1140.5243944,2
75000,880.4784686,2
100000,3008.7102804,2
125000,3791.9474229,2
150000,4893.7170658000005,2
175000,4813.9661349,2
200000,5284.3525422,2
225000,5015.8057073,2
250000,5727.965700899999,2
275000,4198.2590212,2
300000,5951.5078429000005,2
325000,6139.710321099999,2
350000,6220.819094099999,2
375000,6247.9807543,2
400000,6230.519465900001,2
425000,6288.9321032,2
450000,6383.3214225,2
475000,6384.2673979,2
500000,6370.442840000001,2
525000,6383.3085134,2
550000,6381.954831499999,2
575000,6463.7388644,2
600000,6280.816774499999,2
625000,6533.1713161,2
650000,6501.280405,2
675000,6572.263904,2
700000,6625.3086275,2
725000,6666.489023799999,2
