step,reward,seed
0,942.7491300319232,0
25000,677.2204762408893,0
50000,333.3496390942745,0
75000,644.7516740031926,0
100000,632.1389735777524,0
125000,698.2656118087009,0
150000,853.4386739547383,0
175000,1891.8620775363347,0
200000,1431.258158479855,0
225000,1305.8283977635697,0
250000,1733.275143599616,0
275000,2030.7001960722428,0
300000,955.3052159208668,0
325000,2335.5331847191683,0
350000,2136.698543857306,0
375000,2296.029549175892,0
400000,2863.784734762464,0
425000,2790.02473007202,0
450000,3309.2691979251954,0
475000,2793.5110276029227,0
500000,3217.6633707415376,0
525000,3255.3867615034496,0
550000,3515.0596901163126,0
575000,3654.934880190453,0
600000,3981.1937131562345,0
625000,3765.145143285884,0
650000,3111.5276254812447,0
675000,3720.666007869072,0
700000,4359.700403223288,0
725000,4008.2266694262607,0
750000,3428.0459775515505,0
775000,3848.857128871206,0
800000,3970.829890219885,0
825000,4639.595025786852,0
850000,4325.547423378318,0
875000,5019.78837544867,0
900000,4438.996920710945,0
925000,4952.973904798543,0
950000,4494.2535466417685,0
975000,4683.185855974078,0
1000000,5019.78837544867,0
0,972.9778482079856,1
25000,862.7730709441657,1
50000,584.6330732677228,1
75000,752.1412896716693,1
100000,399.00008981246674,1
125000,827.8454696937381,1
150000,1108.0487600395509,1
175000,2149.6224267891585,1
200000,1157.918737353365,1
225000,2555.36466904442,1
250000,973.6209873369208,1
275000,1358.2196584795493,1
300000,2181.08416968627,1
325000,2845.755655880187,1
350000,2701.4385147605376,1
375000,3735.652312864967,1
400000,2885.8047151225032,1
425000,3434.287092989462,1
450000,3258.1178045241604,1
475000,3231.430841228274,1
500000,4659.612362576094,1
525000,4009.4080853450737,1
550000,4271.45346072316,1
575000,4694.613877073393,1
600000,2614.887777408614,1
625000,3662.2945461249474,1
650000,5049.700262865241,1
675000,3537.6639531992755,1
700000,5344.450950041358,1
725000,5324.037706971776,1
750000,4384.355572984468,1
775000,3547.2401687414085,1
800000,4959.694503118143,1
825000,4945.444732967748,1
850000,2686.934706935164,1
875000,5445.856172277033,1
900000,5569.7981989256605,1
925000,5275.314403130866,1
950000,5187.972371107799,1
975000,5569.885390271071,1
1000000,5569.885390271071,1
0,968.497617201108,2
25000,671.6895455685639,2
50000,336.0621127524137,2
75000,604.6024166710457,2
100000,636.7700394798302,2
125000,717.9488691856952,2
150000,1012.11563852828,2
175000,1925.6973003573044,2
200000,905.3430689962312,2
225000,2566.8900589938894,2
250000,2218.758765799908,2
275000,3055.198379084891,2
300000,3487.612923030882,2
325000,2987.2660322981574,2
350000,3406.930626995196,2
375000,3122.1509031028013,2
400000,4318.299353635356,2
425000,3685.849093115693,2
450000,4294.448368125514,2
475000,3772.956548776192,2
500000,4233.431786658294,2
525000,4900.356869474958,2
550000,3923.513491264208,2
575000,4592.673872276826,2
600000,4494.260434735089,2
625000,4005.099321200639,2
650000,5076.7001466079455,2
675000,5150.32625433089,2
700000,5228.557684039254,2
725000,4744.197702192827,2
750000,4891.699541828037,2
775000,4909.9639866048265,2
800000,5367.303134541047,2
825000,5051.767215324299,2
850000,5408.411798718624,2
875000,5509.935186367336,2
900000,5449.261327647577,2
925000,5024.054788046503,2
950000,5213.6633300411095,2
975000,4809.80670152527,2
1000000,5509.935186367336,2
0,972.0105966869952,3
25000,858.3771737972362,3
50000,696.7433631955271,3
75000,653.1973026371724,3
100000,947.7215761068068,3
125000,1330.4078179473274,3
150000,1529.3806090641026,3
175000,2228.8579900757027,3
200000,2089.343657483873,3
225000,1343.2405395137273,3
250000,3597.4257612974457,3
275000,1912.4322390325888,3
300000,1006.9957430695416,3
325000,1744.8580614824211,3
350000,3472.258252407291,3
375000,4049.580049365884,3
400000,4279.446057686571,3
425000,4185.443539959709,3
450000,2738.8117233981798,3
475000,4489.203438588639,3
500000,3403.609943160571,3
525000,4375.688328081807,3
550000,4064.601335776019,3
575000,4856.084072326577,3
600000,3255.5432751409367,3
625000,5122.004471358266,3
650000,4705.554992838056,3
675000,4677.141756716821,3
700000,4937.627745518244,3
725000,4960.894988868262,3
750000,4992.543610485899,3
775000,4989.656583559574,3
800000,5121.522110996837,3
825000,5585.36101456944,3
850000,5703.056627825509,3
875000,5575.867293971907,3
900000,5681.134200278006,3
925000,5708.6854702663895,3
950000,5253.648433481428,3
975000,5443.104905191338,3
1000000,5708.6854702663895,3
0,948.6476184505722,4
25000,819.8451648768793,4
50000,497.7809969823966,4
75000,535.4297322883838,4
100000,707.1520202379853,4
125000,1117.532634298839,4
150000,797.851119574521,4
175000,911.1266163143948,4
200000,841.8553331770611,4
225000,2137.4365822126238,4
250000,2299.3099106835825,4
275000,2967.281988692023,4
300000,2877.3625584487245,4
325000,3113.382999710499,4
350000,4066.887145108044,4
375000,3798.796777889028,4
400000,4328.252869214442,4
425000,3818.7090246046073,4
450000,4731.793859179482,4
475000,3691.321748993232,4
500000,4099.328813052647,4
525000,3930.861420325268,4
550000,4675.156843424185,4
575000,4345.732429669275,4
600000,4424.409769979585,4
625000,5034.756246209402,4
650000,4724.216918092179,4
675000,5205.7113976895325,4
700000,5151.778221996969,4
725000,4778.652210028666,4
