step,reward,seed
0,-1.3025915532101808,0
25000,-1.3914847370647387,0
50000,2751.473852365198,0
75000,3750.675809439073,0
100000,4396.688711817817,0
125000,5049.525990528467,0
150000,5445.083910409251,0
175000,5615.489873058852,0
200000,5803.24218612614,0
225000,6206.491486786282,0
250000,6287.560690168108,0
275000,6415.561587312718,0
300000,6716.176187831738,0
325000,6933.3750540476885,0
350000,7046.121762201095,0
375000,7033.474214669635,0
400000,7186.449205420089,0
425000,7140.267758836589,0
450000,7324.949004487052,0
475000,7469.619515686014,0
500000,7466.511858142815,0
525000,7533.680971860548,0
550000,7448.167199986479,0
575000,7586.280354302044,0
600000,7472.81859898093,0
625000,7808.535904556964,0
650000,7713.905360572717,0
675000,7761.841182400002,0
700000,7670.018948453579,0
725000,7900.135449083794,0
750000,8000.542236153398,0
775000,8131.934118293092,0
800000,7875.345760794317,0
825000,7944.529197831934,0
850000,8237.237711575679,0
875000,7880.521615858804,0
900000,8193.545024317615,0
925000,8348.137099279025,0
950000,8381.180582234087,0
975000,8433.553938400153,0
1000000,8433.553938400153,0
0,-2.1278141015748875,1
25000,-1.4392334535340183,1
50000,2413.039699698347,1
75000,4155.733062725389,1
100000,3996.09342620585,1
125000,4547.631014104637,1
150000,5635.552551050968,1
175000,6136.90787553406,1
200000,5992.639708768591,1
225000,6706.967064994137,1
250000,6486.419133746282,1
275000,7308.642299880678,1
300000,7894.512666371776,1
325000,8111.529618113335,1
350000,8440.90009273137,1
375000,8593.804701596015,1
400000,8792.661655381233,1
425000,9058.252735684322,1
450000,9176.227227963967,1
475000,9555.480356258371,1
500000,9251.66892262918,1
525000,9651.593488816505,1
550000,9483.6326031619,1
575000,9812.07004584058,1
600000,9591.88094014267,1
625000,10216.64897253249,1
650000,10095.6203778682,1
675000,9883.802375853867,1
700000,10457.748378510923,1
725000,10018.422695402563,1
750000,10206.737823148467,1
775000,10510.209891214005,1
800000,10573.78008669463,1
825000,10174.12318723648,1
850000,10501.981905330003,1
875000,10734.693504502013,1
900000,10531.752547702346,1
925000,10856.139519386614,1
950000,10784.01876875127,1
975000,10181.474270447809,1
1000000,10856.139519386614,1
0,-2.837411593957854,2
25000,-2.0538885163441223,2
50000,2345.748570126886,2
75000,3581.2681930492167,2
100000,4123.114408482879,2
125000,4647.83099156784,2
150000,5178.510768141274,2
175000,5761.188589793997,2
200000,6391.994278491016,2
225000,6904.994121679777,2
250000,7192.358275412104,2
275000,7470.394944256281,2
300000,7343.958124039025,2
325000,7934.785175277577,2
350000,8025.212990157411,2
375000,8490.793064283822,2
400000,8724.36590611215,2
425000,8940.710202861235,2
450000,9148.513337935596,2
475000,9162.957997686482,2
500000,9396.497913732112,2
525000,9428.50057816436,2
550000,9546.208409890922,2
575000,9785.127446537488,2
600000,9832.29479757046,2
625000,9912.99181791297,2
650000,9972.377199204078,2
675000,10060.0694190433,2
700000,10038.242339814442,2
725000,10283.955050499131,2
750000,10379.26367578469,2
775000,9987.292729152095,2
800000,10327.919304554296,2
825000,10621.14638615712,2
850000,10712.25648004308,2
875000,10645.158418574132,2
900000,10759.257268517367,2
925000,10705.320605676166,2
950000,10432.18029681727,2
975000,10977.13403221784,2
1000000,10977.13403221784,2
0,-3.6130034185841446,3
25000,-3.437708494298807,3
50000,2068.7354413795865,3
75000,3960.655406952815,3
100000,4916.449461583218,3
125000,5041.841911217574,3
150000,5744.828358322635,3
175000,5978.907386730279,3
200000,6280.717683908042,3
225000,6490.558937460597,3
250000,6691.206521233673,3
275000,5582.997158366226,3
300000,7036.1875228008485,3
325000,7138.984689216503,3
350000,7119.284206652919,3
375000,6964.22270858786,3
400000,7438.173460463015,3
425000,7467.792823868616,3
450000,7571.59026659208,3
475000,7564.320376307396,3
500000,7558.583299487729,3
525000,7705.02032466689,3
550000,7931.288081772104,3
575000,7824.361861981488,3
600000,7633.711661577329,3
625000,8091.75097327995,3
650000,8388.721568848894,3
675000,8257.554632734023,3
700000,8381.606450701829,3
725000,8404.856636561835,3
750000,7919.556926267325,3
775000,8587.417238319971,3
800000,8629.967632107739,3
825000,8755.769716597442,3
850000,8675.938909092327,3
875000,8222.617251151487,3
900000,8861.442908177425,3
925000,8782.454282796569,3
950000,8908.239534939388,3
975000,8906.333720229184,3
1000000,8908.239534939388,3
0,-0.7326042080139914,4
25000,-1.0839141908142882,4
50000,1507.2048409382226,4
75000,3341.335511335961,4
100000,2770.184059214563,4
125000,5112.230342679647,4
150000,4098.164444394932,4
175000,5714.925489199797,4
200000,6205.644093205383,4
