step,reward,seed
1,-566.3826710999999,0
25000,5185.632164299999,0
50000,6199.4983298,0
75000,8269.0254733,0
100000,9667.200822299998,0
125000,10416.0580303,0
150000,10899.0452042,0
175000,11239.4498675,0
200000,11433.3762333,0
225000,11557.720035900002,0
250000,10962.508954100002,0
275000,12312.2288943,0
300000,12153.5954109,0
325000,12292.6573248,0
350000,12477.8101203,0
375000,12510.3300156,0
400000,12407.7912893,0
425000,12743.3148531,0
450000,12675.779261499998,0
475000,12773.260283699998,0
500000,12910.261630100002,0
525000,12809.0878874,0
550000,13032.806007,0
575000,13398.5311156,0
600000,13343.0762775,0
625000,11983.7929089,0
650000,13328.2046524,0
675000,13589.246262900002,0
700000,12897.160632599998,0
725000,13147.262231199998,0
750000,13826.540186399998,0
775000,13439.061412799998,0
800000,13890.3335724,0
825000,14013.2229578,0
850000,13632.679984699998,0
875000,14165.0771121,0
900000,13929.3163565,0
925000,14222.539340099998,0
950000,14216.815179499998,0
975000,14030.4437071,0
1000000,14341.2111732,0
1,-198.360729,1
25000,5114.431336399999,1
50000,6422.5530824,1
75000,7492.8575172,1
100000,7195.920973800001,1
125000,8845.688539499999,1
150000,8904.798659000002,1
175000,9308.530457599998,1
200000,9703.8953831,1
225000,10099.729199800002,1
250000,10121.5697735,1
275000,10249.4951094,1
300000,10335.2741175,1
325000,9680.4778827,1
350000,10799.735257000002,1
375000,10735.7024962,1
400000,10820.7631132,1
425000,10993.3170904,1
450000,11135.2401164,1
475000,11325.911164800002,1
500000,11351.252607699998,1
525000,11282.747711399998,1
550000,11278.766709,1
575000,11377.0084324,1
600000,11568.010550399998,1
625000,11530.9769768,1
650000,9990.2418967,1
675000,11282.4738445,1
700000,11599.405690299998,1
725000,11549.878185,1
750000,11757.43411,1
775000,11767.4878184,1
800000,11652.3053778,1
825000,11711.9120981,1
850000,11804.939954300002,1
875000,11633.5377256,1
900000,11510.4119144,1
925000,11635.2972137,1
950000,11897.5755103,1
975000,12127.2189566,1
1000000,12278.0941479,1
1,-1110.1863088,2
25000,5561.1869556,2
50000,7152.3784396,2
75000,8379.8221171,2
100000,8946.4159012,2
125000,9717.314643,2
150000,10127.414084,2
175000,10746.0383255,2
200000,10858.581923,2
225000,11067.3828198,2
250000,11320.0293582,2
275000,11291.1963961,2
300000,11235.9832068,2
325000,12089.4073609,2
350000,12384.0057217,2
375000,12432.483949,2
400000,13719.1685362,2
425000,14051.9816963,2
450000,14027.6567239,2
475000,13655.034288200002,2
500000,14526.0750958,2
525000,14685.4367367,2
550000,14519.710932800002,2
575000,14779.5348697,2
600000,14714.400682299998,2
625000,14464.2210633,2
650000,14365.009093899998,2
675000,14720.5020572,2
700000,14803.1572108,2
725000,14647.4851553,2
750000,14681.1778666,2
775000,14801.353996099995,2
800000,14767.226612,2
825000,14853.222147999995,2
850000,15000.9911334,2
875000,15026.650773800002,2
900000,15032.8901277,2
925000,15004.638207000002,2
950000,15180.338067400002,2
975000,14968.144857900004,2
1000000,15104.41445,2
1,-186.4420788,3
25000,5090.463178800001,3
50000,6591.996496,3
75000,7109.884054200001,3
100000,7714.117581200002,3
125000,7391.0672001,3
150000,8104.944203199999,3
175000,8121.5281046,3
200000,8267.0932386,3
225000,8043.037416200001,3
250000,8369.5259517,3
275000,8520.8986835,3
300000,8545.1709229,3
325000,8731.831876299999,3
350000,8808.3805608,3
375000,8882.444891399999,3
400000,9058.2828974,3
425000,9215.3235143,3
450000,9272.5636014,3
475000,9233.3657352,3
500000,9480.7665491,3
525000,9506.7314025,3
550000,9686.9271874,3
575000,9733.326623100002,3
600000,9809.9487954,3
625000,9927.1261964,3
650000,9824.1434242,3
675000,10171.5421513,3
700000,10260.5132576,3
725000,10603.4453739,3
750000,10627.3058338,3
775000,10624.4375196,3
800000,11052.2972215,3
825000,10504.1441101,3
850000,11430.3347717,3
875000,11695.763421800002,3
900000,11038.389382800002,3
925000,11105.760481100002,3
950000,10874.3821651,3
975000,11282.5365031,3
1000000,11730.9548266,3
1,-367.9773657,4
25000,5565.8211049,4
50000,7280.3241757,4
75000,7873.839963,4
100000,8960.285986799998,4
125000,9262.7354701,4
150000,9992.6329764,4
175000,10267.4137011,4
200000,9318.2316669,4
225000,10270.5201791,4
250000,9953.9993563,4
275000,10452.4809424,4
300000,10592.504228000002,4
325000,11383.3681472,4
350000,11554.3621689,4
375000,11797.6280084,4
400000,11727.9454006,4
425000,11848.7249166,4
450000,11935.742698699998,4
475000,12066.1988271,4
500000,12257.1644524,4
525000,11634.709182,4
550000,12450.3047685,4
575000,12669.5730418,4
600000,12900.1952847,4
625000,13481.3918848,4
650000,13370.307579799995,4
675000,12612.9989307,4
700000,13448.7457999,4
725000,13873.387469600002,4
750000,13575.3032056,4
775000,14030.591653999998,4
800000,14319.125963699998,4
825000,13819.588445799998,4
850000,14257.679220099995,4
875000,13221.163177900002,4
900000,14225.7753156,4
925000,13870.6491344,4
950000,14213.710585600002,4
975000,13842.8839064,4
1000000,14197.952890199998,4
1,-353.0437207,5
25000,4656.583294999999,5
50000,6238.543791499999,5
75000,6958.8805399,5
100000,7678.7009397,5
125000,7919.174366599999,5
150000,8378.433710399999,5
175000,8144.213420599999,5
200000,8507.010127,5
225000,8425.6007527,5
250000,8633.7265118,5
275000,8738.8032098,5
300000,8862.225059700002,5
325000,8824.9748177,5
350000,9164.2505796,5
375000,9385.2393154,5
400000,9256.9060323,5
425000,9509.4713819,5
450000,9649.706560200002,5
475000,9749.1374626,5
500000,9916.7521849,5
525000,9885.9201287,5
550000,9958.101412,5
575000,10174.6718569,5
600000,10021.406373499998,5
625000,10578.9007183,5
650000,10405.351846,5
675000,10585.169287,5
700000,10603.3812949,5
725000,10939.7505017,5
750000,10607.2935276,5
775000,10643.588408500002,5
800000,10733.4126284,5
825000,11239.79324,5
850000,11388.6169843,5
875000,10565.6865805,5
900000,11141.7129046,5
925000,11006.687502200002,5
950000,11470.3756101,5
975000,11099.0337084,5
1000000,11717.514076900005,5
1,-446.1517989,6
25000,4856.985335,6
50000,6651.9071572,6
75000,8308.7437001,6
100000,8588.3501094,6
125000,9521.9253497,6
150000,9544.2257989,6
175000,10020.939544900002,6
200000,9872.5951854,6
225000,10194.6121539,6
250000,10331.8785549,6
275000,10552.2728234,6
300000,10434.4173049,6
325000,11431.840318899998,6
350000,12047.3963215,6
375000,12692.0769938,6
400000,12679.7209216,6
425000,13414.5106947,6
450000,13146.944446999998,6
475000,13680.5370431,6
500000,13398.9445105,6
525000,13731.4585063,6
550000,14012.3760099,6
575000,14127.0477839,6
600000,13891.875829200002,6
625000,13966.8625764,6
650000,14228.2422081,6
675000,14446.4245555,6
700000,13975.983359899998,6
725000,14213.6941552,6
750000,14233.9915945,6
775000,14139.8434126,6
800000,14395.074617199998,6
825000,14583.2081776,6
850000,14538.0664049,6
875000,14391.974811700002,6
900000,14477.851709400002,6
925000,14419.3859463,6
950000,14637.069013200002,6
975000,14448.157044500002,6
1000000,14344.5559519,6
1,-347.14896400000003,7
25000,3482.6564303,7
50000,5102.978500200001,7
75000,5949.169653399999,7
100000,6279.9204725,7
125000,6136.4835027,7
150000,6903.917956199999,7
175000,6989.050313299999,7
200000,7423.027823900001,7
225000,7554.2563024,7
250000,7495.9658083,7
275000,7710.1889087,7
300000,7057.200709199999,7
325000,7330.088521600001,7
350000,7542.8146927,7
375000,7878.090531899999,7
400000,7745.762334000001,7
425000,7890.3401208999985,7
450000,7727.3153061,7
475000,7513.0172953,7
500000,7900.529966200001,7
525000,7819.7893511,7
550000,7720.477855,7
575000,8008.175797999999,7
600000,7905.929291,7
625000,7826.643716099999,7
650000,7950.7357646,7
675000,7759.696520800001,7
700000,7864.0804988,7
725000,7947.312599300001,7
750000,7945.9810042,7
775000,7754.0870625,7
800000,8033.156977000001,7
825000,8141.492558,7
850000,7906.445987999999,7
875000,8196.665224,7
900000,7784.2774967,7
925000,7776.403294400001,7
950000,8097.093532300001,7
975000,8075.948989899999,7
1000000,8133.993543699999,7
1,-40.094833300000005,8
25000,2771.5413173,8
50000,6780.4172049,8
75000,8056.803796,8
100000,8856.3083009,8
125000,9804.4669057,8
150000,10164.3614445,8
175000,10413.9937875,8
200000,10792.3117428,8
225000,10768.287119,8
250000,11018.798717100002,8
275000,10124.3071933,8
300000,11193.3161606,8
325000,11921.5090128,8
350000,11901.948146899998,8
375000,12282.842815,8
400000,12330.6219642,8
425000,12739.529227099998,8
450000,12986.2185281,8
475000,13481.6338242,8
500000,13072.7921099,8
525000,13533.806227899997,8
550000,14031.0894063,8
575000,13425.6817415,8
600000,14445.2122975,8
625000,14496.4220335,8
650000,13220.0890962,8
675000,14146.222537600002,8
700000,14455.876288299998,8
725000,14593.5243911,8
750000,14447.936348599998,8
775000,14411.2654304,8
800000,14600.2551432,8
825000,14605.3305086,8
850000,14829.4622754,8
875000,14602.495744199998,8
900000,14889.1922312,8
925000,14706.0646915,8
950000,14710.091903700002,8
975000,14700.8925773,8
1000000,14987.462140399995,8
1,-130.64779439999998,9
25000,5052.181611999999,9
50000,6302.1701621,9
75000,6864.419278300001,9
100000,7763.3982592,9
125000,8638.5951705,9
150000,8995.8598782,9
175000,9060.7705966,9
200000,9884.8887614,9
225000,9748.5813231,9
250000,9951.0947879,9
275000,9930.7235613,9
300000,9808.8116241,9
325000,10593.2088308,9
350000,10819.1145169,9
375000,10917.9616731,9
400000,10664.5373015,9
425000,10831.3222981,9
450000,11053.4507554,9
475000,11108.351511800003,9
500000,10990.6440551,9
525000,11244.1446007,9
550000,11242.126012,9
575000,11176.2924656,9
600000,11273.38758,9
625000,11213.5211847,9
650000,10995.180986999998,9
675000,11274.596101,9
700000,11201.2656849,9
725000,11165.327051199998,9
750000,11269.3041981,9
775000,11232.8061247,9
800000,11186.4115656,9
825000,11359.7546032,9
850000,11162.8081085,9
875000,11384.0393672,9
900000,11229.4063025,9
925000,11472.9420686,9
950000,10774.3848542,9
975000,11485.1791722,9
1000000,11455.0825259,9
