step,reward,seed
0,-0.5692666360258991,0
25000,1873.7076553826107,0
50000,3944.697528454216,0
75000,4697.733201265483,0
100000,5192.987119736396,0
125000,5528.746459979308,0
150000,5922.591269874541,0
175000,6237.452424127344,0
200000,6449.412225586947,0
225000,6721.794868279327,0
250000,7150.923587923557,0
275000,7124.798331541339,0
300000,7794.776354002324,0
325000,8017.016639476222,0
350000,8265.839859611528,0
375000,8182.1431137196605,0
400000,8535.76369749739,0
425000,9003.109974677238,0
450000,9140.243573055155,0
475000,8984.819633029674,0
500000,9327.932620804762,0
525000,9415.442770157606,0
550000,9831.410270182474,0
575000,9297.829125858423,0
600000,10004.441055840089,0
625000,9972.51997290476,0
650000,9937.159833955073,0
675000,9912.690364658529,0
700000,10047.4799044824,0
725000,10319.43181947796,0
750000,10470.56469249656,0
775000,10190.70463213317,0
800000,10487.0637398711,0
825000,10591.856092510998,0
850000,10816.897552057488,0
875000,10700.743541487567,0
900000,10795.652967783504,0
925000,10776.575724735423,0
950000,10900.013652419875,0
975000,10777.248301614574,0
1000000,10900.013652419875,0
0,-1.102719663751098,1
25000,1762.993281771896,1
50000,3795.998012647319,1
75000,4675.491877761648,1
100000,5373.730537595144,1
125000,6193.843956266708,1
150000,6188.964353190991,1
175000,7522.662416044239,1
200000,7689.724211561575,1
225000,7645.10911317475,1
250000,8486.640255735696,1
275000,8733.86166495227,1
300000,9103.341071165742,1
325000,9589.619202446742,1
350000,9624.960695476797,1
375000,9698.758129567825,1
400000,9962.63770764726,1
425000,10064.4353322665,1
450000,10206.584905839663,1
475000,10196.403357655512,1
500000,10135.167430552096,1
525000,9393.18035084756,1
550000,10097.58144268554,1
575000,10492.516203269071,1
600000,10528.506935959953,1
625000,10709.853057439055,1
650000,10767.401523774137,1
675000,10866.762479636967,1
700000,10887.769125079987,1
725000,10880.336247385188,1
750000,11058.656618587813,1
775000,10955.000604653997,1
800000,11104.549669470733,1
825000,11124.466803681144,1
850000,11300.35359231883,1
875000,11208.87315507288,1
900000,11100.599564040604,1
925000,11253.174351635347,1
950000,11233.766026204905,1
975000,11613.886412245283,1
1000000,11613.886412245283,1
0,-4.872120680856446,2
25000,920.2240998383702,2
50000,3690.863690524676,2
75000,4464.968735912838,2
100000,5075.703818572868,2
125000,5424.994499778016,2
150000,6588.677872988948,2
175000,6908.696840655201,2
200000,7080.9403325462645,2
225000,7204.579272120087,2
250000,7856.286354208083,2
275000,8149.611891006362,2
300000,8715.572850149145,2
325000,8411.269895013627,2
350000,8950.482762281576,2
375000,9216.560899555594,2
400000,9066.426269097656,2
425000,9562.942733280755,2
450000,9497.354684454966,2
475000,9876.840397779077,2
500000,9989.976654124805,2
525000,9735.07305303965,2
550000,10066.746857862288,2
575000,10014.47149060785,2
600000,10381.902572065635,2
625000,10059.067312567078,2
650000,10429.567724196308,2
675000,10225.915348716404,2
700000,10613.482013178116,2
725000,10690.690793656951,2
750000,10405.722412403482,2
775000,10555.037134048222,2
800000,10760.688440909322,2
825000,10833.8987922013,2
850000,10949.546727687975,2
875000,10897.5055574964,2
900000,11041.345776758772,2
925000,11064.902018887022,2
950000,11122.704970882683,2
975000,11166.00066724153,2
1000000,11166.00066724153,2
0,-0.2662023404323867,3
