step,reward,seed
1,6.8732823,0
25000,697.2050355,0
50000,2898.7170891,0
75000,2707.49099,0
100000,3231.0491923,0
125000,1459.5728088,0
150000,3352.0139214,0
175000,1320.3394639,0
200000,3337.1207047,0
225000,1711.1486409,0
250000,3253.242101,0
275000,3402.3455477,0
300000,1577.5284892,0
325000,1774.8145658999997,0
350000,2059.0254746,0
375000,1914.8300541,0
400000,3104.8479963,0
425000,2110.3840948,0
450000,1846.5661516,0
475000,2232.7762646,0
500000,1528.5352316000003,0
525000,1522.2070869000004,0
550000,2583.1718964,0
575000,1583.5518774,0
600000,2116.5304024,0
625000,1762.5741787,0
650000,1482.3970826,0
675000,1466.1553915,0
700000,1901.7894809,0
725000,1670.5720103,0
750000,2612.8656212,0
775000,2080.7986072,0
800000,2449.4071912000004,0
825000,1539.1553016,0
850000,1625.0951017,0
875000,2786.1341757,0
900000,1702.8981523000002,0
925000,1661.7664633,0
950000,2219.5864094,0
975000,2578.620539,0
1000000,1973.2652105,0
1,8.441706100000001,1
25000,415.1614543,1
50000,1032.3032773999998,1
75000,3044.8663236,1
100000,3342.9214214,1
125000,3353.3925519000004,1
150000,3306.8668733,1
175000,3440.6953711,1
200000,3457.6372676,1
225000,3481.0314604,1
250000,3483.7420685,1
275000,3532.0178019,1
300000,3493.6706546,1
325000,3529.5079933,1
350000,3538.4282092999997,1
375000,3473.2550992,1
400000,3453.1711618,1
425000,3489.3215535000004,1
450000,2437.2326364,1
475000,3553.4712168,1
500000,2210.0837346,1
525000,3434.6562748,1
550000,3497.0270685000005,1
575000,3516.9871927,1
600000,1643.8958309000002,1
625000,3055.8636834,1
650000,3587.4502608000003,1
675000,2662.6157222,1
700000,3553.4187699000004,1
725000,3044.2439453,1
750000,3623.0655848,1
775000,3502.7467111,1
800000,3640.609761,1
825000,3536.0874524,1
850000,1342.6012088,1
875000,3572.2724036,1
900000,3558.9609084000003,1
925000,1982.827213,1
950000,2820.499509,1
975000,3622.6921034,1
1000000,3670.3471027,1
1,6.6833968,2
25000,1042.2800264000002,2
50000,3276.1856353000003,2
75000,3084.5461878999995,2
100000,3207.6459853,2
