step,reward,seed
0,18.014861642911903,0
25000,281.00283604932724,0
50000,48.42559339103517,0
75000,503.23254201494046,0
100000,760.5052875465788,0
125000,910.9338402728878,0
150000,1341.31444146698,0
175000,3126.68807485428,0
200000,3118.843836141924,0
225000,3154.4342231984256,0
250000,3192.4344698543946,0
275000,3247.457008659686,0
300000,3285.2598671175883,0
325000,1151.3356053686716,0
350000,3274.2868129324934,0
375000,2982.001174208086,0
400000,3333.627159256682,0
425000,2580.6614233735863,0
450000,3278.7740579869287,0
475000,3293.252456399852,0
500000,3318.331659632256,0
525000,3273.738528789863,0
550000,749.8684357865138,0
575000,3304.97409172094,0
600000,1203.9467794506556,0
625000,1367.628488085403,0
650000,2254.888667797469,0
675000,1354.2501591072114,0
700000,1331.5113370414306,0
725000,1579.259327981792,0
750000,1319.1255196795423,0
775000,1121.704392575062,0
800000,2921.9745352274003,0
825000,1698.8511060184933,0
850000,1337.7780821050792,0
875000,2364.8484829790505,0
900000,3021.621148519104,0
925000,2998.1449133616943,0
950000,1167.070553650923,0
975000,3300.055258067861,0
1000000,3333.627159256682,0
0,118.0861869405616,1
25000,285.81810020922103,1
50000,426.9848189085733,1
75000,710.4318506416345,1
100000,1181.9998032831318,1
125000,1986.110799504992,1
150000,3147.659372129823,1
175000,1582.5089996845002,1
200000,3229.68202941302,1
225000,2229.968739579669,1
250000,2859.115680346681,1
275000,3107.316411235606,1
300000,3084.6926062161706,1
325000,3265.9343030964,1
350000,3254.0125014313408,1
375000,3238.5738375254264,1
400000,3252.8011530266967,1
425000,3208.744474022192,1
450000,3263.049348522173,1
475000,2418.100108283807,1
500000,3312.6846428397416,1
525000,2113.340279641829,1
550000,1841.690948643901,1
575000,3295.992681571636,1
600000,3294.306303037326,1
625000,3260.4167842142288,1
650000,3272.4369164467657,1
675000,3293.363770020215,1
700000,3283.595250476387,1
725000,3294.2551473782987,1
750000,3283.142295285579,1
775000,3113.641358754778,1
800000,1135.659612616695,1
825000,1209.4892788597772,1
850000,2992.012781289072,1
875000,2395.18987120012,1
900000,3348.806061722985,1
925000,3347.6659912407763,1
950000,3313.8335630552115,1
975000,3337.3828886789474,1
1000000,3348.806061722985,1
0,19.35384520090456,2
25000,181.4961032556917,2
50000,385.434599667043,2
75000,2723.8351218849666,2
100000,2625.027049992086,2
125000,2903.916553912598,2
150000,1519.1029295239805,2
175000,2757.9397222439843,2
200000,1597.4905057911942,2
225000,2385.0670570203933,2
250000,865.4589607753057,2
275000,3314.695785589686,2
300000,3287.3409015036377,2
325000,2195.3738099929824,2
350000,3246.7009681606864,2
375000,3233.02067404084,2
400000,3390.669115586263,2
425000,3440.9474172777554,2
450000,962.0996253724844,2
475000,3474.4881842481423,2
500000,2345.6079229812703,2
525000,3427.4232166600864,2
550000,3447.394749776173,2
575000,3452.107534057862,2
600000,3440.343187850462,2
625000,1214.753390932225,2
650000,3466.6917406785665,2
675000,3457.211451326937,2
700000,3459.10162000113,2
725000,3462.6682349618777,2
750000,3448.5600352653296,2
775000,3463.867279179056,2
800000,3450.7199703083656,2
825000,3444.25270276672,2
850000,3423.2975821517675,2
875000,3453.155360447822,2
900000,3477.3539535061063,2
925000,3486.7320697327173,2
950000,3454.134618738287,2
975000,3510.502514308533,2
1000000,3510.502514308533,2
0,87.34797692344075,3
25000,270.9342867103396,3
50000,31.837902973419794,3
75000,1491.928643973056,3
100000,587.8996775370941,3
125000,873.4242294676982,3
150000,996.7354614247508,3
175000,3087.6619441503726,3
200000,3148.5581785936724,3
225000,3173.7374111141844,3
250000,2334.4144282292445,3
275000,2604.604728990973,3
300000,48.67290756704765,3
325000,3235.159177574424,3
350000,3209.6946347967155,3
375000,3330.316686800674,3
400000,3305.313379617425,3
425000,3345.577461079408,3
450000,3307.92054377339,3
475000,3343.860734339048,3
500000,3308.883377431418,3
525000,3334.9521363566114,3
550000,3349.038511346008,3
575000,3392.4644716990733,3
600000,3353.946264945096,3
625000,3392.7315066716774,3
650000,3355.714847127338,3
675000,3430.2243935797924,3
700000,3415.624096439151,3
725000,3420.2857876874696,3
750000,3371.2181727709103,3
775000,3472.460847165444,3
800000,3444.727849841005,3
825000,3184.070757115412,3
850000,3517.087241320632,3
875000,3521.176499721491,3
900000,3551.5810583684915,3
925000,3418.1097032930834,3
950000,3499.25292123712,3
975000,3535.52971554729,3
1000000,3551.5810583684915,3
0,28.883641298017483,4
25000,265.02404315216614,4
50000,398.64058887449727,4
75000,604.5646818335633,4
100000,755.0944435804374,4
125000,1270.3404612429272,4
150000,1069.6156717943977,4
175000,1549.1557430721464,4
200000,1375.2066312667932,4
225000,1215.8159731269875,4
250000,3127.066246974789,4
275000,2840.707422072307,4
300000,1316.285172800698,4
325000,3197.064565732853,4
350000,3133.88910697767,4
375000,2749.8308888358297,4
400000,2642.07546236093,4
425000,1959.3778302764647,4
450000,1206.0892550386309,4
475000,2402.906034074277,4
500000,2078.99355048138,4
525000,2375.390800128061,4
550000,1664.752695495732,4
575000,1803.4018175678984,4
600000,2979.7007557448387,4
625000,2533.8037201412144,4
650000,1441.379030111789,4
675000,1267.2698753768914,4
700000,2022.8249160274177,4
725000,1321.5128331079247,4
750000,1860.9408463602165,4
775000,2219.7228266348293,4
800000,2804.1231175909884,4
825000,3246.3036424002,4
850000,3184.909123731866,4
875000,1557.3881564317169,4
900000,1323.7046942290503,4
925000,1421.4138985215154,4
950000,1216.8560902023337,4
975000,1328.8871585654222,4
1000000,3246.3036424002,4
0,44.31548149915177,5
25000,285.1721151212333,5
50000,980.4695012003336,5
75000,2501.2016306862924,5
100000,1186.8304368460244,5
125000,2358.81747726742,5
150000,1712.92295671285,5
175000,2471.805273625294,5
200000,3359.2905055511933,5
225000,2904.46498522518,5
250000,3498.567261846275,5
275000,3496.3483133224813,5
300000,2097.38577703862,5
325000,3493.057550601878,5
350000,3484.989984065835,5
375000,3525.075812209704,5
400000,2481.1896754271447,5
425000,1920.263423046716,5
450000,3564.7626650806765,5
475000,3301.4794516133297,5
500000,3502.5933322796677,5
525000,3478.5305629217887,5
550000,3502.257843605912,5
575000,3537.6490501629464,5
600000,3313.4697400557134,5
625000,3541.9636810602337,5
650000,3551.772296156294,5
675000,3504.6309403445607,5
700000,3545.5180799117406,5
725000,3517.35577807159,5
750000,3554.376437510281,5
775000,3552.748619499368,5
800000,3553.1729414609727,5
825000,3505.3189169838624,5
850000,3514.7277272175024,5
875000,3474.354249190446,5
900000,3568.7808877018447,5
925000,1029.1659113569483,5
950000,3312.605502928488,5
975000,3511.0504499481904,5
1000000,3568.7808877018447,5
0,24.94229205362612,6
25000,259.92501827216574,6
50000,762.1396091650773,6
75000,1080.1658823288426,6
100000,1452.6877376153502,6
125000,1457.5423975437768,6
150000,2232.4340356374305,6
175000,2790.673133700344,6
200000,3150.3942293554965,6
225000,3191.3888885457213,6
250000,1450.788923995103,6
275000,3149.380094454032,6
300000,3164.1659446196472,6
325000,3222.955050757761,6
350000,1506.62083588847,6
375000,3194.671034038284,6
400000,3214.578428265921,6
425000,3215.0293753513374,6
450000,1458.3947971972975,6
475000,3255.416801959737,6
500000,3167.6755342033525,6
525000,2226.413878910595,6
550000,3060.7961770264965,6
575000,3234.618288854878,6
600000,3259.182440055993,6
625000,2830.286914244573,6
650000,3123.733260275493,6
675000,2699.7799492216423,6
700000,3240.156467111359,6
725000,3247.731450469285,6
750000,2440.715321543945,6
775000,3275.166747400241,6
800000,3251.617097292009,6
825000,2789.304883021302,6
850000,2558.7420268382966,6
