step,reward,seed
0,255.18997984878555,0
25000,316.0380222048168,0
50000,275.472632898027,0
75000,309.20220923973363,0
100000,530.1365909498655,0
125000,531.0300877976159,0
150000,645.2996334917292,0
175000,610.1392407327463,0
200000,864.796055684905,0
225000,1014.1064119705968,0
250000,941.4289917063468,0
275000,2202.449575479284,0
300000,886.111321241202,0
325000,1480.0905129487462,0
350000,3147.778070306193,0
375000,2551.3619998095865,0
400000,3402.7730603567165,0
425000,4852.260899865911,0
450000,3723.235271177854,0
475000,3412.5586189951277,0
500000,4520.742107332158,0
525000,4732.731852644139,0
550000,5248.002836727852,0
575000,5259.236676311601,0
600000,5145.496062780463,0
625000,5294.800877960181,0
650000,3691.130476302051,0
675000,5040.241336311205,0
700000,5290.788286775987,0
725000,5367.2445783514,0
750000,5285.68846411041,0
775000,5298.934869534163,0
800000,5381.383507293003,0
825000,5022.003704199915,0
850000,4925.203060033887,0
875000,5292.037641575153,0
900000,5191.823752126493,0
925000,5303.009261050225,0
950000,5270.679372322842,0
975000,5137.711025290036,0
1000000,5381.383507293003,0
0,73.42725774577515,1
25000,74.3936493596547,1
50000,238.9342864532477,1
75000,503.0858987619405,1
100000,276.0668377621581,1
125000,493.35845899086974,1
150000,484.087797163896,1
175000,804.0430087900583,1
200000,1015.8856660869448,1
225000,1667.7309974410357,1
250000,1765.0717362419691,1
275000,2195.19403529662,1
300000,4069.763231830172,1
325000,3433.5332826560125,1
350000,2774.4478550071485,1
375000,4464.089466173076,1
400000,4747.168813985632,1
425000,4802.18480217552,1
450000,4501.17260331225,1
475000,5323.249978737876,1
500000,2268.205784670583,1
525000,5401.612827487101,1
550000,5365.72675813028,1
575000,4943.616052250009,1
600000,5326.5260650967,1
625000,4281.481162565153,1
650000,5376.1296941842975,1
675000,5286.917941126912,1
700000,5299.79088407263,1
725000,5519.428279937837,1
750000,5132.597815788762,1
775000,5498.614388038828,1
800000,5652.9327643730885,1
825000,5280.851494875727,1
850000,5141.300102939061,1
875000,5382.051817353636,1
900000,5287.597491218983,1
925000,4910.311741085804,1
950000,5133.161283188513,1
975000,5399.215620079805,1
1000000,5652.9327643730885,1
0,113.67064574540146,2
25000,114.6144707121542,2
50000,513.9313546960708,2
75000,392.81323174581934,2
100000,471.4264975864359,2
125000,609.6214146762775,2
150000,791.424744418666,2
175000,833.8878843194041,2
200000,997.3903023643044,2
225000,1788.0603020558622,2
250000,1951.0131837017084,2
275000,3143.5604093038537,2
300000,2860.678421038684,2
325000,2564.8191480810924,2
350000,4199.568546148466,2
375000,4159.654456925097,2
400000,4119.37543602938,2
425000,3548.4108504713413,2
450000,4982.034567898551,2
475000,4608.639819355964,2
500000,4159.162740120688,2
525000,3658.0526134731017,2
550000,5071.816600211717,2
575000,4421.300795802834,2
600000,4331.159964806482,2
625000,4488.701684242601,2
650000,4788.678096569601,2
675000,4993.456883541467,2
700000,5105.169022153521,2
725000,4884.393310578592,2
750000,5022.378637391083,2
775000,5192.801703865667,2
800000,5087.254399483207,2
825000,4749.154230556157,2
850000,5074.940939959868,2
875000,5149.833992448295,2
900000,5042.61584252933,2
925000,5137.691185169309,2
950000,4731.8272693666095,2
975000,5023.190904565875,2
1000000,5192.801703865667,2
0,117.11926832225552,3
25000,117.31590677976456,3
50000,378.44303367647126,3
75000,378.20138572116855,3
100000,490.9178547927421,3
125000,663.6533047065941,3
150000,852.1621843777842,3
175000,743.6153393695301,3
200000,861.2001775143199,3
225000,1087.0117669215074,3
250000,1818.78937767932,3
275000,3057.40482566765,3
300000,2164.343914551166,3
325000,2232.6282080229444,3
350000,4041.1156746779934,3
375000,4322.803997538224,3
400000,5230.375272399838,3
425000,3491.666002970601,3
450000,4825.367924282409,3
475000,4134.766145436354,3
500000,3060.6898488931884,3
525000,4757.726524989348,3
550000,4977.428021034355,3
575000,4725.498677373233,3
600000,4619.335503347542,3
625000,4405.6528586017,3
650000,4970.257602074109,3
675000,5026.325958550124,3
700000,4613.330071723658,3
725000,4996.549133008807,3
750000,5082.328348349414,3
775000,5411.478311778467,3
800000,5303.3056854138495,3
825000,4844.364267747127,3
850000,4747.757152891112,3
875000,4675.275758982654,3
900000,4944.77943856334,3
925000,5403.081939776563,3
950000,5450.812617854222,3
975000,4053.171375898808,3
1000000,5450.812617854222,3
0,99.0244471035114,4
25000,98.90594100883293,4
50000,260.3823215441549,4
75000,472.949059414514,4
100000,576.8017982234678,4
125000,596.3852218066568,4
150000,652.6652975800382,4
175000,689.154432364931,4
200000,653.1693287804363,4
225000,800.6662114359815,4
250000,1207.8736751736897,4
275000,1247.2010840262433,4
300000,1438.20584256947,4
325000,2519.828795229257,4
350000,3752.075278437239,4
375000,3852.342866807039,4
400000,2204.1045930619503,4
425000,3090.4707829456083,4
450000,2004.5447909289053,4
475000,4859.558883365282,4
500000,4351.141281781566,4
525000,2946.933865399053,4
550000,3199.981103354494,4
575000,4545.147411147724,4
600000,4651.390553887234,4
625000,3742.0386855850775,4
650000,4784.783703315698,4
675000,3813.287234729509,4
700000,4746.897187050161,4
725000,4211.817128641101,4
750000,5354.25590741349,4
775000,4524.080706948864,4
800000,5161.5911397767495,4
825000,5149.249143144573,4
850000,4991.983071818831,4
875000,5094.504749647545,4
900000,5097.303010525299,4
925000,4759.156698302967,4
950000,5070.30853039639,4
975000,4886.544245767048,4
1000000,5354.25590741349,4
0,97.5669540881363,5
25000,98.74297091025502,5
50000,310.30547593361234,5
75000,459.938444295814,5
100000,696.0481939402998,5
125000,665.9921252681172,5
150000,806.0062418251921,5
175000,856.5279191731231,5
200000,1083.4007512659668,5
225000,1320.7426940685934,5
250000,2427.8943270213585,5
275000,1768.6242655654448,5
300000,2238.593304945926,5
325000,2956.137542647286,5
350000,3746.192174366237,5
375000,4716.749262739212,5
400000,4765.58949817968,5
425000,4698.762219547772,5
450000,5159.305604978863,5
475000,5387.2289605719725,5
500000,5113.802978868095,5
525000,4276.704602155976,5
550000,4483.200902906863,5
575000,5167.04825130011,5
600000,5042.015308383817,5
625000,5135.37625322655,5
650000,4267.398687157624,5
675000,5228.320630398995,5
700000,5424.076434100012,5
725000,5602.462493553295,5
750000,4824.864060930669,5
775000,4064.84087472008,5
800000,5442.755295891199,5
825000,5606.205409872049,5
850000,5562.195896245392,5
875000,5251.129346751645,5
900000,5486.770087461314,5
925000,5397.645299006402,5
950000,5472.743560484667,5
975000,5043.912962697859,5
1000000,5606.205409872049,5
0,95.52255852915629,6
25000,96.65804611939588,6
50000,408.62841658700006,6
75000,461.4138370599997,6
100000,512.4728627089441,6
125000,500.38592203659255,6
150000,812.6359763913256,6
175000,850.3266586848338,6
200000,721.0588883019228,6
225000,1178.9280539490164,6
250000,1582.0736488884015,6
275000,1217.2918531658895,6
300000,1821.21044445566,6
325000,1842.2112878159423,6
350000,3406.212235554849,6
375000,3391.0132983203257,6
400000,4942.886755755548,6
425000,4687.916638583301,6
450000,4498.408971129484,6
475000,4877.625479269511,6
500000,4138.114455371078,6
525000,3840.207125435364,6
550000,4612.840432032303,6
575000,4039.7477873161743,6
600000,3189.797867013609,6
625000,4772.383586625132,6
650000,4241.852809341223,6
675000,5097.235320867426,6
700000,4784.114286591086,6
725000,4918.561693653532,6
750000,4688.574020099828,6
775000,4956.412789944679,6
800000,4768.371031221481,6
825000,4803.306811945,6
850000,4532.770719586118,6
875000,4571.548780425612,6
900000,5084.830160461171,6
925000,4838.291318852503,6
950000,4322.685622903969,6
975000,5027.114891139003,6
1000000,5097.235320867426,6
0,192.5579996287504,7
25000,177.61721502958056,7
50000,437.19349614674246,7
75000,353.44282576332586,7
100000,402.5223331793204,7
125000,449.4928927189648,7
150000,698.7443209560583,7
175000,689.1030475292335,7
200000,935.4049840765758,7
225000,1162.7470435945122,7
250000,943.7632988575951,7
275000,1359.6943655197033,7
300000,2321.029702300905,7
325000,2945.9475274183205,7
350000,2934.172479588341,7
375000,3033.4375818618337,7
400000,4017.206983905899,7
425000,3479.7469854210844,7
450000,4486.906465223561,7
475000,3827.4346770252887,7
500000,5011.594872816153,7
525000,5113.851060766569,7
550000,4408.370613068008,7
575000,4233.745355910845,7
600000,4451.76009005567,7
625000,4720.922638770715,7
650000,4885.934432715767,7
675000,5007.497419546477,7
700000,4968.99917954386,7
725000,4974.419279433518,7
750000,5060.462853109764,7
775000,4858.351544830794,7
800000,5090.0851126196085,7
825000,4661.426086491368,7
850000,5006.667357760329,7
875000,4934.7103573544,7
900000,5255.696303889915,7
925000,5282.047443488145,7
950000,5289.9834798068205,7
975000,3917.2951749956496,7
1000000,5289.9834798068205,7
0,168.46301418965314,8
25000,172.70415925608535,8
50000,202.0305562767641,8
75000,482.78536023394224,8
100000,397.3131699227118,8
125000,403.85839602422527,8
150000,545.7620456024949,8
175000,573.1725326376204,8
200000,761.7765802093293,8
225000,1116.1211816743094,8
250000,1337.8311014066128,8
275000,1472.9051310077618,8
300000,1133.9396171166509,8
325000,2314.613002639381,8
350000,3292.3160675843683,8
375000,4417.912998483197,8
400000,3036.1152575085407,8
425000,2653.791450972169,8
450000,4468.460345858484,8
475000,3817.8607970291473,8
500000,4950.831687095566,8
525000,4309.669301058717,8
550000,5210.892311063478,8
575000,4945.6637416329095,8
600000,4636.321696615471,8
625000,5201.867603391374,8
650000,4909.609574361409,8
675000,4877.584210586203,8
700000,5261.989234523166,8
725000,4808.059447337151,8
750000,5430.626578876316,8
775000,5323.103045891328,8
800000,5156.127889515565,8
825000,5161.80120529776,8
850000,5367.794059663659,8
875000,4767.723216795308,8
900000,5341.10376884912,8
925000,5393.691154911746,8
950000,5332.144992583864,8
975000,5003.165478875685,8
1000000,5430.626578876316,8
0,310.2799496514084,9
25000,325.8261978461851,9
50000,375.5964801543896,9
75000,434.0895461596068,9
100000,521.0800415523877,9
125000,520.1280257485503,9
150000,754.8339663672571,9
175000,782.4168686123021,9
200000,1152.603665113116,9
225000,1116.4960691959373,9
250000,1107.795715999631,9
275000,2187.3206769913995,9
300000,2397.7747055284417,9
325000,2970.7111721234205,9
350000,4447.005519179973,9
375000,3607.782093554496,9
400000,3480.443478721797,9
425000,3465.4111601988307,9
450000,4411.560367167765,9
475000,3029.0415227156145,9
500000,4285.805292605705,9
525000,4876.0345594329565,9
550000,4974.289935188795,9
575000,4681.468109057635,9
600000,4932.073996077475,9
625000,4539.537138883435,9
650000,3681.0708727094047,9
675000,5217.683758022175,9
700000,4417.692215286819,9
725000,4859.153574707447,9
750000,4904.434142357206,9
775000,4916.27632337399,9
800000,5151.605223229513,9
825000,4634.114362616378,9
850000,5056.4411216100825,9
875000,5069.047908022922,9
900000,5015.604031257055,9
925000,5323.910814903733,9
950000,5052.122613733909,9
975000,5207.500086106376,9
1000000,5323.910814903733,9
