step,reward,seed
1,104.1804209,0
25000,682.5221712000001,0
50000,848.5234914,0
75000,1106.2492893,0
100000,5460.2566579,0
125000,4546.6280183,0
150000,6080.8810697,0
175000,6893.858361900001,0
200000,7086.9299312,0
225000,1467.1319328999998,0
250000,4144.5661446,0
275000,6902.6855093,0
300000,7826.0084298,0
325000,8007.558601300001,0
350000,6078.7829704000005,0
375000,8359.7814713,0
400000,8712.2844515,0
425000,8664.431935499999,0
450000,8804.095190699998,0
475000,8634.7457899,0
500000,8245.4134585,0
525000,9225.3333157,0
550000,9271.1569286,0
575000,9176.5552884,0
600000,4687.3355842,0
625000,9367.8643352,0
650000,9568.792271,0
675000,9772.0522521,0
700000,9679.1376677,0
725000,9388.3040753,0
750000,9731.4319077,0
775000,9622.9586418,0
800000,9752.8014546,0
825000,9853.5248926,0
850000,9842.251984500002,0
875000,10103.592520000002,0
900000,9824.182242,0
925000,8144.2959261,0
950000,10158.3579242,0
975000,9694.7616567,0
1000000,10165.9357298,0
1,72.6932366,1
25000,411.4999772,1
50000,431.327975,1
75000,885.4223838,1
100000,1643.6470992000002,1
125000,797.1533651,1
150000,2569.9016621,1
175000,1045.1916004999998,1
200000,6488.5163166,1
225000,315.7369916,1
250000,6088.7261058,1
275000,4332.8926193,1
300000,8076.625781199999,1
325000,8718.892421,1
350000,8412.851573,1
375000,8937.447126399999,1
400000,7302.2236676,1
425000,9220.2752866,1
450000,5613.8461118,1
475000,7711.403941699999,1
500000,6405.893820200001,1
525000,9787.6192237,1
550000,9559.537616499998,1
575000,8557.500334299999,1
600000,9723.5521037,1
625000,6728.861710499999,1
650000,8958.4620722,1
675000,10056.935390299996,1
700000,7675.340969199999,1
725000,9962.0225314,1
750000,9998.989198699996,1
775000,10132.4785293,1
800000,4151.379859999999,1
825000,9007.0299385,1
850000,10251.0657398,1
875000,10196.701466399998,1
900000,1438.3541908,1
925000,10210.250497099998,1
950000,9294.4094156,1
975000,10316.7303611,1
1000000,10384.2956357,1
1,129.3295505,2
25000,701.485762,2
50000,821.4333801,2
75000,1124.6625871,2
100000,3643.4449087,2
125000,3240.6448018,2
150000,1312.65913,2
175000,6583.7407902,2
200000,1676.4898884000002,2
225000,5675.5322124,2
250000,7255.5056288,2
275000,8229.3383765,2
300000,8261.6466632,2
325000,7808.486717800001,2
350000,8766.8018581,2
375000,3368.2820061,2
400000,9014.8164892,2
425000,8676.072928000001,2
450000,9272.5074385,2
475000,7795.2555024,2
500000,9676.967219200002,2
525000,8638.893271699999,2
550000,8053.1012659,2
575000,9578.4475189,2
600000,9790.5038605,2
625000,9937.7500073,2
650000,9805.6775504,2
675000,10181.176955,2
700000,10261.8216929,2
725000,8872.5635324,2
750000,10447.663371,2
775000,10346.2812532,2
800000,10338.2649576,2
825000,10331.5904123,2
850000,10284.0522869,2
875000,10555.4077526,2
900000,10518.7277772,2
925000,10339.8213356,2
950000,10313.8518702,2
975000,10513.5037986,2
1000000,10648.8256254,2
1,73.37751349999999,3
25000,546.9565574,3
50000,1693.2861259999995,3
75000,914.3255478,3
100000,5208.5524346,3
125000,4486.740614199999,3
150000,1242.1189390000002,3
175000,2341.8219806,3
200000,6217.110797,3
225000,5807.154622799999,3
250000,4077.5925735,3
275000,8336.601477100001,3
300000,8359.6462883,3
325000,8564.5639325,3
350000,8591.0758523,3
375000,7172.6233514,3
400000,8689.438663600002,3
425000,7545.5757553,3
450000,9032.7871259,3
475000,8397.5025173,3
500000,8590.6918016,3
525000,8377.1913278,3
550000,9075.4341928,3
575000,9548.0142995,3
600000,8649.7910543,3
625000,9554.3087162,3
650000,8772.2596674,3
675000,9649.6741467,3
700000,9457.8896633,3
725000,8732.0494258,3
750000,9767.8526659,3
775000,8856.013498299999,3
800000,9778.793363,3
825000,10000.1915855,3
850000,9974.381188,3
875000,9957.0011336,3
900000,10053.5930203,3
925000,9997.1204671,3
950000,10031.4383218,3
975000,10104.652754,3
1000000,10062.4358518,3
1,76.7847283,4
25000,650.4006380999999,4
50000,655.3869189999999,4
75000,3448.5979165,4
100000,4569.1376655,4
125000,1993.7703482,4
150000,3620.9416859,4
175000,6013.855213000001,4
200000,8101.4995544,4
225000,7314.439911299999,4
250000,8572.6671338,4
275000,9013.2988426,4
300000,5827.2347958,4
325000,8282.4539006,4
350000,8575.8716183,4
375000,9559.7551173,4
400000,9477.9363707,4
425000,3164.7480021,4
450000,7910.657921,4
475000,9526.425296799998,4
500000,9930.7807233,4
525000,9877.5130999,4
550000,9867.9390356,4
575000,10127.1663335,4
600000,9929.091038400002,4
625000,10196.0750988,4
650000,10198.3508017,4
675000,10151.0235995,4
700000,9302.8422557,4
725000,10244.1231034,4
750000,6371.305021599999,4
775000,10272.2631801,4
800000,10300.0231572,4
825000,10289.70234,4
850000,10403.9400107,4
875000,10468.417600099998,4
900000,10321.204164899998,4
925000,8626.0170353,4
950000,10576.2422722,4
975000,10560.285720000002,4
1000000,10188.0586321,4
1,74.11222369999999,5
25000,671.8604727999999,5
50000,746.4005024,5
75000,2791.0675280000005,5
100000,4865.7603365,5
125000,1689.6760020999998,5
150000,1284.4264191999998,5
175000,518.5438568,5
200000,2885.3586962,5
225000,6985.925268699999,5
250000,7813.421213699999,5
275000,6783.090218199999,5
300000,9240.7491904,5
325000,9396.5013631,5
350000,8854.6744096,5
375000,9310.347331100002,5
400000,8662.761685300002,5
425000,7174.4579719,5
450000,9788.141178100002,5
475000,8879.154330599999,5
500000,10033.1606238,5
525000,437.4303214,5
550000,6274.2965976000005,5
575000,10048.0800642,5
600000,9330.375680599998,5
625000,3777.272611800001,5
650000,10028.6764987,5
675000,10549.834887,5
700000,10346.5179693,5
725000,10305.8461033,5
750000,10322.3694173,5
775000,10482.628613600002,5
800000,10343.7052466,5
825000,10457.9372425,5
850000,10526.7179945,5
875000,10260.6479667,5
900000,10516.1612058,5
925000,7354.9250573,5
950000,10553.9444469,5
975000,8666.3361381,5
1000000,10514.6509776,5
1,76.30277700000002,6
25000,653.578217,6
50000,549.2494377,6
75000,1515.7539054,6
100000,4378.9628845,6
125000,2394.9998504,6
150000,1682.2130573000002,6
175000,4526.533592599999,6
200000,4927.7253609,6
225000,7788.772929999999,6
250000,7177.4079578,6
275000,5247.515493100001,6
300000,7811.507160800002,6
325000,8165.203667300001,6
350000,8172.199612300001,6
375000,6939.028160600001,6
400000,8616.502019999998,6
425000,4900.1646622,6
450000,8952.618011300001,6
475000,9160.7893097,6
500000,9302.2097377,6
525000,9419.3032316,6
550000,9359.8336275,6
575000,9627.3146778,6
600000,9628.1158226,6
625000,9670.4014406,6
650000,6171.9172061,6
675000,9143.6277599,6
700000,9995.5009152,6
725000,9113.188000500002,6
750000,9974.325038,6
775000,8123.032078599999,6
800000,5463.0249911,6
825000,9374.2128718,6
850000,10328.7830841,6
875000,10448.2170199,6
900000,10490.730136900002,6
925000,9461.561386,6
950000,10444.1915617,6
975000,10760.1748831,6
1000000,10600.647708,6
1,155.42014909999995,7
25000,528.3969652,7
50000,887.1692500000001,7
75000,1200.8461985,7
100000,4113.6455807,7
125000,3189.0056171999995,7
150000,1631.9092264,7
175000,5888.6381509,7
200000,2183.4636401,7
225000,7485.3953033,7
250000,8199.7846779,7
275000,7835.8567641,7
300000,6510.657692400001,7
325000,7061.566437500001,7
350000,8979.2127136,7
375000,9336.740859499998,7
400000,9227.324318,7
425000,9496.3067737,7
450000,9819.3619458,7
475000,10013.6719206,7
500000,9975.2266888,7
525000,9919.4891903,7
550000,10132.9614989,7
575000,9861.1215244,7
600000,9214.4346687,7
625000,10164.2959853,7
650000,10052.493745899998,7
675000,10326.7424896,7
700000,10382.1865562,7
725000,10414.3421954,7
750000,7582.3534617,7
775000,10336.0286394,7
800000,10403.6275376,7
825000,10669.8991228,7
850000,10496.8976232,7
875000,10628.7082965,7
900000,10588.8066143,7
925000,10573.3608251,7
950000,10729.403170799998,7
975000,10876.0732847,7
1000000,10641.4866677,7
1,66.90394310000002,8
25000,422.5938943,8
50000,666.3853597,8
75000,3041.9383302,8
100000,2933.5546064,8
125000,550.582426,8
150000,1477.0252523,8
175000,5962.1246537,8
200000,6922.593005699999,8
225000,3095.3855359,8
250000,8526.704514,8
275000,8974.568744400001,8
300000,8321.5346408,8
325000,9374.151661300002,8
350000,7856.340637300001,8
375000,7887.080921000001,8
400000,9757.2447584,8
425000,9650.575944699998,8
450000,9897.3154102,8
475000,9816.5002642,8
500000,10022.9360991,8
525000,9753.477357,8
550000,10365.7308196,8
575000,10290.2061177,8
600000,9032.0915421,8
625000,8646.7442348,8
650000,6407.095430899999,8
675000,10077.2289753,8
700000,10392.0491656,8
725000,6560.6045986,8
750000,2466.1453403,8
775000,10394.7105765,8
800000,10335.6445409,8
825000,10440.7443405,8
850000,2436.7112511,8
875000,10439.0227025,8
900000,10421.202265,8
925000,10722.9657448,8
950000,10377.8668936,8
975000,10548.3722324,8
1000000,10673.7291554,8
1,131.5405102,9
25000,631.0837409,9
50000,651.2629415,9
75000,3910.9138359,9
100000,477.5452805,9
125000,3072.8377732,9
150000,2973.4292975,9
175000,389.8253138,9
200000,5271.2797413,9
225000,7610.375431399999,9
250000,7890.9006181,9
275000,7766.408861599999,9
300000,8362.288513899999,9
325000,3068.2300438,9
350000,8764.081753800001,9
375000,8922.257367,9
400000,8976.433846900001,9
425000,7665.140706699999,9
450000,9313.7226444,9
475000,9257.0257118,9
500000,6722.295446100002,9
525000,9719.616823199998,9
550000,8767.6449989,9
575000,9763.4869084,9
600000,9995.1392147,9
625000,7066.569993200001,9
650000,9816.1864228,9
675000,8351.2108042,9
700000,9546.031301,9
725000,10007.2836489,9
750000,10068.7930893,9
775000,9107.379034,9
800000,10238.8304689,9
825000,10170.2979601,9
