step,reward,seed
0,179.34329251463333,0
25000,313.9251300716544,0
50000,467.0954905073721,0
75000,501.0384542813675,0
100000,515.2037203704334,0
125000,859.7042176633498,0
150000,1062.2951470192215,0
175000,2365.1006772298538,0
200000,4117.28253958464,0
225000,4194.899905033464,0
250000,4767.5548497876825,0
275000,2107.642527904648,0
300000,4123.547574786069,0
325000,4007.625910915061,0
350000,4024.7955151035176,0
375000,3599.3563278328525,0
400000,4808.660370812797,0
425000,4392.7495678221085,0
450000,4067.544970922057,0
475000,5341.020396384046,0
500000,4621.602127674028,0
525000,4909.769156816818,0
550000,5202.4840599642175,0
575000,4079.2512372795695,0
600000,4954.737846746747,0
625000,5123.14292717885,0
650000,5419.659688812501,0
675000,5418.536283948191,0
700000,5300.65415452142,0
725000,4994.670206938882,0
750000,5358.104276158667,0
775000,5306.829242867643,0
800000,5357.029071516239,0
825000,5389.293487004054,0
850000,5196.319958158352,0
875000,5358.408281425735,0
900000,3993.851219181784,0
925000,5487.430567746274,0
950000,5394.405418650817,0
975000,5281.481988390585,0
1000000,5487.430567746274,0
0,82.81967204134209,1
25000,437.6858865948869,1
50000,428.2299864631959,1
75000,546.8374725152369,1
100000,460.4186569305971,1
125000,756.8876588554851,1
150000,1061.1695031665993,1
175000,1173.3505394161448,1
200000,1541.8634004458102,1
225000,1972.1325280569229,1
250000,2182.0471851340035,1
275000,4687.036593739212,1
300000,3878.186566674476,1
325000,4781.665444683895,1
350000,2886.0024185518187,1
375000,4722.969658870769,1
400000,4658.688715592385,1
425000,4754.566002153206,1
450000,2931.5040257957608,1
475000,4360.999865663371,1
500000,4624.801578701474,1
525000,5242.832564914055,1
550000,4864.173146769679,1
575000,5355.57951422153,1
600000,4256.180059566593,1
625000,5285.706039068394,1
650000,5323.5689298184425,1
675000,4289.19852790969,1
700000,4630.451458257728,1
725000,4917.548446365423,1
750000,4377.758126956485,1
775000,5268.617195974157,1
800000,4967.886517355303,1
825000,5127.823434199257,1
850000,5243.786321532112,1
875000,3980.1341295872858,1
900000,5415.928390816628,1
925000,4913.875379945676,1
950000,5454.465833084892,1
975000,5188.473710400094,1
1000000,5454.465833084892,1
0,109.4748077417672,2
25000,484.6219231769913,2
50000,514.640615139477,2
75000,558.2242453083583,2
100000,730.6552827882768,2
125000,916.6387819241892,2
150000,1009.7045961062136,2
175000,1195.1653955013635,2
200000,1543.049290794144,2
225000,2133.937843528716,2
250000,1666.7276733215228,2
275000,1969.022592583108,2
300000,4352.159862492596,2
325000,3998.6633644004896,2
350000,2820.4235959349844,2
375000,3462.781997027673,2
400000,3548.6258315707246,2
425000,4213.177661254913,2
450000,4860.61233804102,2
475000,5376.337327246804,2
500000,5356.242351062978,2
525000,4335.229380384158,2
550000,4553.454886206218,2
575000,5457.351493178357,2
600000,4597.9343866625295,2
625000,5194.256677516982,2
650000,5051.446865681084,2
675000,3145.410710503233,2
700000,4229.293137664061,2
725000,4642.581713082597,2
750000,4922.228217088982,2
775000,5177.117183870612,2
800000,5233.987803096182,2
825000,5339.860646361487,2
850000,5210.409868000483,2
875000,5282.119910610547,2
900000,5463.0493161520935,2
925000,5390.676323430996,2
950000,5004.708476976437,2
975000,5415.170092218163,2
1000000,5463.0493161520935,2
0,168.99160148714816,3
25000,390.4951689594758,3
50000,426.39559666853904,3
75000,545.6611254904258,3
100000,778.0615884816427,3
125000,784.1711592968314,3
150000,908.4209762214912,3
175000,1029.2779238649937,3
200000,1798.2807116758645,3
225000,1769.474783131912,3
250000,1644.3270477201845,3
275000,3800.778652013232,3
300000,4196.648789329894,3
325000,4877.02009064732,3
350000,4608.843801639464,3
375000,4115.357740050895,3
400000,4065.229133720684,3
425000,4792.280196452082,3
450000,5319.074774071771,3
475000,5088.61203260472,3
500000,5256.519425182383,3
525000,5290.618836555728,3
550000,5238.1209100394935,3
575000,4926.449531315151,3
600000,5219.358462653216,3
625000,4532.768897639359,3
650000,5297.855498652234,3
675000,5202.277291524466,3
700000,5191.618374919561,3
725000,5408.482166781755,3
750000,5290.056147876907,3
775000,5370.201170698107,3
800000,5394.885972508546,3
825000,5348.069189141464,3
850000,5248.45147958672,3
875000,5343.007704576308,3
900000,5527.358824632302,3
925000,5401.539514639402,3
950000,5500.7133893296,3
975000,4508.7574766038,3
1000000,5527.358824632302,3
0,161.30191518238823,4
25000,402.1707989380851,4
50000,455.32400401703296,4
75000,517.8335398642719,4
100000,503.8148775264128,4
125000,705.6901757499112,4
150000,922.0850681310764,4
175000,999.7655708732112,4
200000,1299.053998126843,4
225000,1391.3355040844183,4
250000,1038.2424717948577,4
275000,1759.741905322539,4
300000,3202.4903671958587,4
325000,2947.0250563752725,4
350000,3007.6860183236317,4
375000,3598.247596356547,4
400000,3545.876184494111,4
425000,4670.736692309035,4
450000,4085.3015479482074,4
475000,4517.923481221337,4
500000,4278.166908028599,4
525000,5001.341412304775,4
550000,5269.234649343579,4
575000,5149.084805208595,4
600000,4051.452757286512,4
625000,5270.387987806916,4
650000,5158.341188537469,4
675000,5154.253641232392,4
700000,5177.773056757504,4
725000,5127.743195886159,4
750000,5147.82442609121,4
775000,5361.613616970071,4
800000,5211.656942141343,4
825000,5173.456877580153,4
850000,5289.745640177517,4
875000,5196.776724129844,4
900000,4884.129735875051,4
925000,5374.455546574513,4
950000,5496.896898434339,4
975000,4994.144516751771,4
1000000,5496.896898434339,4
0,108.62922491325642,5
25000,239.9963046555248,5
50000,413.2260363838168,5
75000,478.5700817121593,5
100000,531.891969602282,5
125000,818.2659730293306,5
150000,889.0192872061843,5
175000,2585.5421041924465,5
200000,2884.370143383904,5
225000,2083.8380674851533,5
250000,3951.623474576671,5
275000,2837.5403194024666,5
300000,4463.824348380894,5
325000,4402.301068092184,5
350000,4874.110905352007,5
375000,3391.033988846485,5
400000,4343.948390556197,5
425000,4738.521039077416,5
450000,3428.307261779661,5
475000,4445.935628407956,5
500000,267.3780314361388,5
525000,5145.862783590351,5
550000,4791.913269022001,5
575000,4551.970402449085,5
600000,5245.607633380128,5
625000,5144.615106703708,5
650000,5254.342680687858,5
675000,5176.799635842974,5
700000,5372.500023365016,5
725000,5457.462367043955,5
750000,5348.122145230121,5
775000,5340.000177877732,5
800000,5203.5500579628015,5
825000,5439.298328038819,5
850000,5272.0499705316215,5
875000,5423.471403778825,5
900000,5360.817321639193,5
925000,5365.522612207855,5
950000,5181.599953555705,5
975000,5371.194360288261,5
1000000,5457.462367043955,5
0,293.84530528182194,6
25000,366.8931736822151,6
50000,500.8855167293276,6
75000,565.9242214510316,6
100000,718.1695606428797,6
125000,853.9240788935934,6
150000,1152.343272772196,6
175000,1114.9220064654191,6
200000,1000.3187333074502,6
225000,1732.1767136135563,6
250000,4256.83053373351,6
275000,4722.606022384982,6
300000,2067.801694894084,6
325000,2889.153003480441,6
350000,5097.3600158353165,6
375000,4530.210066945688,6
400000,4642.116419119188,6
425000,2143.2168430885445,6
450000,4365.692020085222,6
475000,4098.882363031001,6
500000,5038.034666769374,6
525000,4713.92194930102,6
550000,4794.129655817304,6
575000,5278.153029590079,6
600000,4321.159805866883,6
625000,4617.0739838502695,6
650000,4682.078809667897,6
675000,4247.067913468,6
