step,reward,seed
0,-1554.4981503269448,0
25000,-1462.0779050518936,0
50000,-134.08313690963422,0
75000,-165.39454392624137,0
100000,-167.02250428580928,0
125000,-165.53825457812349,0
150000,-116.13841428548494,0
175000,-150.707158696575,0
200000,-146.71760004688795,0
225000,-130.51553733780824,0
250000,-164.7538169800094,0
275000,-144.49817509004944,0
300000,-166.27565383314936,0
325000,-158.9605995163576,0
350000,-100.70202431184146,0
375000,-132.7407040616818,0
400000,-163.3602491390416,0
425000,-133.9639274438694,0
450000,-158.27204668768508,0
475000,-142.42375937637567,0
500000,-106.59123655006871,0
525000,-101.41924071406878,0
550000,-182.55665939246,0
575000,-127.6365715380607,0
600000,-100.7721088739206,0
625000,-125.88434427406294,0
650000,-123.87522801747414,0
675000,-186.53926207441432,0
700000,-149.21954731391722,0
725000,-124.9197448723999,0
750000,-167.47499849492542,0
775000,-146.97602541200257,0
800000,-130.80226275972825,0
825000,-191.86973555005903,0
850000,-191.50844157644173,0
875000,-158.96722917231068,0
900000,-152.23889153799956,0
925000,-136.30124787443245,0
950000,-158.88347033097986,0
975000,-116.90222228591584,0
1000000,-100.70202431184146,0
0,-1378.6321635699917,1
25000,-1354.483469338414,1
50000,-197.55268749537785,1
75000,-250.46003736185295,1
100000,-98.80225804264954,1
125000,-223.4636271181961,1
150000,-100.92567570448612,1
175000,-196.06320493555216,1
200000,-196.18305177480656,1
225000,-154.79825863520904,1
250000,-203.66937623666743,1
275000,-122.17061642952402,1
300000,-175.1073178718633,1
325000,-174.0697217179588,1
350000,-174.94464022702817,1
375000,-176.17395931822284,1
400000,-229.0105272148115,1
425000,-211.38712789356697,1
450000,-213.5321804797196,1
475000,-239.6921286557002,1
500000,-166.4639264913644,1
525000,-267.75493823548953,1
550000,-257.33343941455735,1
575000,-220.2694171476516,1
600000,-268.4268260681156,1
625000,-180.75895992253484,1
650000,-230.96625812006292,1
675000,-177.05342266709937,1
700000,-197.61024905325365,1
725000,-218.32120816814304,1
750000,-166.34320537287687,1
775000,-188.64712850133623,1
800000,-205.4621944060584,1
825000,-225.0020235887509,1
850000,-180.2643554320608,1
875000,-187.65573773148495,1
900000,-224.25017246906765,1
925000,-193.80079417644143,1
950000,-186.77089757121493,1
975000,-167.50613903663825,1
1000000,-98.80225804264954,1
0,-1434.1107039895512,2
25000,-1418.1432119350925,2
50000,-1324.0914767997024,2
75000,-154.07728259653584,2
100000,-165.015301032976,2
125000,-74.30269411254343,2
150000,-144.51443442499422,2
175000,-151.11463796903416,2
200000,-204.1961185222846,2
225000,-146.76073789044315,2
250000,-181.10993393498745,2
275000,-154.37877652066376,2
300000,-151.82018724211883,2
325000,-166.85491303559212,2
350000,-159.5269517643756,2
375000,-138.59674066430787,2
400000,-150.5140363498298,2
425000,-133.12239950365657,2
450000,-124.27169425819292,2
475000,-107.00206120331843,2
500000,-168.05883542690333,2
525000,-121.14635587543157,2
550000,-126.58819810552129,2
575000,-142.75282975911395,2
600000,-148.81053467578337,2
625000,-127.46878979339576,2
650000,-172.7833970304475,2
675000,-131.2045932868041,2
700000,-107.91011086877944,2
725000,-151.29800732224774,2
750000,-121.5754472223002,2
775000,-149.27267526403878,2
800000,-134.49620315958103,2
825000,-84.82525187620865,2
850000,-127.51127298091652,2
875000,-163.30943104819193,2
900000,-129.94725361292623,2
925000,-183.31799442350984,2
950000,-143.97433974429944,2
975000,-179.31871942698834,2
1000000,-74.30269411254343,2
0,-1600.479621899856,3
25000,-1650.45522928095,3
50000,-176.78517905604818,3
75000,-163.1912233008335,3
100000,-112.93511922230093,3
125000,-140.97827251600563,3
150000,-128.4170254951361,3
175000,-159.7273043608884,3
200000,-140.65573516521417,3
225000,-175.1985508925639,3
250000,-161.3951981114739,3
275000,-83.41554332321324,3
300000,-181.68246405227796,3
325000,-189.72823329779607,3
350000,-141.3032070616037,3
375000,-166.83950114254975,3
400000,-152.21776659273945,3
425000,-109.8560706549968,3
450000,-147.95499362209543,3
475000,-148.7624918294232,3
500000,-177.58635667715552,3
525000,-148.41208373053095,3
550000,-170.32822279626322,3
575000,-174.90319104954386,3
600000,-143.3516966323956,3
625000,-120.7849040227608,3
650000,-170.95779566481104,3
675000,-117.77229546392968,3
700000,-121.05934593869524,3
725000,-207.4530451291536,3
750000,-174.93657231182792,3
775000,-124.16296686105538,3
800000,-174.80750024893186,3
825000,-135.7229158395588,3
850000,-133.96117212925012,3
875000,-133.5724652084213,3
900000,-129.71300947300568,3
925000,-152.4965264176094,3
950000,-118.79646520292064,3
975000,-141.5920409014424,3
1000000,-83.41554332321324,3
0,-1349.971594072737,4
25000,-1200.1036598198314,4
50000,-166.59499010138265,4
75000,-144.83184189869883,4
100000,-143.94412348986887,4
125000,-119.97766444739734,4
150000,-196.22641821586632,4
175000,-142.68419552292937,4
200000,-134.25744829758736,4
225000,-119.91117688291644,4
250000,-131.17186520904244,4
275000,-153.87582858478572,4
300000,-168.94446798471557,4
325000,-130.75899086052192,4
350000,-185.5153703946497,4
375000,-149.23608432551387,4
400000,-97.27109793940852,4
425000,-161.02992564987898,4
450000,-117.91275204126582,4
475000,-153.05902576923984,4
500000,-129.09285749108523,4
525000,-106.04442942396466,4
550000,-164.9820750627055,4
575000,-129.88000772057126,4
600000,-107.68007812918876,4
625000,-147.78011594129677,4
650000,-194.18781458216156,4
675000,-107.72627980969096,4
700000,-116.59626846115688,4
725000,-151.91891018775237,4
750000,-109.48829494300172,4
775000,-134.09967922911284,4
800000,-135.28782367900808,4
825000,-132.41551762340166,4
850000,-150.6231190902988,4
875000,-173.114358262019,4
900000,-136.91820269372198,4
925000,-166.24886733618854,4
950000,-146.94447658515193,4
975000,-154.2210630563004,4
1000000,-97.27109793940852,4
0,-1400.0931972497715,5
25000,-1440.8286855685226,5
50000,-123.58353769659432,5
75000,-110.99560299854788,5
100000,-173.5655412240118,5
125000,-119.26245390172636,5
150000,-151.53753341097695,5
175000,-123.80896335072366,5
200000,-193.81973131828585,5
225000,-179.4853832481378,5
250000,-144.76957466844894,5
275000,-96.5247891762333,5
300000,-122.05206555540806,5
325000,-191.3468026302035,5
350000,-139.50619186069224,5
375000,-125.18335421873203,5
400000,-123.61468482262056,5
425000,-155.4872859991902,5
450000,-146.7727759087333,5
475000,-146.1537444080984,5
500000,-199.89674720990985,5
525000,-154.7387102136727,5
550000,-174.6770949921515,5
575000,-143.82975518862582,5
600000,-150.16033083448676,5
625000,-143.7883409518052,5
650000,-181.3607765364478,5
675000,-122.16142142325408,5
700000,-100.51154106553793,5
725000,-119.84490988296446,5
750000,-182.9057500916378,5
775000,-110.17473927864594,5
800000,-77.67015636676074,5
825000,-135.35336837409318,5
850000,-155.2199159686995,5
875000,-143.52761736215865,5
900000,-97.36623482655168,5
925000,-107.76698618441264,5
950000,-160.53192125675895,5
975000,-156.26712944001432,5
1000000,-77.67015636676074,5
0,-1292.669904729968,6
25000,-1322.4943710192506,6
50000,-144.57086301065536,6
