step,reward,seed
1,-1584.0704052,0
25000,-153.3121395,0
50000,-179.27843700000005,0
75000,-200.2628781,0
100000,-163.38567040000004,0
125000,-128.8244439,0
150000,-127.5888968,0
175000,-158.9453229,0
200000,-144.2716274,0
225000,-140.019634,0
250000,-149.7439672,0
275000,-143.9454279,0
300000,-181.2715656,0
325000,-186.6283522,0
350000,-97.7656452,0
375000,-137.0585248,0
400000,-132.858813,0
425000,-129.9108779,0
450000,-128.81439170000002,0
475000,-119.0419695,0
500000,-190.4825134,0
525000,-103.1108644,0
550000,-173.7809144,0
575000,-116.0137721,0
600000,-145.37467109999997,0
625000,-156.3593669,0
650000,-162.09807800000002,0
675000,-189.9644747,0
700000,-197.5364325,0
725000,-122.06980099999998,0
750000,-151.7511019,0
775000,-128.4724565,0
800000,-134.9129016,0
825000,-156.4903775,0
850000,-129.95762259999998,0
875000,-168.5625037,0
900000,-145.0913518,0
925000,-121.2397943,0
950000,-119.4322559,0
975000,-127.7903348,0
1000000,-105.4748899,0
1,-1666.1854274999998,1
25000,-135.7501223,1
50000,-161.2066584,1
75000,-156.1375391,1
100000,-143.6568438,1
125000,-165.8522905,1
150000,-154.4007575,1
175000,-142.60549559999998,1
200000,-94.4359575,1
225000,-165.8477396,1
250000,-132.3073068,1
275000,-131.092408,1
300000,-153.6362385,1
325000,-118.5019664,1
350000,-162.7285039,1
375000,-157.21103549999998,1
400000,-141.79169850000002,1
425000,-154.0176975,1
450000,-138.8356302,1
475000,-176.4627547,1
500000,-130.4121936,1
525000,-144.859312,1
550000,-160.75842,1
575000,-133.47991100000002,1
600000,-138.4198586,1
625000,-152.59351329999998,1
650000,-162.5259164,1
675000,-140.019534,1
700000,-155.5523834,1
725000,-202.365948,1
750000,-160.21101579999998,1
775000,-144.7933551,1
800000,-121.5883861,1
825000,-176.44979859999998,1
850000,-150.2721655,1
875000,-135.31103560000005,1
900000,-193.5937607,1
925000,-118.1389138,1
950000,-172.0200883,1
975000,-122.59466840000002,1
1000000,-141.6504187,1
1,-1583.3980298,2
25000,-142.81633079999995,2
50000,-133.9394641,2
75000,-131.2169647,2
100000,-118.4965983,2
125000,-143.1488569,2
150000,-165.8481028,2
175000,-130.0055726,2
200000,-133.4307195,2
225000,-130.9432362,2
250000,-141.83016529999998,2
275000,-186.35824610000003,2
300000,-144.3740235,2
325000,-131.57946350000003,2
350000,-128.80568309999998,2
375000,-131.5187605,2
400000,-157.2652142,2
425000,-141.4892719,2
450000,-143.0489261,2
475000,-193.3576867,2
500000,-137.4830393,2
525000,-82.40741399999999,2
550000,-146.1274627,2
575000,-141.8230614,2
600000,-141.47714460000003,2
625000,-84.54297060000002,2
650000,-179.00306600000002,2
675000,-132.59470389999998,2
