step,reward,seed
0,-1264.7823781049078,0
25000,-204.42163801023884,0
50000,-194.3084903280196,0
75000,-140.7103884450209,0
100000,-113.26872779088356,0
125000,-129.97239205834347,0
150000,-117.76949763571706,0
175000,-185.39410353717443,0
200000,-109.23842735407295,0
225000,-143.41448504881956,0
250000,-119.37288578357592,0
275000,-165.46457390631528,0
300000,-153.3557362324325,0
325000,-130.47102865034122,0
350000,-154.6209013949235,0
375000,-153.82235025646565,0
400000,-165.86146946496575,0
425000,-142.5970596051272,0
450000,-96.67366097224914,0
475000,-140.283135380923,0
500000,-144.58889208125763,0
525000,-120.9350148592627,0
550000,-140.9577713288425,0
575000,-120.92172893348474,0
600000,-154.51392776673842,0
625000,-165.85717796599369,0
650000,-106.39229558983682,0
675000,-201.59922450534796,0
700000,-175.26634567566413,0
725000,-140.7679553409623,0
750000,-117.98837924624274,0
775000,-118.84271239325082,0
800000,-109.93439373460096,0
825000,-153.23586235800613,0
850000,-157.70316801869083,0
875000,-193.26699197514344,0
900000,-128.53377294534624,0
925000,-118.89993752522916,0
950000,-130.1116223379804,0
975000,-152.4296670568348,0
1000000,-96.67366097224914,0
0,-1220.3429639254125,1
25000,-154.0819079143089,1
50000,-152.80061904937926,1
75000,-116.90393496968731,1
100000,-151.50873954002233,1
125000,-153.31903992874967,1
150000,-158.78493946596814,1
175000,-190.286315720466,1
200000,-145.44061749118063,1
225000,-120.10891318469956,1
250000,-139.88430015809655,1
275000,-97.38178590737108,1
300000,-131.54392587795957,1
325000,-154.27462753527925,1
350000,-175.97572121298208,1
375000,-154.79036033131234,1
400000,-164.28152184977813,1
425000,-187.89745317350724,1
450000,-165.6083119703292,1
475000,-151.42331019244077,1
500000,-130.13295515691317,1
525000,-151.47419461302314,1
550000,-152.4007064307951,1
575000,-171.9583478968665,1
600000,-161.91043429566824,1
625000,-147.25005862245362,1
650000,-84.59940352375804,1
675000,-144.0866593247408,1
700000,-162.388649280773,1
725000,-95.78275472874682,1
750000,-143.26292033666965,1
775000,-195.1206972068457,1
800000,-131.0062221488833,1
825000,-146.65111530221367,1
850000,-142.8443132010792,1
875000,-167.61059286873984,1
900000,-95.4962355743146,1
925000,-145.2431506000703,1
950000,-155.13608035933868,1
975000,-118.72657565773424,1
1000000,-84.59940352375804,1
0,-1310.4431087891585,2
25000,-206.14940099465213,2
50000,-153.74051022087542,2
75000,-126.39899381035823,2
100000,-142.76627363403136,2
125000,-132.59149559881553,2
150000,-163.51018341369092,2
175000,-130.21231998917796,2
200000,-134.87849849997505,2
225000,-163.39058276147043,2
250000,-144.27258154774577,2
275000,-142.80425669942557,2
300000,-166.59127342787045,2
325000,-119.05853478019796,2
350000,-133.29584458800355,2
375000,-163.3022732806067,2
400000,-159.47676897080612,2
425000,-109.58797641796072,2
450000,-152.13198909995677,2
475000,-154.09487236492012,2
500000,-129.2036135158439,2
525000,-211.4557515056484,2
550000,-187.62717534197665,2
575000,-133.48166509557572,2
600000,-153.61743553749488,2
625000,-131.7897025269581,2
650000,-132.15402228739515,2
675000,-192.3338398467964,2
700000,-117.61482224692456,2
725000,-184.14503684471737,2
750000,-127.94259111038266,2
775000,-142.9082317700736,2
800000,-150.41865990973258,2
825000,-153.86252828997164,2
850000,-116.49075637849424,2
875000,-162.5884307524559,2
900000,-129.7180604018024,2
925000,-144.3227768359622,2
950000,-129.42305647663542,2
975000,-128.59771694681478,2
1000000,-109.58797641796072,2
0,-1466.681874388728,3
25000,-184.8993191739476,3
50000,-94.40684327008827,3
75000,-177.82508665020197,3
100000,-165.71458535186952,3
125000,-153.45085220050078,3
150000,-212.8568155822257,3
175000,-143.4512045732591,3
200000,-166.68714512414812,3
225000,-178.46034131657993,3
250000,-141.19758889334153,3
275000,-115.09122043266844,3
300000,-173.7849774631231,3
325000,-120.19115975695816,3
350000,-155.53362820802096,3
375000,-160.45926660659725,3
400000,-177.92371504860543,3
425000,-105.16575583723386,3
450000,-155.8062778139087,3
475000,-104.96357786114577,3
500000,-122.22329109901008,3
525000,-133.40324588899682,3
550000,-131.9130773506671,3
575000,-97.67521640734614,3
600000,-180.76708302145715,3
625000,-143.86992450853637,3
650000,-117.81612604096476,3
675000,-140.7069782430683,3
700000,-131.65110109505528,3
725000,-151.9750443788031,3
750000,-118.74110004313285,3
775000,-119.56198687271169,3
800000,-154.09552575952284,3
825000,-150.49345655866577,3
850000,-133.3907870393545,3
875000,-129.7002712756678,3
900000,-136.01400949588364,3
925000,-117.60828533477294,3
950000,-108.23349124732796,3
975000,-121.36022897482644,3
1000000,-94.40684327008827,3
0,-1372.2454406382697,4
25000,-175.76466080046245,4
50000,-166.44272907073383,4
75000,-133.07785979495543,4
100000,-131.23446135822266,4
125000,-107.4409133324928,4
