step,reward,seed
0,0.0,0
25000,335.8908133142167,0
50000,306.00844430769916,0
75000,517.9254286920768,0
100000,390.51018984072664,0
125000,614.8229472802279,0
150000,628.8434670203706,0
175000,661.4919773402864,0
200000,669.0784142561718,0
225000,701.002377463003,0
250000,677.8376685388191,0
275000,353.3519343729507,0
300000,672.6261961632215,0
325000,697.6578094851843,0
350000,699.3027583275623,0
375000,733.1043239835892,0
400000,742.9229009212935,0
425000,742.4136123220914,0
450000,759.3705988910915,0
475000,768.9041528403721,0
500000,790.2658777155351,0
525000,155.7926742579989,0
550000,698.535233185047,0
575000,782.3548416139901,0
600000,743.5702729619236,0
625000,799.9334373148955,0
650000,814.2663370575648,0
675000,819.9718823669742,0
700000,808.285194682279,0
725000,824.0474929116629,0
750000,831.1362930428024,0
775000,188.52033325740032,0
800000,760.0882252266196,0
825000,781.7515926529812,0
850000,803.4195844027058,0
875000,821.6581626196961,0
900000,841.2346570233701,0
925000,846.3601282309389,0
950000,866.1602738271984,0
975000,876.6687513454826,0
1000000,898.553692387517,0
0,0.0,1
25000,195.72019686611782,1
50000,451.4331834054454,1
75000,509.7662833597501,1
100000,555.1908091300832,1
125000,466.1301115670044,1
150000,612.1808228748071,1
175000,652.475935600531,1
200000,658.3506353256215,1
225000,700.7761718080262,1
250000,694.7876318231012,1
275000,458.86649789494385,1
300000,664.9481633204227,1
325000,705.107938882438,1
350000,719.204551552664,1
375000,734.4414978555753,1
400000,726.5947705816048,1
425000,714.6665221775884,1
450000,750.3995737384471,1
475000,757.7952299399882,1
500000,648.1165360603284,1
525000,236.2659699438098,1
550000,700.6278351565685,1
575000,749.8593453451515,1
600000,739.4846338982803,1
625000,776.7018232158609,1
650000,763.9083586282024,1
675000,781.7711104008913,1
700000,787.0271467030282,1
725000,790.0287599399717,1
750000,794.5587834549563,1
775000,273.1096176331359,1
800000,666.5285884295356,1
825000,766.1951300208879,1
850000,760.0706432950667,1
875000,789.1423926483986,1
900000,805.3547698358242,1
925000,808.7839564959701,1
950000,818.5690025008055,1
975000,825.2990582036516,1
1000000,842.575001478884,1
0,0.0,2
25000,317.33538856476224,2
50000,345.55464161591715,2
75000,255.82146193984528,2
100000,543.1365640568304,2
125000,599.524298113848,2
150000,634.8885344926503,2
175000,548.2944534753126,2
200000,670.2381663971464,2
225000,704.7372398109039,2
250000,708.0986799711627,2
275000,427.0188054270967,2
300000,690.7463034595437,2
325000,717.573164473329,2
350000,728.9844864184831,2
375000,643.7058581275616,2
400000,647.4745421581794,2
425000,761.7243964816531,2
450000,637.6305190574278,2
475000,798.4330552714845,2
500000,798.0442703308479,2
525000,450.37869672176896,2
550000,327.2750430232101,2
575000,756.5660015852211,2
600000,776.8226450068274,2
625000,812.1803925056362,2
650000,825.9613631333781,2
675000,807.760395841244,2
700000,843.5945913496946,2
725000,861.9982066594348,2
750000,852.1297714961469,2
775000,465.94509204799226,2
800000,759.6378078674982,2
825000,813.6539614164175,2
850000,806.4130350641623,2
875000,856.0312285607349,2
900000,846.3446640603539,2
925000,865.693325798585,2
950000,822.9093281306223,2
975000,867.1975509531827,2
1000000,852.6401242326207,2
0,0.0,3
25000,293.7986324256297,3
50000,377.9224786329889,3
75000,377.26612797732787,3
100000,467.174952365366,3
125000,495.09168377310306,3
150000,526.2565857431355,3
175000,540.4766763932805,3
200000,567.7469072416447,3
225000,555.8724582163974,3
250000,585.1595052541313,3
275000,381.4181503136838,3
300000,592.2684338345098,3
325000,603.7031523261936,3
350000,455.6203206574526,3
375000,614.3435920496597,3
400000,614.0830479786931,3
425000,635.3370853549914,3
450000,649.4919001788829,3
475000,654.3162194741824,3
500000,657.902892926994,3
525000,577.8485258152896,3
550000,631.4569283604376,3
575000,640.7648346520934,3
600000,666.8490597493428,3
625000,669.3112157233295,3
650000,672.4489814333425,3
675000,673.7084247567557,3
700000,668.3579754593848,3
725000,693.0547770162677,3
750000,700.7643420747802,3
775000,465.4339644857284,3
800000,665.6467601396696,3
825000,684.4683529349755,3
850000,690.7150714091641,3
875000,700.1521765263128,3
900000,705.9164170773258,3
925000,712.6285833787306,3
950000,712.6559993723571,3
975000,714.5970433908058,3
1000000,720.5484289741131,3
0,0.0,4
25000,384.64361354087566,4
50000,478.7380310365796,4
75000,490.73551540210775,4
100000,569.5294082049937,4
125000,598.9509593773965,4
150000,633.0357864013274,4
175000,583.515348619693,4
200000,600.934772217476,4
