step,reward,seed
1,0.5712398999999999,0
25000,66.9715731,0
50000,25.708025000000003,0
75000,0.3635867,0
100000,0.0331679,0
125000,0.4216076,0
150000,0.0409757,0
175000,0.9674483,0
200000,0.1460091,0
225000,1.664172,0
250000,0.7059873,0
275000,1.0244667,0
300000,0.0187228999999999,0
325000,0.5813963999999999,0
350000,3.0811472,0
375000,18.4611735,0
400000,0.6328444999999999,0
425000,3.958856,0
450000,1.5352334,0
475000,59.09631890000001,0
500000,3.16232,0
525000,103.5855837,0
550000,49.6227628,0
575000,103.9110993,0
600000,159.003908,0
625000,255.25628,0
650000,271.6791935,0
675000,414.8863768,0
700000,468.6889878999999,0
725000,453.9125315,0
750000,491.5095957,0
775000,509.7719102,0
800000,632.6677655999999,0
825000,644.0979333,0
850000,704.1956136,0
875000,708.8630861000001,0
900000,743.2514163000001,0
925000,746.2383186,0
950000,744.6416858,0
975000,783.9846539000001,0
1000000,807.8482078,0
1,11.7230979,1
25000,48.3138921,1
50000,296.61010890000006,1
75000,135.2972934,1
100000,470.3805805,1
125000,558.9560265,1
150000,612.5449946,1
175000,602.9270369,1
200000,622.3701472,1
225000,662.9744687,1
250000,674.6507506,1
275000,658.393725,1
300000,688.2701365,1
325000,746.0576353,1
350000,402.0293737,1
375000,749.9310466000001,1
400000,739.4028851,1
425000,760.7526277,1
450000,752.9487369999999,1
475000,756.0318393,1
500000,770.9656189,1
525000,786.2326554999999,1
550000,835.7726194999999,1
575000,843.6872923999999,1
600000,803.5018532,1
625000,801.1058178,1
650000,874.8529005999999,1
675000,880.6120601,1
700000,870.5579111999999,1
725000,878.1741462000002,1
750000,868.1237611999999,1
775000,884.4986504000001,1
800000,861.4852927,1
825000,881.3113452,1
850000,885.6186637000001,1
875000,888.4648626999999,1
900000,890.1705695,1
925000,896.0203765,1
950000,890.3343971,1
975000,891.3470517,1
1000000,892.9535563,1
1,8.34007,2
25000,2.4460896,2
50000,262.49976589999994,2
75000,468.1437384999999,2
100000,541.2822543000001,2
125000,244.5023483,2
150000,689.2449077000001,2
175000,769.0563315,2
200000,774.0733557,2
225000,783.8800353,2
250000,799.7215592,2
275000,766.1759756,2
300000,791.3832955,2
325000,822.9688299,2
350000,806.9056886000001,2
375000,812.8675984,2
400000,836.0104665000001,2
425000,819.1286057,2
450000,830.2578381,2
475000,841.298667,2
500000,861.1051501,2
525000,838.1275631000001,2
550000,847.6526729999999,2
575000,852.3331214,2
600000,856.0176048999999,2
625000,870.6749931,2
650000,873.876622,2
675000,865.8207710999999,2
700000,828.2284094,2
725000,871.3102145999999,2
750000,881.2643275,2
775000,876.4669821000001,2
800000,882.683051,2
825000,875.0240185999999,2
850000,885.7379675,2
875000,883.6896382000001,2
900000,863.3235078000001,2
925000,890.6009882000001,2
950000,891.4065969000001,2
975000,889.8331982,2
1000000,887.7469176000001,2
1,4.993829,3
25000,54.52418990000001,3
50000,383.7367825,3
75000,236.2976753,3
100000,546.4061138999999,3
125000,595.1474561000001,3
150000,275.20363469999995,3
175000,658.758668,3
200000,713.6780769000001,3
225000,722.2900256,3
250000,736.7211021,3
275000,734.5746043,3
300000,748.4040972999999,3
325000,779.9251394,3
350000,781.8984573,3
375000,750.2910581,3
400000,837.0365086000002,3
425000,820.0753355,3
450000,845.7792886,3
475000,840.6459262000001,3
500000,835.5014445,3
525000,847.5925816000001,3
550000,857.6943028,3
575000,850.2984008,3
600000,858.1252703999999,3
625000,871.4034786,3
650000,868.9676982999999,3
675000,878.2261652,3
700000,879.9945538,3
725000,873.1756190999998,3
750000,869.4254513,3
775000,875.1391924,3
800000,879.2677603,3
825000,882.4583178999999,3
850000,879.6256652,3
875000,858.1239204,3
900000,883.0585413000001,3
925000,880.4551641,3
950000,885.5046245999999,3
975000,883.9264123999999,3
1000000,888.7938277000001,3
1,3.0041501,4
25000,38.6053762,4
50000,242.4257761,4
75000,422.959927,4
100000,542.0749081,4
125000,695.2899562,4
150000,720.5531245,4
175000,773.0784520000001,4
200000,771.8762140000001,4
225000,794.214528,4
250000,822.8069699,4
275000,806.0202117000001,4
300000,790.7825395,4
325000,858.2990241999998,4
350000,855.6382872,4
375000,859.3422727000001,4
400000,875.965631,4
425000,874.9661741,4
450000,872.3123042,4
475000,889.1843679,4
500000,884.7839172999999,4
525000,886.8177663,4
550000,881.0602972,4
575000,890.2919363999999,4
600000,895.3126882,4
625000,892.8131324,4
650000,893.3309036999999,4
675000,897.6435455000001,4
700000,895.0945675,4
725000,898.1751064,4
750000,894.9244222,4
775000,899.1569391999999,4
800000,905.0237578,4
825000,900.4461703,4
850000,907.4066804,4
875000,902.8767053,4
900000,906.2415293,4
925000,907.7356783,4
950000,911.314641,4
975000,909.7232386,4
1000000,903.311045,4
1,31.8377212,5
25000,50.1395511,5
50000,183.36580640000005,5
75000,534.2277330000001,5
100000,569.4369477,5
125000,688.3104971,5
150000,688.0477459,5
175000,774.5955741,5
200000,783.3971012,5
225000,825.9297495999999,5
250000,569.6684138,5
275000,820.5631237,5
300000,835.678787,5
325000,857.8560022000001,5
350000,849.4932783,5
375000,868.8469923,5
400000,877.6602767,5
425000,878.5888450999998,5
450000,886.3397894,5
475000,887.9208708,5
500000,891.5020287,5
525000,883.5748948,5
550000,899.6203556999999,5
575000,903.2947497,5
600000,894.8594642,5
625000,884.8904708,5
650000,898.0352774,5
675000,900.5596575,5
700000,901.9808363,5
725000,903.9131349,5
750000,901.0752989,5
775000,902.4486342,5
800000,904.7174603,5
825000,903.3194323,5
850000,907.6986143,5
875000,907.1607822,5
900000,909.1724863,5
925000,903.9093304,5
950000,908.3599549,5
975000,907.3033748,5
1000000,908.1202419,5
1,12.6045889,6
25000,10.6329853,6
50000,180.9933631,6
75000,186.3008077,6
100000,445.3794913,6
125000,476.1735303,6
150000,549.4350973999999,6
175000,562.187946,6
200000,595.7198284,6
225000,607.1613064000001,6
250000,593.9528474,6
275000,609.318412,6
300000,662.5363079,6
325000,663.3635809,6
350000,675.8322853999999,6
375000,643.4616887,6
400000,683.1700092000001,6
425000,695.4379304,6
450000,713.2526732,6
475000,710.2628637,6
500000,714.2690734999999,6
525000,721.5392866000001,6
550000,719.0305012,6
575000,728.8253781,6
600000,734.4181747,6
625000,728.774428,6
650000,746.5712631999999,6
675000,746.6651489,6
700000,759.7709305000001,6
725000,737.6583514,6
750000,722.4157354000001,6
775000,734.8420443,6
800000,739.9223056000001,6
825000,741.156879,6
850000,736.3167116,6
875000,745.3410625,6
900000,727.9523066999999,6
925000,729.5680622,6
950000,582.9992271,6
975000,691.0157689,6
1000000,607.8427674999999,6
1,19.3179842,7
25000,21.341876600000003,7
50000,111.12441859999998,7
75000,375.1845693,7
100000,482.30224340000007,7
125000,592.5897050000001,7
150000,639.1116311000001,7
175000,695.6231384,7
200000,691.3665692000001,7
225000,725.2262446,7
250000,721.5329064,7
275000,719.9925969000001,7
300000,728.6422287,7
325000,770.7458033,7
350000,809.7708770000002,7
375000,795.2717850000001,7
400000,780.8797697,7
425000,827.4360178999999,7
450000,853.513955,7
475000,815.2895292999999,7
500000,826.9099179000001,7
525000,870.0762759000002,7
550000,879.759785,7
575000,873.4572796,7
600000,884.0823406,7
625000,884.7868955,7
650000,878.2548938,7
675000,886.4654794,7
700000,889.1185959000001,7
725000,892.5590438000002,7
750000,888.4327218000001,7
775000,882.9136824999999,7
800000,891.8919963000001,7
825000,888.5638078,7
850000,894.9573399000001,7
875000,892.4297571,7
900000,894.7658783999999,7
925000,892.9424299,7
950000,897.692016,7
975000,890.1154614999999,7
1000000,895.6822370999998,7
1,4.2667597,8
25000,2.7438752,8
50000,252.4975351,8
75000,368.0176115,8
100000,490.3458053999999,8
125000,576.8248881000001,8
150000,672.0471182,8
175000,672.0316693,8
200000,700.8023152,8
225000,723.5541802,8
250000,741.3863472999999,8
275000,784.8163202,8
300000,774.2820143,8
325000,810.9619003999999,8
350000,838.5776480000001,8
375000,823.54105,8
400000,834.3108487,8
425000,860.0584265000001,8
450000,862.8843321,8
475000,870.8727172000001,8
500000,871.0410115999999,8
525000,864.1596531000001,8
550000,880.6636605000001,8
575000,862.8676081,8
600000,875.738362,8
625000,883.8997861,8
650000,882.4860477,8
675000,891.1362192999999,8
700000,888.7118058,8
725000,889.7105286,8
750000,894.226883,8
775000,889.0249355,8
800000,899.6564275000001,8
825000,896.461918,8
850000,898.2972964999999,8
875000,899.5313266,8
900000,899.8892292,8
925000,902.603297,8
950000,902.4947438,8
975000,900.3734579,8
1000000,901.6788373,8
1,0.6317503,9
25000,28.2607713,9
50000,169.29107140000002,9
75000,377.3282483,9
100000,441.2405866,9
125000,532.771776,9
150000,538.3783354000001,9
175000,562.5881692,9
200000,589.5160834000001,9
225000,613.4956887999999,9
250000,612.4215594,9
275000,654.6915058,9
300000,677.3755586999999,9
325000,686.0024162,9
350000,701.4857783,9
375000,725.2571075,9
400000,725.470879,9
425000,734.2625224,9
450000,717.7284729999999,9
475000,733.1158554,9
500000,731.2569877000001,9
525000,738.6739298,9
550000,726.4459032999999,9
575000,737.5338161,9
600000,757.9558135999999,9
625000,749.3936458000001,9
650000,749.4233723,9
675000,759.3377969000001,9
700000,756.9141639000001,9
725000,764.8662439,9
750000,759.7945218,9
775000,773.0352340999999,9
800000,782.8464222,9
825000,791.8569883,9
850000,786.9601835000001,9
875000,795.6686418,9
900000,787.9579849,9
925000,813.7842315,9
950000,812.1496264,9
975000,823.028377,9
1000000,817.6133199000001,9
