step,reward,seed
1,5.6680647,0
25000,6.213281499999999,0
50000,3.8175351,0
75000,10.1623348,0
100000,41.379796600000006,0
125000,33.7804797,0
150000,52.39860710000001,0
175000,52.0210124,0
200000,4.0013127,0
225000,28.7361603,0
250000,20.5620093,0
275000,7.0583545,0
300000,11.9337624,0
325000,50.078416100000005,0
350000,88.98861050000001,0
375000,97.545196,0
400000,73.96089079999999,0
425000,7.131361799999999,0
450000,5.9237527,0
475000,11.9241122,0
500000,6.8499034000000005,0
525000,15.306517199999998,0
550000,11.913065800000002,0
575000,80.4218432,0
600000,118.3831358,0
625000,144.3672145,0
650000,57.69373079999999,0
675000,5.5968023,0
700000,4.2802538,0
725000,4.9402474000000005,0
750000,4.1024552,0
775000,6.8786723,0
800000,7.2715824000000016,0
825000,8.1147857,0
850000,7.8554995,0
875000,7.0201842,0
900000,5.7576775,0
925000,3.2977791,0
950000,5.749262699999999,0
975000,4.741898,0
1000000,6.4950995,0
1,7.6651416,1
25000,7.8682227,1
50000,9.2794219,1
75000,32.58104780000001,1
100000,17.4655111,1
125000,8.164936200000001,1
150000,6.2717656,1
175000,9.4314085,1
200000,7.422103599999998,1
225000,7.245526800000002,1
250000,36.8250547,1
275000,6.6352205,1
300000,17.7464188,1
325000,37.9907081,1
350000,9.3067427,1
375000,13.6882472,1
400000,32.277215,1
425000,25.3772479,1
450000,43.0459252,1
475000,23.8023951,1
500000,39.6484559,1
525000,60.5538042,1
550000,60.2802723,1
575000,95.4361285,1
600000,108.7786392,1
625000,113.089748,1
650000,136.6438784,1
675000,94.711743,1
700000,151.4162595,1
725000,137.7939634,1
750000,136.7714994,1
775000,160.381694,1
800000,174.9159089,1
825000,155.39296389999998,1
850000,174.0459942,1
875000,172.4063895,1
900000,140.1138756,1
925000,176.7359629,1
950000,186.53167320000003,1
975000,188.0213842,1
1000000,189.0439909,1
1,5.5321791,2
25000,6.3169391,2
50000,4.2009188,2
75000,10.1244074,2
100000,7.3922464,2
125000,9.8578802,2
150000,11.1214072,2
175000,14.3772329,2
200000,23.3731381,2
225000,10.4888631,2
250000,9.2987041,2
275000,7.3255234,2
300000,5.6907402,2
325000,10.1155467,2
350000,6.100467699999999,2
375000,10.3355798,2
400000,5.9037946,2
425000,7.148450199999999,2
450000,6.811870299999998,2
475000,11.8995864,2
500000,5.578556600000001,2
525000,5.0557885,2
550000,6.4040813,2
575000,5.1550686,2
600000,8.297585399999999,2
625000,8.3775802,2
650000,4.3069684,2
675000,7.9000941,2
700000,3.7400578,2
725000,9.646836099999998,2
750000,5.3060628,2
775000,8.145368600000001,2
800000,10.2414764,2
825000,5.184364499999999,2
850000,5.560831,2
875000,4.772476800000001,2
900000,5.6697224,2
925000,5.143830800000001,2
950000,5.3123734,2
975000,7.9531197,2
1000000,6.4431432,2
1,4.3345093,3
25000,6.1084163,3
50000,5.981309699999999,3
75000,8.7160253,3
100000,25.9575447,3
125000,40.4459844,3
150000,28.9853771,3
175000,9.105917,3
200000,98.1478847,3
225000,132.7221013,3
250000,36.520483,3
275000,146.8994273,3
300000,163.1878593,3
325000,165.2905116,3
350000,184.8420814,3
375000,187.4092711,3
400000,197.702976,3
425000,138.9591946,3
450000,191.9081258,3
475000,213.9909924,3
500000,210.8070846,3
525000,247.7932344,3
550000,269.94389390000003,3
575000,283.5000583,3
600000,297.8851352,3
625000,294.2550885,3
650000,307.0878690999999,3
675000,324.7496873,3
700000,348.3015144,3
725000,327.30206110000006,3
750000,262.19464400000004,3
775000,371.1338858,3
800000,394.7740044,3
825000,384.6511798,3
850000,405.4560591,3
875000,380.9400305,3
900000,418.737308,3
925000,420.5912918,3
950000,406.5190884,3
975000,434.4815251,3
1000000,440.4084821,3
1,7.1950998,4
25000,8.4848354,4
50000,13.2039841,4
75000,37.5302848,4
100000,55.5663871,4
125000,77.79490539999999,4
150000,79.4219428,4
175000,60.9883627,4
200000,49.6201523,4
225000,97.9687242,4
250000,97.7211303,4
275000,84.3616857,4
300000,98.4351249,4
325000,40.0215041,4
350000,139.7909995,4
375000,133.89686769999997,4
400000,169.38815110000002,4
425000,178.01514729999997,4
450000,174.66251400000002,4
475000,180.3550338,4
500000,178.5560883,4
525000,200.2200423,4
550000,192.7590213,4
575000,217.096519,4
600000,249.116243,4
625000,76.89485969999998,4
650000,171.3441185,4
675000,286.15881640000003,4
700000,300.1002669,4
725000,323.0497312,4
750000,327.4773415000001,4
775000,370.1601157,4
800000,372.2090243,4
825000,399.6250668,4
850000,386.7864266,4
875000,395.7003551,4
900000,410.6444015000001,4
925000,406.0771927,4
950000,434.9374156,4
975000,414.3662461,4
1000000,445.8236139,4
1,3.1906133,5
25000,9.0891921,5
50000,10.7030833,5
75000,45.5257614,5
100000,63.99794970000001,5
125000,59.11891579999999,5
150000,67.7075952,5
175000,72.3659857,5
200000,130.32453189999998,5
225000,115.38956899999998,5
250000,132.38293470000002,5
275000,151.3816232,5
300000,158.2364605,5
325000,166.8775245,5
350000,159.11850970000003,5
375000,200.1915859,5
400000,237.5813677,5
425000,250.46991070000004,5
450000,273.0933253,5
475000,302.8187025,5
500000,314.0502314,5
525000,318.6747796,5
550000,324.1856689,5
575000,369.0862512,5
600000,332.8614413,5
625000,399.8748461,5
650000,415.0118967,5
675000,453.3171219,5
700000,426.3005035,5
725000,476.2032705,5
750000,502.6227802,5
775000,503.3340476,5
800000,492.07202020000005,5
825000,499.325317,5
850000,497.488865,5
875000,523.0045212000001,5
900000,583.9709999,5
925000,586.0166378,5
950000,596.7559381,5
975000,599.3612193,5
1000000,585.0613147,5
1,5.601025300000001,6
25000,8.5493486,6
50000,18.1383567,6
75000,20.0652301,6
100000,38.55854119999999,6
125000,56.76334849999999,6
150000,37.1788131,6
175000,47.049013,6
200000,57.5497983,6
225000,103.0077998,6
250000,77.85085910000001,6
275000,119.5339212,6
300000,105.48919689999998,6
325000,130.53110139999998,6
350000,130.73383760000002,6
375000,143.6923708,6
400000,134.41444510000002,6
425000,141.945568,6
450000,154.4044609,6
475000,169.1645269,6
500000,160.6155376,6
525000,174.58734250000003,6
550000,202.1420342,6
575000,209.67266400000003,6
