step,reward,seed
0,0.0,0
25000,30.28318461217581,0
50000,86.87700065286212,0
75000,171.75008975705492,0
100000,225.85071984655997,0
125000,387.58333493010406,0
150000,367.24390456770186,0
175000,502.01285309921343,0
200000,575.9053066087638,0
225000,612.7789594222639,0
250000,629.6634243138305,0
275000,597.0519897209996,0
300000,729.5487013497053,0
325000,716.7369308455029,0
350000,727.035004954097,0
375000,738.6229111176915,0
400000,856.7241542050027,0
425000,922.759979225312,0
450000,948.461258124411,0
475000,963.9613519137072,0
500000,942.7397532464132,0
525000,579.7313680336996,0
550000,672.0029076469189,0
575000,896.3523515457151,0
600000,949.9971962254403,0
625000,908.9699221039891,0
650000,967.0703437342636,0
675000,960.8310933966329,0
700000,963.743198198434,0
725000,949.4623315203149,0
750000,972.8637796798012,0
775000,575.6794007553899,0
800000,877.9923825117685,0
825000,932.6526454104314,0
850000,936.1258798184763,0
875000,939.275784192521,0
900000,966.38265365859,0
925000,951.835221995877,0
950000,979.1522383135192,0
975000,975.1271356287795,0
1000000,979.6144270032773,0
0,0.0,1
25000,58.68117785550161,1
50000,208.1306832488495,1
75000,215.8931345275555,1
100000,223.03224879637514,1
125000,412.9025604453671,1
150000,383.8124224501148,1
175000,457.9591905426346,1
200000,500.8917923618342,1
225000,579.5893301324268,1
250000,613.5741237575725,1
275000,561.7868284849083,1
300000,738.77769637866,1
325000,737.9490917089669,1
350000,812.8218891413084,1
375000,903.5207202550773,1
400000,929.0770399657953,1
425000,955.0271053938341,1
450000,907.933799747221,1
475000,941.9677796861097,1
500000,941.4027651062872,1
525000,648.4564166425387,1
550000,794.2190365542889,1
575000,932.3940667263192,1
600000,948.4982796104244,1
625000,908.6065253206413,1
650000,945.0667909527076,1
675000,948.4347366139815,1
700000,973.2700392976919,1
725000,980.8799512226775,1
750000,959.3521515287439,1
775000,613.1801965428357,1
800000,838.4269115433972,1
825000,799.4267341269376,1
850000,975.4774900002669,1
875000,975.5287411552683,1
900000,980.9448611882963,1
925000,961.905970433149,1
950000,981.2156719855486,1
975000,974.7246627601784,1
1000000,979.2193561397822,1
0,0.0,2
25000,81.35986691985417,2
50000,176.1662564417036,2
75000,161.03662353936141,2
100000,116.41528310130454,2
125000,353.1271448657438,2
150000,406.54910762738876,2
175000,593.5456790648943,2
200000,605.5551875947948,2
225000,736.1593749542347,2
250000,672.8189252996602,2
275000,623.3405069716022,2
300000,698.4861017867585,2
325000,676.5013601800879,2
350000,886.4653501022296,2
375000,885.2017525895587,2
400000,789.7539250479178,2
425000,936.0117776289997,2
450000,895.5939301066248,2
475000,978.318690042772,2
500000,935.1317042207527,2
525000,683.7241989358432,2
550000,824.9963307886128,2
575000,981.6998953767388,2
600000,986.2928246421336,2
625000,912.7666590464854,2
650000,974.5943113561787,2
675000,978.8842631436368,2
700000,965.0667396222682,2
725000,951.0891632906776,2
750000,950.4288781759093,2
775000,654.9362583061906,2
800000,914.2683450614959,2
825000,924.4256038775171,2
850000,971.5029702210395,2
875000,978.948311906709,2
900000,975.8069972928686,2
925000,977.3291377580357,2
950000,978.8788766577067,2
975000,987.0604063936873,2
1000000,979.9617509006455,2
0,0.0,3
25000,41.91763551473411,3
50000,121.35845048592012,3
75000,152.6771827616169,3
100000,335.5702554324029,3
125000,490.33408127393096,3
150000,586.0948623942777,3
175000,724.4711219936983,3
200000,637.8185776102944,3
225000,690.8501110563659,3
250000,802.4222297699189,3
275000,657.8315687144266,3
300000,898.5628089989292,3
325000,825.9760798274625,3
350000,962.4666752922788,3
375000,931.0998433670068,3
400000,968.090282616083,3
425000,977.6483691622237,3
450000,967.901358532522,3
475000,963.7111754245841,3
500000,967.6364333381418,3
525000,557.4491187885782,3
550000,754.8527673075802,3
575000,984.9332967797661,3
600000,979.0312813412668,3
625000,969.0338694203616,3
650000,972.6565773552308,3
675000,950.8438863508666,3
700000,990.0349612150992,3
725000,991.0404575045866,3
750000,940.5486274816209,3
775000,650.0469104873282,3
800000,819.9089949517235,3
825000,908.8305229943453,3
850000,966.4156413392262,3
875000,876.4634119434862,3
900000,927.1258575409365,3
925000,916.713716873514,3
950000,984.7866990735072,3
975000,981.1906750445344,3
1000000,990.5775162853897,3
0,0.0,4
25000,64.23498817997,4
50000,133.596253285918,4
75000,53.69525780005371,4
100000,167.35867720098926,4
125000,351.6758330869818,4
150000,412.71865354172877,4
175000,547.9322037618755,4
200000,538.0580224098645,4
225000,557.8671520547891,4
250000,769.4994511113645,4
275000,488.8142229374125,4
300000,617.0534708705375,4
325000,671.9445318414056,4
350000,785.0392323287012,4
375000,945.4428934375026,4
400000,766.4480099845304,4
425000,971.4022824475078,4
450000,944.3662260000256,4
475000,917.4688007512556,4
500000,947.2231550206874,4
525000,783.2801213207724,4
550000,892.8095147001735,4
575000,804.9439946477653,4
600000,903.672546622291,4
625000,954.1936865391111,4
650000,955.5602580714058,4
675000,900.1648727221125,4
700000,976.3481483698133,4
725000,917.7906344195977,4
750000,956.6635978890179,4
775000,816.1487181615527,4
800000,768.5183076848341,4
825000,983.7670039052058,4
850000,977.100049008163,4
875000,952.4768203688933,4
900000,978.5176298750305,4
925000,938.9090345726348,4
950000,971.6483171934912,4
975000,982.7349414055731,4
1000000,857.4095240010644,4
0,0.0,5
25000,75.18365639612469,5
