step,reward,seed
1,6.3810924,0
25000,5.850609199999999,0
50000,12.5463359,0
75000,26.02996,0
100000,42.5899398,0
125000,28.035473199999995,0
150000,46.290953900000005,0
175000,47.7285222,0
200000,69.689202,0
225000,54.8594179,0
250000,64.7590941,0
275000,45.86360620000001,0
300000,71.05938549999999,0
325000,106.0760465,0
350000,118.0786826,0
375000,61.76076379999999,0
400000,110.7745723,0
425000,102.9801192,0
450000,206.9341469,0
475000,241.3956448,0
500000,302.551637,0
525000,313.2577577,0
550000,378.9160749,0
575000,455.28809170000005,0
600000,576.4227981,0
625000,554.0159774,0
650000,619.7509964000001,0
675000,625.2628371,0
700000,750.7824668000001,0
725000,753.3203940999999,0
750000,811.288044,0
775000,790.9041835999999,0
800000,827.2192795999999,0
825000,861.9562052000001,0
850000,860.7927732,0
875000,871.3816209999999,0
900000,877.6974309000001,0
925000,853.7425327000001,0
950000,891.4667659,0
975000,889.8024208,0
1000000,877.0427093000001,0
1,9.0156117,1
25000,4.6333509,1
50000,10.1831803,1
75000,10.923207,1
100000,8.879642200000001,1
125000,49.7967915,1
150000,37.9561855,1
175000,75.1933468,1
200000,44.7882797,1
225000,59.6630807,1
250000,65.23856470000001,1
275000,93.3842928,1
300000,24.7940754,1
325000,103.4158153,1
350000,111.8803191,1
375000,113.0657923,1
400000,122.8886772,1
425000,149.3155978,1
450000,93.7193302,1
475000,166.2962316,1
500000,197.6805897,1
525000,214.9025856,1
550000,196.6059808,1
575000,216.3559204,1
600000,230.1766825,1
625000,236.9234015,1
650000,308.5183226,1
675000,330.40811500000007,1
700000,320.66884000000005,1
725000,326.7521634,1
750000,441.2837478,1
775000,465.1994619,1
800000,515.9160218,1
825000,211.0369688,1
850000,515.4319528,1
875000,543.2850874999999,1
900000,612.1397264,1
925000,671.99866,1
950000,713.7671442,1
975000,735.1680307,1
1000000,771.4590935,1
1,7.003415199999999,2
25000,7.428077700000001,2
50000,6.3729532,2
75000,19.9882677,2
100000,34.6213326,2
125000,41.8622302,2
150000,65.4719757,2
175000,50.58852460000001,2
200000,85.7809377,2
225000,73.1273384,2
250000,88.1093985,2
275000,100.7690261,2
300000,84.9961949,2
325000,115.98046049999998,2
350000,140.73525469999998,2
375000,151.7489411,2
400000,228.5747284,2
425000,263.3978679,2
450000,31.8765692,2
475000,406.2373071,2
500000,456.5245988,2
525000,467.192385,2
550000,561.1560922,2
575000,574.0125956,2
600000,619.9159932,2
625000,75.09147169999999,2
650000,698.9297214999999,2
675000,695.2535152,2
700000,782.6260221,2
725000,806.1534961,2
750000,805.6113837,2
775000,804.5764634,2
800000,735.3577843999999,2
825000,792.6601662,2
850000,843.7915413999999,2
875000,800.8586221,2
900000,844.2871276,2
925000,843.4422654,2
950000,846.5259275000001,2
975000,875.7749590999999,2
1000000,847.3578583000001,2
1,5.8356309,3
25000,6.777165799999999,3
50000,9.2629373,3
75000,18.060359,3
100000,19.9625647,3
125000,44.18357110000001,3
150000,21.4717472,3
175000,61.0066061,3
200000,29.2342022,3
225000,91.0908262,3
250000,71.67361980000001,3
275000,79.67536530000001,3
300000,104.0679312,3
325000,135.4308058,3
350000,143.7449704,3
375000,129.75328640000004,3
400000,161.4014713,3
425000,267.1339686,3
450000,307.4191292,3
475000,152.7887733,3
500000,381.20448,3
525000,296.97978069999994,3
550000,436.1505828,3
575000,468.1009467,3
600000,486.38893930000006,3
625000,498.2271104,3
650000,519.3936429999999,3
675000,614.1070165999998,3
700000,567.4688951,3
725000,577.955022,3
750000,695.6631976000001,3
775000,649.0018285000001,3
800000,688.2580524000001,3
825000,780.5678362000001,3
850000,776.2128388000001,3
875000,796.5357715,3
900000,683.1759073000001,3
925000,809.1040734,3
950000,821.6693867,3
975000,859.2595383,3
1000000,836.0110445,3
1,8.5862566,4
25000,5.752775699999999,4
50000,9.771298300000002,4
75000,9.4125122,4
100000,22.1053642,4
125000,14.8447061,4
150000,23.932867,4
175000,8.144164700000001,4
200000,39.2205702,4
225000,60.0639803,4
250000,116.5952454,4
275000,81.3347544,4
300000,10.9977737,4
325000,20.9955187,4
350000,174.15241559999998,4
375000,95.6455578,4
400000,175.1869864,4
425000,189.0563241,4
450000,225.6875356,4
475000,268.1012082,4
500000,296.7993437,4
525000,291.4524301,4
550000,355.9481811,4
575000,374.3858116,4
600000,405.205245,4
625000,453.7568634,4
650000,485.0563917,4
675000,508.3385235,4
700000,522.0379694000001,4
725000,566.0411856999999,4
750000,605.9131943,4
775000,626.3170315,4
800000,454.9006402,4
825000,511.3529239,4
850000,10.170247,4
875000,164.6453504,4
900000,82.74154109999999,4
925000,58.09797000000001,4
950000,473.55427440000005,4
975000,654.0669583000001,4
1000000,620.0124754999999,4
1,3.9287194,5
25000,6.768602400000001,5
50000,6.703957900000001,5
75000,30.3922607,5
100000,11.2874329,5
125000,9.7743502,5
150000,41.2628426,5
175000,36.3025655,5
200000,56.1991249,5
225000,88.1309271,5
