step,reward,seed
0,0.0,0
25000,8.040167793741892,0
50000,7.696580380327918,0
75000,9.572106345508567,0
100000,27.77257738749328,0
125000,98.94130294976915,0
150000,198.10338110973686,0
175000,291.52414972948134,0
200000,333.2493889789547,0
225000,397.2188182164708,0
250000,431.25609279696437,0
275000,377.4985412956149,0
300000,440.5013737425955,0
325000,482.0593485245061,0
350000,536.8212551916376,0
375000,578.4642576498724,0
400000,624.9796678805949,0
425000,641.234180644785,0
450000,676.81346835786,0
475000,735.7063871746425,0
500000,723.231538552667,0
525000,456.31819121701557,0
550000,590.2885120819033,0
575000,789.2000819143884,0
600000,815.0808449916022,0
625000,882.7507546968496,0
650000,827.8959248924375,0
675000,874.8459159136419,0
700000,892.982004028326,0
725000,886.8738310910783,0
750000,888.1128825983697,0
775000,363.9853463924728,0
800000,643.2053463229607,0
825000,789.7334641931147,0
850000,840.0208630233874,0
875000,908.9790247342177,0
900000,882.881152317447,0
925000,856.4510155345713,0
950000,931.5751843456761,0
975000,910.8318885960118,0
1000000,901.4380800746454,0
0,0.0,1
25000,24.490401515788033,1
50000,5.540441136675077,1
75000,49.88909044116596,1
100000,99.95700407177597,1
125000,119.06011542583174,1
150000,165.95189608337813,1
175000,179.74263163702366,1
200000,269.7701826174574,1
225000,357.5122289911503,1
250000,507.77004626672044,1
275000,349.04934098453515,1
300000,553.2069656727169,1
325000,643.4091109614567,1
350000,748.4473399723861,1
375000,700.9243990184211,1
400000,690.8752435894429,1
425000,914.0430129042213,1
450000,846.6889511201465,1
475000,907.5785241895603,1
500000,916.1795116755559,1
525000,381.7911162797722,1
550000,726.8302414551636,1
575000,923.0889203890583,1
600000,921.5266245435396,1
625000,889.6651509077926,1
650000,922.3716556580952,1
675000,925.1800660094763,1
700000,927.6806752497034,1
725000,958.9177823496084,1
750000,898.671065399299,1
775000,382.2421027603849,1
800000,734.6386446642754,1
825000,883.1531086951306,1
850000,913.7631154917023,1
875000,923.3370329741094,1
900000,955.9232324154218,1
925000,907.0768150963144,1
950000,937.1755572025634,1
975000,942.8622120081029,1
1000000,951.0192467265658,1
0,0.0,2
25000,6.166499803062003,2
50000,39.498498734637295,2
75000,9.798287574072333,2
100000,46.03540144060913,2
125000,97.9620500905748,2
150000,234.69131622742756,2
175000,230.0607283794722,2
200000,293.8731165479276,2
225000,413.78486260630535,2
250000,481.9919114780141,2
275000,339.76386211463574,2
300000,458.1157533992573,2
325000,642.7463545750709,2
350000,604.0141531727292,2
375000,708.5751565816279,2
400000,831.6817073804614,2
425000,798.054543500634,2
450000,919.454742635163,2
475000,922.1275975736058,2
500000,785.3075641862483,2
525000,311.3905835873204,2
550000,615.9906950989459,2
575000,770.2756893430908,2
600000,893.3136758951581,2
625000,918.168298246813,2
650000,905.3747814246814,2
675000,932.9723931216379,2
700000,927.026615409541,2
725000,913.9931681746544,2
750000,932.7079333291607,2
775000,358.29529084290016,2
800000,613.9567592243378,2
825000,923.5993522219403,2
850000,907.8338395110899,2
875000,906.7876458125941,2
900000,922.5984098289591,2
925000,942.1593804859825,2
950000,927.9645760375375,2
975000,937.6056001913282,2
1000000,898.0845529530167,2
0,0.0,3
25000,7.850575939893086,3
50000,16.49689018751305,3
75000,27.663730245016986,3
100000,102.60418362588712,3
125000,54.812398397188495,3
150000,293.82546260660473,3
175000,398.72381484579546,3
200000,429.58862869638597,3
225000,479.2463458036872,3
250000,646.6230708379711,3
275000,296.27959261175977,3
300000,494.2161280866152,3
325000,815.2889589036279,3
350000,763.7060498390205,3
375000,852.5189382590848,3
400000,892.4462232494932,3
425000,896.8598909322429,3
450000,825.5903466260113,3
475000,865.8341130497023,3
500000,872.3325364331995,3
525000,294.03590621500473,3
550000,645.0417951987365,3
575000,814.4091060030775,3
600000,893.1518802308188,3
625000,897.4495811613982,3
650000,910.993066798371,3
675000,908.0039460348211,3
700000,937.9285692019212,3
725000,930.663016550349,3
750000,937.8267159982586,3
775000,353.8339466926544,3
800000,679.6641320331597,3
825000,830.3616799959848,3
850000,932.4618546750249,3
875000,891.4429776514753,3
900000,930.1758631411367,3
925000,870.1566024777533,3
950000,896.9328205417509,3
975000,934.9749196965286,3
1000000,952.2731298546647,3
0,0.0,4
25000,16.31587933272605,4
50000,33.841056553058,4
75000,4.943409757674569,4
100000,20.394664046439704,4
125000,138.8694064697515,4
150000,81.07062208437868,4
175000,249.85819699307845,4
200000,348.66400441819417,4
225000,444.8949452380819,4
250000,369.89623061932195,4
275000,320.603304127195,4
300000,497.27584387568993,4
325000,503.40950102888985,4
350000,526.7701924830841,4
375000,585.970017536077,4
400000,576.5776762500964,4
425000,642.0080990334549,4
450000,651.2341831021956,4
475000,655.7160463164895,4
500000,701.9750069305062,4
525000,316.32971375337826,4
550000,611.3458006851574,4
575000,713.175157824454,4
600000,842.9528529971179,4
625000,902.5756462562343,4
650000,834.9611259542975,4
675000,913.3634963515585,4
700000,925.0185538185851,4
725000,902.756603599623,4
750000,876.8590434147063,4
775000,261.6863277467955,4
800000,678.6427023146405,4
825000,805.4826641889964,4
850000,834.1627548502245,4
875000,925.7169417645495,4
900000,905.1552259522721,4
925000,917.9343746377511,4
950000,927.6789543901705,4
975000,896.9003697475443,4
1000000,924.9372843965245,4
0,0.0,5
25000,8.946865816181381,5
50000,28.10029948363161,5
75000,39.52170639432428,5
100000,85.72443005572282,5
125000,207.04608046818785,5
150000,334.7891132152107,5
175000,410.8325371050704,5
200000,557.8494817275039,5
225000,597.9951755026814,5
250000,559.4537231919625,5
275000,327.1517559601313,5
300000,643.5207521318284,5
325000,688.8103354027628,5
350000,762.2968178565959,5
375000,809.9585674305381,5
400000,898.1443662631751,5
425000,846.4865225554533,5
450000,912.1117804005683,5
475000,923.0631001778049,5
500000,839.5761196067881,5
525000,397.1271339950827,5
550000,741.8628778264501,5
575000,879.191403278388,5
600000,865.8189731376084,5
625000,896.6929832242816,5
650000,920.4369640687355,5
675000,873.7701403283252,5
700000,943.4559758506168,5
725000,889.5956567457985,5
750000,919.9819565123082,5
775000,304.97608383579535,5
800000,719.3917401251995,5
825000,774.4350327295235,5
850000,895.1794848029698,5
875000,797.8119803561954,5
900000,912.6276811177571,5
925000,946.7341403055692,5
950000,945.2071904630391,5
975000,963.7502039155286,5
1000000,953.1114220908976,5
0,0.0,6
25000,25.758510865009193,6
50000,44.80429141830499,6
75000,11.674894514507272,6
100000,69.14190496341234,6
125000,72.88251723355901,6
150000,143.93693845911224,6
175000,161.15014373128423,6
200000,220.86469574759107,6
225000,242.35666282199242,6
250000,377.0394512003221,6
275000,306.72043280644823,6
300000,511.68712460876,6
325000,519.4514219274072,6
350000,457.64206553500316,6
375000,782.4246812917876,6
400000,666.3122701605449,6
425000,783.8295071754453,6
450000,671.3070898335843,6
475000,861.084488840512,6
500000,855.0909548391385,6
525000,418.799489190547,6
550000,658.5091320750798,6
575000,878.4305598230516,6
600000,761.6752993637831,6
625000,849.1980708433781,6
650000,893.2257609654076,6
675000,892.5670859703774,6
700000,914.9672657744962,6
725000,861.7767491099476,6
750000,920.1028413570415,6
775000,351.02872478183315,6
800000,633.4021216725956,6
825000,795.1005554688268,6
850000,895.9076966796623,6
875000,920.5141931561053,6
900000,930.9578623736909,6
925000,930.6143992044035,6
950000,942.1695426140604,6
975000,918.4570231582878,6
1000000,929.2233290090395,6
0,0.0,7
25000,4.248666750579779,7
50000,9.368674101299531,7
75000,13.799193296017927,7
100000,49.63178480346603,7
125000,61.549883530245026,7
