step,reward,seed
0,8.283207311550111,0
25000,8.283207311550111,0
50000,5.460367038433904,0
75000,19.055172697047848,0
100000,37.75217117198991,0
125000,20.01451261746682,0
150000,25.876722340390728,0
175000,31.076011370685077,0
200000,47.92325179777838,0
225000,17.219786044748922,0
250000,45.58563296198744,0
275000,69.76298130869166,0
300000,71.57423516260769,0
325000,92.00048475906084,0
350000,72.82673510732872,0
375000,77.61122672712418,0
400000,108.50788495979955,0
425000,126.72753959708857,0
450000,97.3026375705976,0
475000,96.7275006023282,0
500000,101.51081476264925,0
525000,97.4876001014371,0
550000,127.74744790665048,0
575000,137.66737732354153,0
600000,152.14534978821465,0
625000,149.71105516035703,0
650000,159.0724949445991,0
675000,166.85311880430788,0
700000,181.0353118920733,0
725000,225.658458229704,0
750000,199.37934354193777,0
775000,247.75035562836717,0
800000,267.40384361649984,0
825000,276.98709544426526,0
850000,319.67289246064894,0
875000,309.8011428673241,0
900000,300.9503095749198,0
925000,354.38628575699005,0
950000,323.5773562960502,0
975000,361.6933064934122,0
0,6.934541735829505,1
25000,6.934541735829505,1
50000,10.28157667750433,1
75000,4.258033724353365,1
100000,13.395039804850745,1
125000,6.725692695938872,1
150000,9.078775300062343,1
175000,20.413890368892226,1
200000,53.27393331857695,1
225000,60.41410707962618,1
250000,78.18663382100289,1
275000,92.30841670758892,1
300000,81.69783172259339,1
325000,98.62465879716154,1
350000,92.64487822794814,1
375000,120.7480532977211,1
400000,109.87883075125326,1
425000,89.37690647846038,1
450000,130.8611646835815,1
475000,163.6192131541469,1
500000,155.2800165466951,1
525000,154.8303086070305,1
550000,172.5643228653658,1
575000,169.42381815996248,1
600000,204.79019036572697,1
625000,203.7153287844573,1
650000,254.70775516216787,1
675000,222.25372656790304,1
700000,219.08537584064288,1
725000,242.42691451607388,1
750000,263.4070906128997,1
775000,260.4889914471012,1
800000,267.2111613947444,1
825000,351.3389357616316,1
850000,310.99218286984694,1
875000,318.98793678974687,1
900000,324.5932739598299,1
925000,349.2460475691636,1
950000,325.8102720358678,1
975000,286.1319258259581,1
0,7.479055063014407,2
25000,7.479055063014407,2
50000,11.164544985326907,2
75000,8.086346576489458,2
100000,17.840979032211738,2
125000,9.44551398542227,2
150000,16.372362416698085,2
175000,17.70952537818009,2
200000,36.10221785300832,2
225000,57.90697183278071,2
250000,63.77589688299357,2
275000,63.03308926405699,2
300000,73.06173041994812,2
325000,80.46660487549379,2
350000,82.19467878484707,2
375000,96.302006956047,2
400000,100.455578464366,2
425000,92.70933018585389,2
450000,117.5540889554187,2
475000,106.1921452363886,2
500000,123.17722541281192,2
525000,107.46818871285517,2
550000,138.5632525415396,2
