step,reward,seed
1,0.0952668,0
25000,0.0060469999999999,0
50000,0.0,0
75000,1.042106,0
100000,0.1426623,0
125000,0.2902064,0
150000,0.4442313999999999,0
175000,0.0001308,0
200000,14.485237,0
225000,15.1428071,0
250000,31.982883300000005,0
275000,15.064867299999998,0
300000,27.6380766,0
325000,24.672310600000003,0
350000,0.3535309,0
375000,16.381789,0
400000,58.5234416,0
425000,6.4576409,0
450000,41.8888261,0
475000,0.8894613,0
500000,2.7018308,0
525000,6.3055479,0
550000,1.3813001,0
575000,0.7418600000000001,0
600000,0.5418269,0
625000,1.9806912,0
650000,0.0200799999999999,0
675000,0.0009558,0
700000,0.149691,0
725000,0.0,0
750000,1.1100971999999998,0
775000,1.6026026000000002,0
800000,1.1327357,0
825000,0.0,0
850000,0.0007096,0
875000,0.2406712999999999,0
900000,1.0088321,0
925000,0.5076293000000001,0
950000,1.1361452,0
975000,0.0004724,0
1000000,0.0,0
1,0.0,1
25000,0.0,1
50000,0.0070295999999999,1
75000,0.0009499,1
100000,0.3310217,1
125000,0.0,1
150000,0.0422902,1
175000,0.0157455,1
200000,0.0,1
225000,0.0,1
250000,0.0245359,1
275000,0.0,1
300000,0.000195,1
325000,0.0,1
350000,0.001388,1
375000,0.0056289,1
400000,0.0,1
425000,0.0075425,1
450000,0.0,1
475000,0.0,1
500000,0.0060282,1
525000,0.0002603,1
550000,0.0118573,1
575000,0.0006317,1
600000,0.0,1
625000,0.0,1
650000,0.0,1
675000,0.007012,1
700000,0.0095785,1
725000,0.0109292,1
750000,0.0049634,1
775000,0.0045575,1
800000,0.0,1
825000,0.0015018,1
850000,0.0019253,1
875000,0.0006416,1
900000,0.001107,1
925000,0.0017211,1
950000,0.0006039,1
975000,7.8e-05,1
1000000,0.0144245,1
1,0.4814598999999999,2
25000,0.4652632,2
50000,1.4564591999999998,2
75000,0.0033805,2
100000,0.0927998,2
125000,0.3737779,2
150000,0.0,2
175000,0.6978494000000001,2
200000,1.4183968999999998,2
225000,0.0,2
250000,0.0706888,2
275000,0.2991261,2
300000,0.4219525,2
325000,3.4259009,2
350000,1.2132102000000002,2
375000,1.0329113,2
400000,0.4882163999999999,2
425000,0.0,2
450000,0.0471662,2
475000,0.6719785,2
500000,0.4404364999999999,2
525000,0.2921604,2
550000,0.4476633,2
575000,0.0386744,2
600000,1.8493228,2
625000,0.2682333,2
650000,0.9883554,2
675000,0.0404644,2
700000,0.0,2
725000,0.1218781,2
750000,1.1783402,2
775000,0.5805301,2
800000,1.1411322,2
825000,0.0032310999999999,2
850000,1.5932596,2
875000,1.3679187000000002,2
900000,1.5892578,2
925000,0.0663072,2
950000,0.438375,2
975000,0.5430556,2
1000000,0.0,2
1,0.1461106,3
