step,reward,seed
1,5.889364900000001,0
25000,5.987972,0
50000,5.3975104,0
75000,7.8457162,0
100000,4.926629,0
125000,6.748908500000001,0
150000,6.8341984,0
175000,7.619059,0
200000,5.5362458000000005,0
225000,6.0901815,0
250000,6.7279678,0
275000,7.308503400000001,0
300000,7.0047436,0
325000,6.374907500000001,0
350000,5.914789900000001,0
375000,6.350812299999999,0
400000,6.401827,0
425000,6.488793000000001,0
450000,7.454036500000001,0
475000,5.9197063,0
500000,6.5604329,0
525000,7.999668299999999,0
550000,7.5445633,0
575000,5.621369400000001,0
600000,5.9074671,0
625000,7.5832646000000015,0
650000,13.8674767,0
675000,218.89069,0
700000,225.3024727,0
725000,280.6199971,0
750000,322.54046030000006,0
775000,414.6092931,0
800000,376.9399486,0
825000,464.2671007,0
850000,485.5171352,0
875000,480.5187673,0
900000,493.15481960000005,0
925000,515.1039070999999,0
950000,554.6574327999999,0
975000,535.8697427,0
1000000,598.4692300999999,0
1,5.1843281,1
25000,5.994981300000001,1
50000,5.7118362000000005,1
75000,5.2368565,1
100000,7.073760899999999,1
125000,6.0154841,1
150000,6.2459379,1
175000,8.298467200000001,1
200000,7.1140446,1
225000,4.1946435,1
250000,5.9126432,1
275000,7.0142428,1
300000,6.101064899999999,1
325000,7.8341148,1
350000,6.622474,1
375000,7.5597612,1
400000,6.8650835,1
425000,7.6389083,1
450000,7.7034244,1
475000,8.1039016,1
500000,9.9405496,1
525000,7.611935300000001,1
550000,7.2261641,1
575000,9.5427621,1
600000,8.651700199999999,1
625000,6.796890299999999,1
650000,7.043816700000001,1
675000,6.832120699999999,1
700000,6.7363819,1
725000,7.6184258,1
750000,6.1884866,1
775000,9.715886,1
800000,10.5034396,1
825000,7.0241545,1
850000,8.3343594,1
875000,7.855147700000001,1
900000,8.9291187,1
925000,9.0475634,1
950000,7.944682200000001,1
975000,7.096084899999999,1
1000000,8.0735009,1
1,4.755952,2
25000,6.094420700000001,2
50000,4.1095585,2
75000,6.1513489,2
100000,6.463006,2
125000,5.8150425,2
150000,6.233594699999999,2
175000,5.4481605,2
200000,7.7040159,2
225000,6.7240809,2
250000,6.1143703,2
275000,6.5679331,2
300000,5.956004399999999,2
325000,8.031696,2
350000,6.5977098,2
375000,7.050075,2
400000,7.966984199999999,2
425000,8.2786533,2
450000,6.8671719,2
475000,8.2267201,2
500000,12.214342299999998,2
525000,8.005338599999998,2
550000,9.4049969,2
575000,6.891663299999999,2
600000,7.514129199999999,2
625000,7.054629299999999,2
650000,6.8085206,2
675000,9.3303337,2
700000,7.1685389000000015,2
725000,7.933479,2
750000,7.746317500000001,2
775000,7.840537100000001,2
800000,7.062789099999999,2
825000,9.2441559,2
850000,6.7111669,2
875000,5.5874114,2
900000,8.664219899999999,2
925000,8.8326581,2
950000,7.272502,2
975000,8.1500209,2
1000000,8.8398006,2
1,4.8969641,3
25000,5.29053,3
50000,6.6627798,3
75000,6.4760412,3
100000,6.536921699999999,3
125000,5.3974887,3
150000,6.4598706,3
175000,4.827094000000001,3
200000,8.2576324,3
225000,6.978574,3
250000,7.5906761,3
275000,7.097062800000001,3
300000,6.731754100000001,3
325000,7.1573497,3
350000,8.226766399999999,3
375000,8.2458647,3
400000,5.4840283,3
425000,8.3203845,3
450000,7.4642456,3
475000,7.239164299999999,3
500000,8.0813858,3
525000,6.607610899999999,3
550000,8.5630024,3
575000,8.2920085,3
600000,9.8028433,3
625000,8.300067199999999,3
650000,8.409155,3
675000,8.0724812,3
700000,7.430595600000001,3
725000,6.3365698,3
750000,7.7493742,3
775000,9.0888283,3
800000,8.490909199999999,3
825000,7.795832900000001,3
850000,7.819192900000002,3
875000,8.3309133,3
900000,9.4760576,3
925000,9.5000304,3
950000,7.4139496,3
975000,7.967362400000001,3
1000000,7.451640299999999,3
1,4.567473199999999,4
25000,3.7758256,4
50000,5.6979348000000005,4
75000,5.094107600000001,4
100000,7.0831639,4
125000,7.756914500000001,4
150000,8.160355899999999,4
175000,5.319100199999999,4
200000,7.736070500000001,4
225000,7.8331432,4
250000,7.088111499999999,4
275000,7.3492636,4
300000,7.697979599999999,4
325000,7.7394245,4
350000,7.3463165,4
375000,8.2904609,4
400000,6.6689127,4
425000,8.0060483,4
450000,9.3940727,4
475000,8.415261999999998,4
500000,9.0803215,4
525000,7.230911300000001,4
550000,7.7071507,4
575000,6.702821999999999,4
600000,8.8776501,4
625000,6.1945239,4
650000,8.277023499999999,4
675000,8.523427799999999,4
700000,8.6545452,4
725000,8.297114499999998,4
750000,6.6225069,4
775000,8.8158684,4
800000,8.7193973,4
825000,9.4583896,4
850000,8.5839572,4
875000,8.8929024,4
900000,9.9474771,4
925000,8.2436508,4
950000,9.0161963,4
975000,9.510355100000002,4
1000000,9.7989558,4
1,2.6719651000000004,5
25000,5.8602673,5
50000,7.839453600000001,5
75000,6.388710999999999,5
100000,5.5524766,5
125000,8.362507899999999,5
150000,7.0832503,5
175000,6.434963599999999,5
200000,6.526933699999999,5
225000,7.9904871,5
250000,8.202307600000001,5
275000,7.452096399999999,5
300000,8.1807794,5
325000,6.7726113,5
350000,6.6377921,5
375000,6.8554743,5
400000,6.935060599999998,5
425000,7.9858609,5
450000,8.6147966,5
475000,8.301549,5
500000,49.5623346,5
525000,285.7301198,5
550000,319.4480115,5
575000,346.06333730000006,5
600000,401.6177584,5
625000,426.8415021,5
650000,470.6875337,5
675000,497.1286933,5
700000,541.0267808000001,5
725000,701.5546801999999,5
750000,778.3520808,5
775000,759.5658326,5
800000,798.4742774,5
825000,782.8819897999999,5
850000,800.369504,5
875000,857.1663044999999,5
900000,870.7648771,5
925000,876.0800157,5
950000,825.5745282,5
975000,875.1111103,5
1000000,855.2890891,5
1,5.3303906,6
25000,4.6625837,6
50000,4.0154561,6
75000,5.3370715,6
100000,3.3700923000000005,6
125000,5.101269,6
150000,6.1626353,6
175000,6.723787499999999,6
200000,6.835047399999999,6
225000,6.9089343,6
250000,6.8142329,6
275000,5.9055631,6
300000,6.0022978,6
325000,6.056364,6
350000,7.0257434000000005,6
375000,6.5852446,6
400000,6.201266800000001,6
425000,6.1507413,6
450000,6.4350353,6
475000,7.1935069,6
500000,5.7767765,6
525000,7.321850500000001,6
550000,6.976092,6
575000,6.1912209,6
600000,4.4900768,6
625000,8.7538594,6
650000,6.2537286000000005,6
675000,7.9681722,6
700000,7.634347899999999,6
725000,6.8728037,6
750000,9.6327209,6
775000,7.5627252,6
800000,7.510535499999999,6
825000,8.031762400000002,6
850000,17.9166495,6
875000,7.8326499,6
900000,6.2216466,6
925000,8.387162400000001,6
950000,7.993576900000001,6
975000,8.4588403,6
1000000,9.7858269,6
1,6.0608954,7
25000,6.7730358,7
50000,4.054631,7
75000,7.2660522,7
100000,6.457289200000001,7
125000,5.331356,7
150000,6.1724175,7
175000,8.2743145,7
200000,7.7574415,7
225000,5.792099400000001,7
250000,5.3513842,7
275000,7.4390369,7
300000,7.983265300000001,7
325000,7.572851,7
350000,7.550405299999999,7
375000,6.5069041,7
400000,10.0509054,7
425000,7.321327200000001,7
450000,8.981984999999998,7
475000,7.789572600000001,7
500000,8.8459293,7
525000,7.3901983,7
550000,6.515784099999999,7
575000,7.638818599999999,7
600000,7.6145336,7
625000,9.4225236,7
650000,8.188493600000001,7
675000,8.2249371,7
700000,8.2523036,7
725000,7.453565300000001,7
750000,7.958119999999999,7
775000,8.1428044,7
800000,7.048724,7
825000,10.4283593,7
850000,8.241656599999999,7
875000,10.441876099999998,7
900000,7.232232999999999,7
925000,9.260899599999998,7
950000,7.1297201,7
975000,8.5480014,7
1000000,8.7880223,7
1,5.553848700000001,8
25000,5.0458336,8
50000,3.5124686000000005,8
75000,6.056232100000001,8
100000,8.083636600000002,8
125000,5.6466532,8
150000,6.1277007,8
175000,7.08554,8
200000,7.882268699999999,8
225000,5.4984041,8
250000,8.3104412,8
275000,7.3497816,8
300000,6.0444908,8
325000,7.708556600000001,8
350000,8.063334200000002,8
375000,7.356071399999999,8
400000,7.790906299999999,8
425000,8.8882929,8
450000,9.9207593,8
475000,8.8266336,8
500000,7.5997344,8
525000,8.9231197,8
550000,10.5099294,8
575000,7.592167399999999,8
600000,8.132135799999999,8
625000,8.4017657,8
650000,7.5302302,8
675000,7.739773,8
700000,6.839538,8
725000,8.60671,8
750000,8.411404000000001,8
775000,8.5510649,8
800000,10.2061357,8
825000,8.0679703,8
850000,6.7954995,8
875000,8.987705199999999,8
900000,8.778221300000002,8
925000,9.0582899,8
950000,8.132230000000002,8
975000,8.524746399999998,8
1000000,9.438486700000002,8
1,4.4503393,9
25000,2.5919592,9
50000,4.8747747,9
75000,3.9145982,9
100000,5.052082199999999,9
125000,5.809364799999999,9
150000,5.7495605,9
175000,6.8832621000000005,9
200000,6.8483373,9
225000,4.8837792,9
250000,6.452052900000001,9
275000,5.4443117,9
300000,4.5736081,9
325000,7.573334,9
350000,7.1546653,9
375000,7.3207359,9
400000,7.949723199999999,9
425000,6.3089735000000005,9
450000,6.671069399999999,9
475000,7.920619100000001,9
500000,8.4874133,9
525000,7.8929939,9
550000,8.332989800000002,9
575000,8.8417086,9
600000,8.6635086,9
625000,8.4840662,9
650000,8.4506135,9
675000,6.1719026,9
700000,8.3838674,9
725000,6.431335899999999,9
750000,7.425319399999999,9
775000,6.796481100000001,9
800000,7.9121472,9
825000,9.2003989,9
850000,7.300144999999999,9
875000,9.1401373,9
900000,7.5434956,9
925000,7.1828044,9
950000,6.8581636,9
975000,8.912277300000001,9
1000000,7.032442999999999,9
