step,reward,seed
0,0.0,0
25000,52.8,0
50000,813.6,0
75000,746.0,0
100000,904.6,0
125000,897.8,0
150000,852.4,0
175000,758.2,0
200000,856.0,0
225000,802.0,0
250000,899.8,0
275000,781.4,0
300000,776.0,0
325000,872.6,0
350000,780.2,0
375000,804.6,0
400000,820.4,0
425000,839.8,0
450000,881.2,0
475000,850.4,0
500000,875.0,0
525000,855.2,0
550000,845.4,0
575000,829.2,0
600000,813.0,0
625000,804.2,0
650000,837.0,0
675000,810.2,0
700000,887.4,0
725000,868.6,0
750000,846.2,0
775000,810.6,0
800000,858.4,0
825000,901.0,0
850000,823.8,0
875000,875.2,0
900000,820.4,0
925000,802.2,0
950000,901.6,0
975000,815.4,0
1000000,809.2,0
0,0.0,1
25000,0.0,1
50000,770.6,1
75000,803.6,1
100000,820.2,1
125000,802.4,1
150000,821.2,1
175000,840.8,1
200000,800.6,1
225000,850.4,1
250000,801.0,1
275000,902.8,1
300000,922.6,1
325000,851.6,1
350000,871.8,1
375000,885.0,1
400000,796.6,1
425000,802.8,1
450000,828.2,1
475000,772.8,1
500000,882.8,1
525000,836.0,1
550000,782.2,1
575000,830.2,1
600000,910.0,1
625000,801.6,1
650000,828.8,1
675000,772.4,1
700000,897.8,1
725000,890.0,1
750000,826.8,1
775000,767.2,1
800000,812.8,1
825000,767.4,1
850000,788.2,1
875000,841.0,1
900000,875.2,1
925000,820.4,1
950000,882.8,1
975000,870.0,1
1000000,759.2,1
0,0.0,2
25000,827.6,2
50000,913.4,2
75000,804.2,2
100000,767.2,2
125000,828.0,2
150000,803.0,2
175000,803.6,2
200000,804.2,2
225000,777.4,2
250000,780.8,2
275000,785.6,2
300000,764.0,2
325000,871.8,2
350000,732.4,2
375000,826.8,2
400000,859.0,2
425000,807.8,2
450000,799.4,2
475000,869.2,2
500000,866.0,2
525000,791.4,2
550000,848.0,2
575000,875.2,2
600000,715.4,2
625000,874.8,2
650000,895.0,2
675000,805.6,2
700000,881.6,2
725000,852.4,2
750000,864.6,2
775000,815.6,2
800000,934.8,2
825000,906.0,2
850000,883.2,2
875000,902.8,2
900000,786.6,2
925000,798.8,2
950000,867.4,2
975000,789.8,2
1000000,920.4,2
0,0.0,3
25000,800.6,3
50000,826.8,3
75000,859.4,3
100000,566.4,3
125000,885.4,3
150000,809.8,3
175000,856.0,3
200000,863.4,3
225000,841.2,3
250000,758.2,3
275000,802.4,3
300000,808.2,3
325000,884.2,3
350000,835.6,3
375000,811.8,3
400000,793.4,3
425000,802.8,3
450000,797.4,3
475000,855.6,3
500000,829.8,3
525000,894.0,3
550000,831.2,3
575000,760.0,3
600000,863.4,3
625000,843.6,3
650000,809.8,3
675000,849.4,3
700000,882.6,3
725000,838.8,3
750000,920.6,3
775000,815.0,3
800000,934.6,3
825000,855.0,3
850000,793.2,3
875000,886.2,3
900000,835.2,3
925000,792.4,3
950000,804.2,3
975000,763.6,3
1000000,818.8,3
0,0.0,4
25000,0.0,4
50000,767.0,4
75000,848.4,4
100000,848.6,4
125000,786.6,4
150000,856.4,4
175000,803.4,4
200000,755.0,4
225000,709.0,4
250000,829.0,4
275000,784.6,4
300000,781.8,4
325000,832.0,4
350000,870.6,4
375000,915.2,4
400000,731.6,4
425000,755.6,4
450000,838.0,4
475000,798.0,4
500000,913.6,4
525000,786.4,4
550000,888.2,4
575000,829.4,4
600000,814.2,4
625000,812.4,4
650000,790.8,4
675000,692.0,4
700000,912.2,4
725000,757.2,4
750000,788.8,4
775000,874.4,4
800000,821.2,4
825000,924.8,4
850000,852.6,4
875000,783.0,4
900000,846.6,4
925000,849.4,4
950000,859.4,4
975000,831.0,4
1000000,827.6,4
0,0.0,5
25000,804.8,5
50000,884.4,5
75000,822.2,5
100000,826.6,5
125000,742.6,5
150000,867.0,5
175000,831.0,5
200000,866.0,5
225000,861.2,5
250000,879.8,5
275000,866.0,5
300000,900.2,5
325000,767.8,5
350000,848.0,5
375000,829.8,5
400000,950.8,5
425000,830.2,5
450000,832.6,5
475000,942.0,5
500000,863.4,5
525000,831.4,5
550000,855.4,5
575000,836.2,5
600000,808.8,5
625000,777.0,5
650000,850.8,5
675000,834.2,5
700000,911.4,5
725000,838.6,5
750000,795.6,5
775000,861.4,5
800000,914.0,5
825000,857.6,5
850000,883.0,5
875000,810.4,5
900000,822.2,5
925000,763.4,5
950000,784.4,5
975000,826.0,5
1000000,821.0,5
0,0.0,6
25000,668.8,6
50000,896.2,6
75000,846.2,6
100000,904.8,6
125000,791.6,6
150000,931.2,6
175000,822.4,6
200000,851.4,6
225000,807.0,6
250000,833.4,6
275000,809.8,6
300000,891.6,6
325000,762.4,6
350000,836.0,6
375000,849.6,6
400000,847.0,6
425000,923.6,6
450000,822.4,6
475000,776.0,6
500000,840.4,6
525000,854.0,6
550000,794.8,6
575000,871.6,6
600000,745.6,6
625000,809.0,6
650000,851.6,6
675000,815.6,6
700000,908.4,6
725000,879.0,6
750000,830.6,6
775000,923.2,6
800000,852.8,6
825000,856.6,6
850000,854.6,6
875000,769.2,6
900000,859.6,6
925000,878.6,6
950000,870.8,6
975000,742.8,6
1000000,858.2,6
0,0.0,7
25000,793.4,7
50000,851.4,7
75000,878.6,7
100000,806.0,7
125000,874.0,7
150000,832.0,7
175000,794.8,7
200000,808.8,7
225000,918.2,7
250000,816.2,7
275000,822.6,7
300000,822.4,7
325000,787.6,7
350000,935.8,7
375000,817.2,7
400000,806.6,7
425000,820.6,7
450000,853.2,7
475000,854.4,7
500000,895.8,7
525000,872.6,7
550000,852.2,7
575000,854.8,7
600000,892.8,7
625000,824.8,7
650000,854.4,7
675000,820.6,7
700000,849.6,7
725000,886.8,7
750000,874.8,7
775000,826.6,7
800000,798.6,7
825000,818.6,7
850000,840.0,7
875000,859.2,7
900000,768.0,7
925000,826.2,7
950000,785.6,7
975000,876.2,7
1000000,848.6,7
0,0.0,8
25000,873.6,8
50000,812.8,8
75000,782.8,8
100000,849.8,8
125000,895.8,8
150000,751.2,8
175000,799.8,8
200000,886.8,8
225000,796.0,8
250000,786.4,8
275000,878.4,8
300000,862.6,8
325000,829.0,8
350000,850.2,8
375000,828.8,8
400000,756.2,8
425000,811.6,8
450000,845.4,8
475000,933.2,8
500000,905.0,8
525000,859.0,8
550000,778.8,8
575000,944.8,8
600000,787.2,8
625000,801.8,8
650000,778.8,8
675000,877.2,8
700000,901.0,8
725000,897.8,8
750000,781.6,8
775000,812.4,8
800000,735.6,8
825000,878.0,8
850000,850.2,8
875000,857.6,8
900000,862.0,8
925000,882.8,8
950000,759.4,8
975000,781.0,8
1000000,807.6,8
0,0.0,9
25000,856.6,9
50000,870.2,9
75000,858.8,9
100000,824.4,9
125000,895.2,9
150000,870.8,9
175000,899.2,9
200000,780.2,9
225000,802.6,9
250000,856.8,9
275000,805.0,9
300000,835.6,9
325000,814.8,9
350000,837.2,9
375000,849.6,9
400000,967.8,9
425000,743.2,9
450000,842.2,9
475000,906.8,9
500000,872.6,9
525000,781.6,9
550000,834.8,9
575000,847.0,9
600000,783.6,9
625000,858.6,9
650000,790.6,9
675000,874.2,9
700000,790.2,9
725000,936.2,9
750000,840.8,9
775000,817.4,9
800000,851.8,9
825000,834.6,9
850000,816.6,9
875000,824.2,9
900000,828.2,9
925000,921.0,9
950000,855.4,9
975000,754.8,9
1000000,851.8,9
