step,reward,seed
0,0.0,0
25000,0.0,0
50000,0.0,0
75000,0.0,0
100000,0.0,0
125000,0.0,0
150000,0.0,0
175000,0.0,0
200000,16.4,0
225000,47.5,0
250000,16.4,0
275000,16.4,0
300000,32.3,0
325000,16.4,0
350000,16.4,0
375000,16.4,0
400000,16.4,0
425000,16.4,0
450000,31.9,0
475000,37.9,0
500000,44.7,0
525000,33.3,0
550000,37.7,0
575000,47.9,0
600000,39.1,0
625000,38.8,0
650000,40.0,0
675000,48.4,0
700000,43.0,0
725000,94.2,0
750000,648.1,0
775000,657.6,0
800000,652.9,0
825000,653.2,0
850000,645.4,0
875000,654.6,0
900000,655.1,0
925000,654.5,0
950000,654.6,0
975000,654.7,0
0,0.0,1
25000,0.0,1
50000,5.7,1
75000,32.3,1
100000,33.0,1
125000,28.6,1
150000,28.0,1
175000,32.9,1
200000,28.1,1
225000,26.9,1
250000,28.1,1
275000,28.4,1
300000,27.3,1
325000,28.0,1
350000,34.1,1
375000,36.5,1
400000,34.7,1
425000,26.9,1
450000,380.3,1
475000,536.8,1
500000,549.8,1
525000,463.3,1
550000,462.2,1
575000,461.2,1
600000,543.5,1
625000,462.3,1
650000,546.2,1
675000,463.4,1
700000,463.7,1
725000,551.6,1
750000,543.8,1
775000,463.9,1
800000,548.0,1
825000,552.6,1
850000,551.9,1
875000,553.1,1
900000,553.1,1
925000,553.1,1
950000,553.1,1
975000,553.3,1
0,0.0,2
25000,0.0,2
50000,0.0,2
75000,0.0,2
100000,0.0,2
125000,0.0,2
150000,0.0,2
175000,0.0,2
200000,0.0,2
225000,0.0,2
250000,0.0,2
275000,0.0,2
300000,0.0,2
325000,0.0,2
350000,0.0,2
375000,0.0,2
400000,0.0,2
425000,0.0,2
450000,0.0,2
475000,0.0,2
500000,0.0,2
525000,0.0,2
550000,0.0,2
575000,0.0,2
600000,0.0,2
625000,0.0,2
650000,0.0,2
675000,0.0,2
700000,0.0,2
725000,0.0,2
750000,0.0,2
775000,0.0,2
800000,0.0,2
825000,0.0,2
850000,0.0,2
875000,0.0,2
900000,0.0,2
925000,0.0,2
950000,0.0,2
975000,0.0,2
0,1.7,3
25000,1.7,3
50000,100.0,3
75000,189.9,3
100000,193.2,3
125000,437.5,3
150000,274.7,3
175000,334.5,3
200000,369.3,3
225000,453.0,3
250000,451.3,3
275000,453.2,3
300000,453.0,3
325000,533.6,3
350000,532.7,3
375000,533.8,3
400000,533.8,3
425000,532.9,3
450000,533.1,3
475000,533.5,3
500000,534.7,3
525000,533.9,3
550000,533.9,3
575000,534.3,3
600000,534.7,3
625000,534.5,3
650000,534.6,3
675000,534.5,3
700000,534.9,3
725000,534.8,3
750000,534.9,3
775000,534.6,3
800000,534.0,3
825000,533.8,3
850000,534.8,3
875000,535.1,3
900000,534.7,3
925000,536.1,3
950000,545.4,3
975000,545.3,3
0,0.0,4
25000,0.0,4
50000,31.1,4
75000,31.8,4
100000,11.0,4
125000,16.6,4
150000,26.2,4
175000,21.4,4
200000,23.0,4
225000,22.3,4
250000,22.6,4
275000,199.0,4
300000,181.1,4
325000,187.1,4
350000,275.7,4
375000,439.0,4
400000,271.1,4
425000,449.2,4
450000,275.6,4
475000,364.7,4
500000,365.6,4
525000,449.5,4
550000,365.4,4
575000,449.8,4
600000,450.0,4
625000,449.3,4
650000,449.2,4
675000,449.0,4
700000,450.3,4
725000,449.5,4
750000,449.7,4
775000,449.5,4
800000,450.2,4
825000,448.7,4
850000,449.6,4
875000,450.0,4
900000,529.8,4
925000,449.8,4
950000,448.5,4
975000,449.7,4
0,2.3,5
25000,2.3,5
50000,200.0,5
75000,200.0,5
100000,200.0,5
125000,289.4,5
150000,446.3,5
175000,371.2,5
200000,381.8,5
225000,602.9,5
250000,465.8,5
275000,465.5,5
300000,465.4,5
325000,460.0,5
350000,465.4,5
375000,465.5,5
400000,466.2,5
425000,546.7,5
450000,546.7,5
475000,546.7,5
500000,631.3,5
525000,631.5,5
550000,627.7,5
575000,712.0,5
600000,631.3,5
625000,711.7,5
650000,710.8,5
675000,712.9,5
700000,713.2,5
725000,710.1,5
750000,712.5,5
775000,712.4,5
800000,711.0,5
825000,712.6,5
850000,713.3,5
875000,712.5,5
900000,713.7,5
925000,713.2,5
950000,712.3,5
975000,712.6,5
0,0.0,6
25000,0.0,6
50000,33.2,6
75000,34.2,6
100000,466.2,6
125000,546.9,6
150000,556.4,6
175000,553.7,6
200000,553.0,6
225000,259.1,6
250000,552.7,6
275000,555.2,6
300000,551.5,6
325000,556.3,6
350000,556.4,6
375000,556.8,6
400000,638.0,6
425000,637.0,6
450000,637.3,6
475000,638.5,6
500000,638.0,6
525000,638.1,6
550000,637.0,6
575000,638.3,6
600000,638.0,6
625000,638.6,6
650000,638.8,6
675000,638.9,6
700000,638.0,6
725000,638.9,6
750000,638.9,6
775000,638.5,6
800000,638.6,6
825000,638.7,6
850000,638.7,6
875000,638.6,6
900000,639.1,6
925000,638.7,6
950000,638.8,6
975000,638.9,6
0,10.3,7
25000,10.3,7
50000,200.0,7
75000,200.0,7
100000,200.0,7
125000,200.0,7
150000,200.0,7
175000,200.0,7
200000,200.0,7
225000,200.0,7
250000,200.0,7
275000,200.0,7
300000,200.0,7
325000,200.0,7
350000,200.0,7
375000,200.0,7
400000,200.0,7
425000,200.0,7
450000,200.0,7
475000,200.0,7
500000,200.0,7
525000,200.0,7
550000,200.0,7
575000,200.0,7
600000,200.0,7
625000,200.0,7
650000,200.0,7
675000,200.0,7
700000,200.0,7
725000,200.0,7
750000,200.0,7
775000,200.0,7
800000,200.0,7
825000,200.0,7
850000,200.0,7
875000,200.0,7
900000,200.0,7
925000,200.0,7
950000,200.0,7
975000,200.0,7
0,0.2,8
25000,0.2,8
50000,2.7,8
75000,2.6,8
100000,2.6,8
125000,2.6,8
150000,2.6,8
175000,19.4,8
200000,19.4,8
225000,19.6,8
250000,19.4,8
275000,19.4,8
300000,19.4,8
325000,2.6,8
350000,2.6,8
375000,2.6,8
400000,2.6,8
425000,2.6,8
450000,2.6,8
475000,10.7,8
500000,7.2,8
525000,2.6,8
550000,2.6,8
575000,2.6,8
600000,2.6,8
625000,2.6,8
650000,2.6,8
675000,2.6,8
700000,2.6,8
725000,2.6,8
750000,18.8,8
775000,19.4,8
