step,reward,seed
1,21.9,0
25000,0.0,0
50000,0.4,0
75000,2.3,0
100000,0.0,0
125000,0.0,0
150000,0.0,0
175000,0.0,0
200000,0.5,0
225000,1.2,0
250000,0.0,0
275000,1.0,0
300000,0.0,0
325000,2.0,0
350000,0.0,0
375000,0.0,0
400000,0.0,0
425000,1.4,0
450000,2.2,0
475000,2.3,0
500000,2.2,0
525000,0.0,0
550000,2.7,0
575000,0.3,0
600000,2.5,0
625000,0.0,0
650000,0.0,0
675000,2.7,0
700000,0.0,0
725000,0.0,0
750000,0.0,0
775000,0.0,0
800000,0.0,0
825000,0.0,0
850000,0.0,0
875000,21.9,0
900000,21.9,0
925000,21.9,0
950000,21.9,0
975000,21.9,0
1000000,21.9,0
1,14.9,1
25000,0.0,1
50000,0.0,1
75000,0.0,1
100000,5.5,1
125000,0.0,1
150000,2.1,1
175000,0.8,1
200000,0.0,1
225000,9.7,1
250000,14.9,1
275000,14.9,1
300000,14.9,1
325000,14.9,1
350000,14.9,1
375000,14.9,1
400000,14.9,1
425000,14.9,1
450000,14.9,1
475000,14.9,1
500000,14.9,1
525000,14.9,1
550000,14.9,1
575000,14.9,1
600000,14.9,1
625000,14.9,1
650000,14.9,1
675000,14.9,1
700000,14.9,1
725000,14.9,1
750000,14.9,1
775000,14.9,1
800000,14.9,1
825000,14.9,1
850000,14.9,1
875000,14.9,1
900000,14.9,1
925000,14.9,1
950000,14.9,1
975000,14.9,1
1000000,14.9,1
1,0.0,2
25000,0.0,2
50000,0.0,2
75000,298.4,2
100000,0.0,2
125000,298.4,2
150000,298.4,2
175000,298.4,2
200000,298.4,2
225000,298.4,2
250000,298.4,2
275000,298.4,2
300000,298.4,2
325000,298.4,2
350000,298.4,2
375000,298.4,2
400000,298.4,2
425000,298.4,2
450000,298.4,2
475000,298.4,2
500000,298.4,2
525000,298.4,2
550000,298.4,2
575000,298.4,2
600000,298.4,2
625000,298.4,2
650000,298.4,2
675000,298.4,2
700000,298.4,2
725000,298.4,2
750000,298.4,2
775000,298.4,2
800000,298.4,2
825000,298.4,2
850000,298.4,2
875000,298.4,2
900000,298.4,2
925000,298.4,2
950000,298.4,2
975000,298.4,2
1000000,298.4,2
1,3.0,3
25000,6.9,3
50000,0.4,3
75000,100.0,3
100000,0.0,3
125000,0.0,3
150000,198.3,3
175000,0.0,3
200000,100.0,3
225000,0.0,3
250000,198.3,3
275000,198.3,3
300000,198.3,3
325000,198.3,3
350000,198.3,3
375000,198.3,3
400000,198.3,3
425000,198.3,3
450000,198.3,3
475000,198.3,3
500000,198.3,3
525000,198.3,3
550000,198.3,3
575000,198.3,3
600000,198.3,3
625000,198.3,3
650000,198.3,3
675000,198.3,3
700000,198.3,3
725000,198.3,3
750000,198.3,3
775000,198.3,3
800000,198.3,3
825000,198.3,3
850000,198.3,3
875000,198.3,3
900000,198.3,3
925000,198.3,3
950000,198.3,3
975000,198.3,3
1000000,198.3,3
1,0.0,4
25000,0.0,4
50000,0.0,4
75000,1.0,4
100000,0.0,4
125000,100.0,4
150000,0.0,4
175000,100.0,4
200000,0.0,4
225000,200.0,4
250000,100.0,4
275000,200.0,4
300000,100.0,4
325000,200.0,4
350000,100.0,4
375000,100.0,4
400000,100.0,4
425000,100.0,4
450000,99.1,4
475000,0.0,4
500000,97.6,4
525000,0.0,4
550000,0.0,4
575000,0.0,4
600000,198.3,4
625000,0.0,4
650000,100.0,4
675000,0.0,4
700000,0.0,4
725000,0.0,4
750000,0.0,4
775000,0.0,4
800000,0.0,4
825000,0.0,4
850000,0.0,4
875000,200.0,4
900000,200.0,4
925000,200.0,4
950000,200.0,4
975000,200.0,4
1000000,200.0,4
1,2.7,5
25000,0.0,5
50000,0.6,5
75000,0.9,5
100000,0.0,5
125000,1.7,5
150000,2.1,5
175000,0.0,5
200000,2.8,5
225000,1.5,5
250000,0.0,5
275000,0.9,5
300000,2.5,5
325000,0.0,5
350000,3.2,5
375000,0.0,5
400000,0.0,5
425000,3.5,5
450000,0.0,5
475000,0.0,5
500000,3.5,5
525000,3.5,5
550000,3.5,5
575000,3.5,5
600000,3.5,5
625000,3.5,5
650000,3.5,5
675000,3.5,5
700000,3.5,5
725000,3.5,5
750000,3.5,5
775000,3.5,5
800000,3.5,5
825000,3.5,5
850000,3.5,5
875000,3.5,5
900000,3.5,5
925000,3.5,5
950000,3.5,5
975000,3.5,5
1000000,3.5,5
1,10.9,6
25000,0.0,6
50000,0.0,6
75000,0.0,6
100000,0.0,6
125000,0.0,6
150000,1.9,6
175000,1.2,6
200000,0.0,6
225000,0.3,6
250000,0.0,6
275000,0.0,6
300000,0.0,6
325000,0.0,6
350000,0.0,6
375000,10.9,6
400000,10.9,6
425000,10.9,6
450000,10.9,6
475000,10.9,6
500000,10.9,6
525000,10.9,6
550000,10.9,6
575000,10.9,6
600000,10.9,6
625000,10.9,6
650000,10.9,6
675000,10.9,6
700000,10.9,6
725000,10.9,6
750000,10.9,6
775000,10.9,6
800000,10.9,6
825000,10.9,6
850000,10.9,6
875000,10.9,6
900000,10.9,6
925000,10.9,6
950000,10.9,6
975000,10.9,6
1000000,10.9,6
1,15.5,7
25000,0.0,7
50000,0.0,7
75000,0.9,7
100000,100.0,7
125000,100.0,7
150000,100.0,7
175000,100.0,7
200000,100.0,7
