algo,universe,env,seed,time,model_size,replay_ratio
bbf_dac-xs-rr1,dm_control,acrobot-swingup,0,384,xs,1
bbf_dac-xs-rr1,dm_control,cheetah-run,0,394,xs,1
bbf_dac-xs-rr1,dm_control,dog-trot,0,592,xs,1
bbf_dac-xs-rr1,dm_control,dog-run,0,599,xs,1
bbf_dac-xs-rr1,dm_control,dog-walk,0,593,xs,1
bbf_dac-xs-rr1,dm_control,dog-stand,0,580,xs,1
bbf_dac-xs-rr1,dm_control,fish-swim,0,409,xs,1
bbf_dac-xs-rr1,dm_control,hopper-hop,0,400,xs,1
bbf_dac-xs-rr1,dm_control,humanoid-run,0,457,xs,1
bbf_dac-xs-rr1,dm_control,humanoid-stand,0,454,xs,1
bbf_dac-xs-rr1,dm_control,humanoid-walk,0,458,xs,1
bbf_dac-xs-rr1,dm_control,pendulum-swingup,0,379,xs,1
bbf_dac-xs-rr1,dm_control,quadruped-run,0,422,xs,1
bbf_dac-xs-rr1,dm_control,walker-run,0,419,xs,1
bbf_dac-xs-rr1,dm_control,finger-turn_hard,0,462,xs,1
bbf_dac-xs-rr10,dm_control,acrobot-swingup,0,1759,xs,10
bbf_dac-xs-rr10,dm_control,cheetah-run,0,1908,xs,10
bbf_dac-xs-rr10,dm_control,dog-trot,0,2292,xs,10
bbf_dac-xs-rr10,dm_control,dog-run,0,2242,xs,10
bbf_dac-xs-rr10,dm_control,dog-walk,0,2255,xs,10
bbf_dac-xs-rr10,dm_control,dog-stand,0,2239,xs,10
bbf_dac-xs-rr10,dm_control,fish-swim,0,1916,xs,10
bbf_dac-xs-rr10,dm_control,hopper-hop,0,1896,xs,10
bbf_dac-xs-rr10,dm_control,humanoid-run,0,2047,xs,10
bbf_dac-xs-rr10,dm_control,humanoid-stand,0,2049,xs,10
bbf_dac-xs-rr10,dm_control,humanoid-walk,0,2032,xs,10
bbf_dac-xs-rr10,dm_control,pendulum-swingup,0,1750,xs,10
bbf_dac-xs-rr10,dm_control,quadruped-run,0,1932,xs,10
bbf_dac-xs-rr10,dm_control,walker-run,0,1917,xs,10
bbf_dac-xs-rr10,dm_control,finger-turn_hard,0,1913,xs,10
bbf_dac-xs-rr15,dm_control,acrobot-swingup,0,2567,xs,15
bbf_dac-xs-rr15,dm_control,cheetah-run,0,2728,xs,15
bbf_dac-xs-rr15,dm_control,dog-trot,0,3165,xs,15
bbf_dac-xs-rr15,dm_control,dog-run,0,3206,xs,15
bbf_dac-xs-rr15,dm_control,dog-walk,0,3182,xs,15
bbf_dac-xs-rr15,dm_control,dog-stand,0,3162,xs,15
bbf_dac-xs-rr15,dm_control,fish-swim,0,2773,xs,15
bbf_dac-xs-rr15,dm_control,hopper-hop,0,2669,xs,15
bbf_dac-xs-rr15,dm_control,humanoid-run,0,2978,xs,15
bbf_dac-xs-rr15,dm_control,humanoid-stand,0,2918,xs,15
bbf_dac-xs-rr15,dm_control,humanoid-walk,0,2900,xs,15
bbf_dac-xs-rr15,dm_control,pendulum-swingup,0,2540,xs,15
bbf_dac-xs-rr15,dm_control,finger-turn_hard,0,2665,xs,15
bbf_dac-xs-rr15,dm_control,quadruped-run,0,2788,xs,15
bbf_dac-xs-rr15,dm_control,walker-run,0,2714,xs,15
bbf_dac-xs-rr2,dm_control,acrobot-swingup,0,566,xs,2
bbf_dac-xs-rr2,dm_control,cheetah-run,0,591,xs,2
bbf_dac-xs-rr2,dm_control,dog-trot,0,806,xs,2
bbf_dac-xs-rr2,dm_control,dog-run,0,808,xs,2
bbf_dac-xs-rr2,dm_control,dog-walk,0,803,xs,2
bbf_dac-xs-rr2,dm_control,dog-stand,0,798,xs,2
bbf_dac-xs-rr2,dm_control,fish-swim,0,611,xs,2
bbf_dac-xs-rr2,dm_control,hopper-hop,0,572,xs,2
bbf_dac-xs-rr2,dm_control,humanoid-run,0,659,xs,2
bbf_dac-xs-rr2,dm_control,humanoid-stand,0,656,xs,2
bbf_dac-xs-rr2,dm_control,humanoid-walk,0,641,xs,2
bbf_dac-xs-rr2,dm_control,pendulum-swingup,0,540,xs,2
bbf_dac-xs-rr2,dm_control,quadruped-run,0,600,xs,2
bbf_dac-xs-rr2,dm_control,walker-run,0,623,xs,2
bbf_dac-xs-rr2,dm_control,finger-turn_hard,0,600,xs,2
bbf_dac-xs-rr5,dm_control,acrobot-swingup,0,1016,xs,5
bbf_dac-xs-rr5,dm_control,cheetah-run,0,1089,xs,5
bbf_dac-xs-rr5,dm_control,dog-trot,0,1353,xs,5
bbf_dac-xs-rr5,dm_control,dog-run,0,1329,xs,5
bbf_dac-xs-rr5,dm_control,dog-walk,0,1335,xs,5
bbf_dac-xs-rr5,dm_control,dog-stand,0,1347,xs,5
bbf_dac-xs-rr5,dm_control,fish-swim,0,1097,xs,5
bbf_dac-xs-rr5,dm_control,hopper-hop,0,1066,xs,5
bbf_dac-xs-rr5,dm_control,humanoid-run,0,1197,xs,5
bbf_dac-xs-rr5,dm_control,humanoid-stand,0,1166,xs,5
bbf_dac-xs-rr5,dm_control,humanoid-walk,0,1159,xs,5
bbf_dac-xs-rr5,dm_control,pendulum-swingup,0,1011,xs,5
bbf_dac-xs-rr5,dm_control,quadruped-run,0,1124,xs,5
bbf_dac-xs-rr5,dm_control,walker-run,0,1110,xs,5
bbf_dac-xs-rr5,dm_control,finger-turn_hard,0,1110,xs,5
bbf_dac-s-rr1,dm_control,acrobot-swingup,0,407,s,1
bbf_dac-s-rr1,dm_control,cheetah-run,0,429,s,1
bbf_dac-s-rr1,dm_control,dog-trot,0,611,s,1
bbf_dac-s-rr1,dm_control,dog-run,0,605,s,1
bbf_dac-s-rr1,dm_control,dog-walk,0,620,s,1
bbf_dac-s-rr1,dm_control,dog-stand,0,615,s,1
bbf_dac-s-rr1,dm_control,fish-swim,0,436,s,1
bbf_dac-s-rr1,dm_control,hopper-hop,0,430,s,1
bbf_dac-s-rr1,dm_control,humanoid-run,0,485,s,1
bbf_dac-s-rr1,dm_control,humanoid-stand,0,486,s,1
bbf_dac-s-rr1,dm_control,humanoid-walk,0,485,s,1
bbf_dac-s-rr1,dm_control,pendulum-swingup,0,407,s,1
bbf_dac-s-rr1,dm_control,quadruped-run,0,455,s,1
bbf_dac-s-rr1,dm_control,walker-run,0,444,s,1
bbf_dac-s-rr1,dm_control,finger-turn_hard,0,424,s,1
bbf_dac-s-rr10,dm_control,acrobot-swingup,0,1904,s,10
bbf_dac-s-rr10,dm_control,cheetah-run,0,2032,s,10
bbf_dac-s-rr10,dm_control,dog-trot,0,2468,s,10
bbf_dac-s-rr10,dm_control,dog-run,0,2449,s,10
bbf_dac-s-rr10,dm_control,dog-walk,0,2464,s,10
bbf_dac-s-rr10,dm_control,dog-stand,0,2445,s,10
bbf_dac-s-rr10,dm_control,fish-swim,0,2045,s,10
bbf_dac-s-rr10,dm_control,hopper-hop,0,2024,s,10
bbf_dac-s-rr10,dm_control,humanoid-run,0,2212,s,10
bbf_dac-s-rr10,dm_control,humanoid-stand,0,2192,s,10
bbf_dac-s-rr10,dm_control,humanoid-walk,0,2193,s,10
bbf_dac-s-rr10,dm_control,pendulum-swingup,0,1896,s,10
bbf_dac-s-rr10,dm_control,quadruped-run,0,2092,s,10
bbf_dac-s-rr10,dm_control,walker-run,0,2039,s,10
bbf_dac-s-rr10,dm_control,finger-turn_hard,0,2035,s,10
