algo,universe,model_size,replay_ratio,time_mean,time_std
bbf_dac-l-rr1,dm_control,l,1,657.67,81.06
bbf_dac-l-rr1,metaworld,l,1,787.07,18.4
bbf_dac-l-rr1,myo,l,1,719.15,27.59
bbf_dac-l-rr10,dm_control,l,10,3399.93,240.76
bbf_dac-l-rr10,metaworld,l,10,3494.7,26.52
bbf_dac-l-rr10,myo,l,10,3544.55,38.56
bbf_dac-l-rr15,dm_control,l,15,4883.97,271.98
bbf_dac-l-rr15,metaworld,l,15,4974.37,36.5
bbf_dac-l-rr15,myo,l,15,5114.15,56.24
bbf_dac-l-rr2,dm_control,l,2,919.03,98.65
bbf_dac-l-rr2,metaworld,l,2,1089.6,24.4
bbf_dac-l-rr2,myo,l,2,1018.1,37.31
bbf_dac-l-rr5,dm_control,l,5,1842.9,138.36
bbf_dac-l-rr5,metaworld,l,5,1976.53,26.04
bbf_dac-l-rr5,myo,l,5,1966.55,30.7
bbf_dac-m-rr1,dm_control,m,1,498.33,82.21
bbf_dac-m-rr1,metaworld,m,1,652.5,18.12
bbf_dac-m-rr1,myo,m,1,612.25,56.84
bbf_dac-m-rr10,dm_control,m,10,2504.0,208.5
bbf_dac-m-rr10,metaworld,m,10,2623.0,24.73
bbf_dac-m-rr10,myo,m,10,2671.4,40.31
bbf_dac-m-rr15,dm_control,m,15,3602.0,267.44
bbf_dac-m-rr15,metaworld,m,15,3739.43,91.49
bbf_dac-m-rr15,myo,m,15,3830.2,47.84
bbf_dac-m-rr2,dm_control,m,2,721.73,100.53
bbf_dac-m-rr2,metaworld,m,2,877.43,20.22
bbf_dac-m-rr2,myo,m,2,807.8,27.49
bbf_dac-m-rr5,dm_control,m,5,1400.07,141.32
bbf_dac-m-rr5,metaworld,m,5,1532.07,22.63
bbf_dac-m-rr5,myo,m,5,1507.1,31.72
bbf_dac-s-rr1,dm_control,s,1,486.23,81.6
bbf_dac-s-rr1,metaworld,s,1,663.47,16.88
bbf_dac-s-rr1,myo,s,1,577.95,26.26
bbf_dac-s-rr10,dm_control,s,10,2164.37,200.31
bbf_dac-s-rr10,metaworld,s,10,2271.8,21.48
bbf_dac-s-rr10,myo,s,10,2321.2,50.6
bbf_dac-s-rr15,dm_control,s,15,3088.53,251.65
bbf_dac-s-rr15,metaworld,s,15,3185.47,44.75
bbf_dac-s-rr15,myo,s,15,3276.05,66.28
bbf_dac-s-rr2,dm_control,s,2,711.17,101.61
bbf_dac-s-rr2,metaworld,s,2,864.77,18.62
bbf_dac-s-rr2,myo,s,2,803.2,34.52
bbf_dac-s-rr5,dm_control,s,5,1280.47,129.81
bbf_dac-s-rr5,metaworld,s,5,1457.1,61.32
bbf_dac-s-rr5,myo,s,5,1388.4,49.88
bbf_dac-xl-rr1,dm_control,xl,1,767.53,104.59
bbf_dac-xl-rr1,metaworld,xl,1,948.03,19.71
bbf_dac-xl-rr1,myo,xl,1,878.55,25.92
bbf_dac-xl-rr10,dm_control,xl,10,5501.87,204.53
bbf_dac-xl-rr10,metaworld,xl,10,5607.6,47.82
bbf_dac-xl-rr10,myo,xl,10,5672.45,35.59
bbf_dac-xl-rr15,dm_control,xl,15,8139.8,274.06
bbf_dac-xl-rr15,metaworld,xl,15,8168.2,57.44
bbf_dac-xl-rr15,myo,xl,15,8338.2,47.09
bbf_dac-xl-rr2,dm_control,xl,2,1200.9,116.05
bbf_dac-xl-rr2,metaworld,xl,2,1365.1,18.77
bbf_dac-xl-rr2,myo,xl,2,1273.95,26.61
bbf_dac-xl-rr5,dm_control,xl,5,2908.53,186.3
bbf_dac-xl-rr5,metaworld,xl,5,3023.83,30.64
bbf_dac-xl-rr5,myo,xl,5,2996.6,27.22
bbf_dac-xs-rr1,dm_control,xs,1,466.5,81.6
bbf_dac-xs-rr1,metaworld,xs,1,632.57,19.13
bbf_dac-xs-rr1,myo,xs,1,548.55,26.89
bbf_dac-xs-rr10,dm_control,xs,10,2008.23,172.19
bbf_dac-xs-rr10,metaworld,xs,10,2232.0,88.08
bbf_dac-xs-rr10,myo,xs,10,2155.45,35.92
bbf_dac-xs-rr15,dm_control,xs,15,2850.03,223.16
bbf_dac-xs-rr15,metaworld,xs,15,3052.07,104.03
bbf_dac-xs-rr15,myo,xs,15,3058.05,44.67
bbf_dac-xs-rr2,dm_control,xs,2,679.4,95.15
bbf_dac-xs-rr2,metaworld,xs,2,826.4,20.68
bbf_dac-xs-rr2,myo,xs,2,741.25,28.07
bbf_dac-xs-rr5,dm_control,xs,5,1167.63,120.97
bbf_dac-xs-rr5,metaworld,xs,5,1334.27,27.69
bbf_dac-xs-rr5,myo,xs,5,1302.6,52.45
