algo,model_size,replay_ratio,time_mean,time_std
bbf_dac-l-rr1,l,1,721.56,76.81
bbf_dac-l-rr10,l,10,3471.62,159.36
bbf_dac-l-rr15,l,15,4975.41,190.92
bbf_dac-l-rr2,l,2,1007.76,98.42
bbf_dac-l-rr5,l,5,1923.92,107.27
bbf_dac-m-rr1,m,1,584.62,90.27
bbf_dac-m-rr10,m,10,2590.47,146.54
bbf_dac-m-rr15,m,15,3710.59,195.69
bbf_dac-m-rr2,m,2,801.64,93.05
bbf_dac-m-rr5,m,5,1476.33,106.72
bbf_dac-s-rr1,s,1,575.62,93.17
bbf_dac-s-rr10,s,10,2243.86,140.44
bbf_dac-s-rr15,s,15,3171.76,174.63
bbf_dac-s-rr2,s,2,791.77,93.42
bbf_dac-s-rr5,s,5,1373.69,119.0
bbf_dac-xl-rr1,xl,1,862.98,102.9
bbf_dac-xl-rr10,xl,10,5584.16,145.79
bbf_dac-xl-rr15,xl,15,8200.05,189.5
bbf_dac-xl-rr2,xl,2,1280.74,101.87
bbf_dac-xl-rr5,xl,5,2973.79,126.35
bbf_dac-xs-rr1,xs,1,549.29,89.38
bbf_dac-xs-rr10,xs,10,2128.95,154.23
bbf_dac-xs-rr15,xs,15,2977.8,180.71
bbf_dac-xs-rr2,xs,2,749.99,88.31
bbf_dac-xs-rr5,xs,5,1263.86,109.97
