algo,universe,seed,model_size,replay_ratio,time_mean,time_std
bbf_dac-l-rr1,dm_control,0,l,1,623.47,85.32
bbf_dac-l-rr1,dm_control,1,l,1,691.87,61.85
bbf_dac-l-rr1,metaworld,0,l,1,783.27,18.6
bbf_dac-l-rr1,metaworld,1,l,1,790.87,18.01
bbf_dac-l-rr1,myo,0,l,1,724.3,28.99
bbf_dac-l-rr1,myo,1,l,1,714.0,26.6
bbf_dac-l-rr10,dm_control,0,l,10,3416.8,277.8
bbf_dac-l-rr10,dm_control,1,l,10,3383.07,205.64
bbf_dac-l-rr10,metaworld,0,l,10,3503.87,21.78
bbf_dac-l-rr10,metaworld,1,l,10,3485.53,28.32
bbf_dac-l-rr10,myo,0,l,10,3520.7,27.79
bbf_dac-l-rr10,myo,1,l,10,3568.4,33.2
bbf_dac-l-rr15,dm_control,0,l,15,4886.87,297.66
bbf_dac-l-rr15,dm_control,1,l,15,4881.07,254.17
bbf_dac-l-rr15,metaworld,0,l,15,4959.53,33.5
bbf_dac-l-rr15,metaworld,1,l,15,4989.2,34.14
bbf_dac-l-rr15,myo,0,l,15,5140.7,53.5
bbf_dac-l-rr15,myo,1,l,15,5087.6,47.42
bbf_dac-l-rr2,dm_control,0,l,2,917.67,96.17
bbf_dac-l-rr2,dm_control,1,l,2,920.4,104.43
bbf_dac-l-rr2,metaworld,0,l,2,1082.33,28.31
bbf_dac-l-rr2,metaworld,1,l,2,1096.87,17.84
bbf_dac-l-rr2,myo,0,l,2,1018.5,31.15
bbf_dac-l-rr2,myo,1,l,2,1017.7,44.36
bbf_dac-l-rr5,dm_control,0,l,5,1836.87,140.41
bbf_dac-l-rr5,dm_control,1,l,5,1848.93,140.93
bbf_dac-l-rr5,metaworld,0,l,5,1965.33,23.98
bbf_dac-l-rr5,metaworld,1,l,5,1987.73,23.68
bbf_dac-l-rr5,myo,0,l,5,1964.6,31.08
bbf_dac-l-rr5,myo,1,l,5,1968.5,31.85
bbf_dac-m-rr1,dm_control,0,m,1,503.47,81.9
bbf_dac-m-rr1,dm_control,1,m,1,493.2,85.08
bbf_dac-m-rr1,metaworld,0,m,1,652.13,19.96
bbf_dac-m-rr1,metaworld,1,m,1,652.87,16.78
bbf_dac-m-rr1,myo,0,m,1,649.9,54.54
bbf_dac-m-rr1,myo,1,m,1,574.6,26.36
bbf_dac-m-rr10,dm_control,0,m,10,2500.73,209.99
bbf_dac-m-rr10,dm_control,1,m,10,2507.27,214.32
bbf_dac-m-rr10,metaworld,0,m,10,2634.07,23.05
bbf_dac-m-rr10,metaworld,1,m,10,2611.93,21.75
bbf_dac-m-rr10,myo,0,m,10,2667.9,44.18
bbf_dac-m-rr10,myo,1,m,10,2674.9,38.1
bbf_dac-m-rr15,dm_control,0,m,15,3610.6,265.85
bbf_dac-m-rr15,dm_control,1,m,15,3593.4,278.07
bbf_dac-m-rr15,metaworld,0,m,15,3789.27,106.44
bbf_dac-m-rr15,metaworld,1,m,15,3689.6,26.21
bbf_dac-m-rr15,myo,0,m,15,3835.9,45.89
bbf_dac-m-rr15,myo,1,m,15,3824.5,51.51
bbf_dac-m-rr2,dm_control,0,m,2,714.2,92.93
bbf_dac-m-rr2,dm_control,1,m,2,729.27,110.34
bbf_dac-m-rr2,metaworld,0,m,2,876.07,21.87
bbf_dac-m-rr2,metaworld,1,m,2,878.8,19.09
bbf_dac-m-rr2,myo,0,m,2,813.1,31.09
bbf_dac-m-rr2,myo,1,m,2,802.5,23.81
bbf_dac-m-rr5,dm_control,0,m,5,1407.67,147.36
bbf_dac-m-rr5,dm_control,1,m,5,1392.47,139.75
bbf_dac-m-rr5,metaworld,0,m,5,1537.93,23.67
bbf_dac-m-rr5,metaworld,1,m,5,1526.2,20.66
bbf_dac-m-rr5,myo,0,m,5,1517.0,28.48
bbf_dac-m-rr5,myo,1,m,5,1497.2,33.1
bbf_dac-s-rr1,dm_control,0,s,1,489.27,81.14
bbf_dac-s-rr1,dm_control,1,s,1,483.2,84.8
bbf_dac-s-rr1,metaworld,0,s,1,669.87,12.26
bbf_dac-s-rr1,metaworld,1,s,1,657.07,18.77
bbf_dac-s-rr1,myo,0,s,1,568.4,25.79
bbf_dac-s-rr1,myo,1,s,1,587.5,24.25
bbf_dac-s-rr10,dm_control,0,s,10,2166.0,202.58
