algo,universe,env,seed,time
crossq,dm_control,acrobot_swingup,0,441
crossq,dm_control,cheetah_run,0,441
crossq,dm_control,dog_trot,0,946
crossq,dm_control,dog_run,0,959
crossq,dm_control,dog_walk,0,956
crossq,dm_control,dog_stand,0,930
crossq,dm_control,fish_swim,0,475
crossq,dm_control,hopper_hop,0,434
crossq,dm_control,humanoid_run,0,554
crossq,dm_control,humanoid_stand,0,557
crossq,dm_control,humanoid_walk,0,550
crossq,dm_control,pendulum_swingup,0,413
crossq,dm_control,quadruped_run,0,499
crossq,dm_control,walker_run,0,436
crossq,dm_control,finger_turn_hard,0,412
crossq,dm_control,acrobot_swingup,1,425
crossq,dm_control,cheetah_run,1,425
crossq,dm_control,dog_trot,1,934
crossq,dm_control,dog_run,1,947
crossq,dm_control,dog_walk,1,931
crossq,dm_control,dog_stand,1,932
crossq,dm_control,fish_swim,1,452
crossq,dm_control,hopper_hop,1,434
crossq,dm_control,humanoid_run,1,535
crossq,dm_control,humanoid_stand,1,541
crossq,dm_control,humanoid_walk,1,537
crossq,dm_control,pendulum_swingup,1,406
crossq,dm_control,quadruped_run,1,474
crossq,dm_control,walker_run,1,413
crossq,dm_control,finger_turn_hard,1,386
crossq,metaworld,push-v2,0,709
crossq,metaworld,sweep-v2,0,695
crossq,metaworld,stick-pull-v2,0,717
crossq,metaworld,hand-insert-v2,0,697
crossq,metaworld,assembly-v2,0,674
crossq,metaworld,reach-v2,0,651
crossq,metaworld,coffee-push-v2,0,710
crossq,metaworld,coffee-pull-v2,0,710
crossq,metaworld,basketball-v2,0,667
crossq,metaworld,hammer-v2,0,674
crossq,metaworld,push-back-v2,0,665
crossq,metaworld,pick-place-wall-v2,0,641
crossq,metaworld,lever-pull-v2,0,592
crossq,metaworld,disassemble-v2,0,606
crossq,metaworld,button-press-v2,0,601
crossq,metaworld,push-v2,1,579
crossq,metaworld,sweep-v2,1,572
crossq,metaworld,stick-pull-v2,1,589
crossq,metaworld,hand-insert-v2,1,578
crossq,metaworld,assembly-v2,1,559
crossq,metaworld,reach-v2,1,538
crossq,metaworld,coffee-push-v2,1,588
crossq,metaworld,coffee-pull-v2,1,584
crossq,metaworld,basketball-v2,1,552
crossq,metaworld,hammer-v2,1,559
crossq,metaworld,push-back-v2,1,581
crossq,metaworld,pick-place-wall-v2,1,579
crossq,metaworld,lever-pull-v2,1,541
crossq,metaworld,disassemble-v2,1,559
crossq,metaworld,button-press-v2,1,550
crossq,myo,myo-reach,0,634
crossq,myo,myo-reach-hard,0,632
crossq,myo,myo-pose,0,617
crossq,myo,myo-pose-hard,0,638
crossq,myo,myo-obj-hold,0,637
crossq,myo,myo-obj-hold-hard,0,639
crossq,myo,myo-key-turn,0,654
crossq,myo,myo-key-turn-hard,0,649
crossq,myo,myo-pen-twirl,0,587
crossq,myo,myo-pen-twirl-hard,0,587
crossq,myo,myo-reach,1,542
crossq,myo,myo-reach-hard,1,539
crossq,myo,myo-pose,1,515
crossq,myo,myo-pose-hard,1,537
crossq,myo,myo-obj-hold,1,533
crossq,myo,myo-obj-hold-hard,1,543
crossq,myo,myo-key-turn,1,553
crossq,myo,myo-key-turn-hard,1,547
crossq,myo,myo-pen-twirl,1,491
crossq,myo,myo-pen-twirl-hard,1,491
sr_sac,dm_control,acrobot-swingup,0,2208
